,F12\BIT.DOC
B 0,
B 1,1 SEC PULSE
B 2,1 SEC PULSE BIT
B 3,100 MS PULSE
B 4,100 MS SYSTEM BIT
B 5,
B 6,
B 7,
B 8,
B 9,
B 10,CONFIGURATION CARD AEM 413 RACK 0-1 TXT0
B 11,CONFIGURATION CARD AEM 413 RACK 0-2 TXT1
B 12,CONFIGURATION CARD AEM 413 RACK 0-3 TXT2
B 13,CONFIGURATION CARD AEM 413 RACK 0-4 TXT3
B 14,CONFIGURATION CARD AEM 413 RACK 0-5 TXT4
B 15,CONFIGURATION CARD AEM 413 RACK 0-6 TXT5
B 16,CONFIGURATION CARD AEM 413 RACK 0-7 TXT6
B 17,
B 18,
B 19,
B 20,CONFIGURATION CARD AEM 413 RACK 4-0 TXT7
B 21,CONFIGURATION CARD AEM 413 RACK 4-1 TXT8
B 22,CONFIGURATION CARD AEM 413 RACK 4-2 TXT9
B 23,CONFIGURATION CARD AEM 413 RACK 4-3 TXT10
B 24,CONFIGURATION CARD AEM 413 RACK 4-4 TXT11
B 25,CONFIGURATION CARD AEM 413 RACK 4-5 TXT12
B 26,CONFIGURATION CARD AEM 413 RACK 4-6 TXT13
B 27,CONFIGURATION CARD AEM 413 RACK 4-7 TXT14
B 28,
B 29,
B 30,
B 31,
B 32,CONFIGURATION CARD AEM 811 RACK 6-2 TXT17
B 33,CONFIGURATION CARD AEM 811 RACK 6-2 TXT17
B 34,CONFIGURATION CARD AEM 811 RACK 6-3 TXT18
B 35,CONFIGURATION CARD AEM 811 RACK 6-3 TXT18
B 36,CONFIGURATION CARD AEM 811 RACK 6-3 TXT19
B 37,CONFIGURATION CARD AEM 811 RACK 6-3 TXT19
B 38,
B 39,
B 40,
B 41,
B 42,MODBUS CONFIGURED CARD SCM 2222 CHANNEL OK
B 43,COLD START AND WARM START
B 44,MODULE CONFIGURED
B 45,MODULE VALUES
B 46,
B 47,EXCHANGE BLOCK TEXT FINISHED WITHOUT DEFECT
B 48,BIT DEFECT
B 49,RECEPTION MESSAGE
B 50,
B 51,
B 52,
B 53,
B 54,
B 55,
B 56,
B 57,
B 58,
B 59,
B 60,
B 61,
B 62,
B 63,
B 64,
B 65,
B 66,
B 67,
B 68,
B 69,
B 70,
B 71,
B 72,
B 73,
B 74,
B 75,
B 76,
B 77,
B 78,
B 79,
B 80,BIT RELEASE DEFECT
B 81,
B 82,
B 83,
B 84,
B 85,
B 86,
B 87,
B 88,
B 89,
B 90,
B 91,
B 92,
B 93,
B 94,
B 95,
B 96,
B 97,
B 98,
B 99,
B 100,LOW LEVEL ALARM SATELLITE EXT1
B 101,LOW LEVEL ALARM SATELLITE EXT1
B 102,LOW LEVEL ALARM SATELLITE EXT1
B 103,DIFFERENTIAL HIGH PRESSURE ALARM SATELLITE EXT1
B 104,DIFFERENTIAL HIGH PRESSURE ALARM SATELLITE EXT1
B 105,DIFFERENTIAL HIGH PRESSURE ALARM SATELLITE EXT1
B 106,DIFFERENTIAL HIGH PRESSURE ALARM SATELLITE EXT1
B 107,DIFFERENTIAL HIGH PRESSURE ALARM SATELLITE EXT1
B 108,DIFFERENTIAL HIGH PRESSURE ALARM SATELLITE EXT1
B 109,LOW PRESSURE ALARM SATELLITE EXT1
B 110,LOW PRESSURE ALARM SATELLITE EXT1
B 111,LOW PRESSURE ALARM SATELLITE EXT1
B 112,LOW FLOW ALARM SATELLITE EXT1
B 113,LOW FLOW ALARM SATELLITE EXT1
B 114,LOW FLOW ALARM SATELLITE EXT1
B 115,SATELLITE EXT1 HYDRAULIC GROUP
B 116,SATELLITE EXT1 HYDRAULIC GROUP
B 117,SAT EXT1 HEATER E100
B 118,SAT EXT1 HEATER E100
B 119,SAT EXT1 HEATER E100
B 120,SAT EXT1 HEATER E101
B 121,SAT EXT1 HEATER E101
B 122,SAT EXT1 HEATER E101
B 123,SAT EXT1 HEATER E102
B 124,SAT EXT1 HEATER E102
B 125,SAT EXT1 HEATER E102
B 126,SAT EXT1 HEATER E103
B 127,SAT EXT1 HEATER E103
B 128,SAT EXT1 HEATER E103
B 129,SAT EXT1 HEATER E104
B 130,SAT EXT1 HEATER E104
B 131,SAT EXT1 HEATER E104
B 132,SAT EXT1 HEATER E105
B 133,SAT EXT1 HEATER E105
B 134,SAT EXT1 HEATER E105
B 135,SAT EXT1 HEATER E106
B 136,SAT EXT1 HEATER E106
B 137,SAT EXT1 HEATER E106
B 138,SAT EXT1 ADAPTER E107
B 139,SAT EXT1 ADAPTER E107
B 140,SAT EXT1 ADAPTER E107
B 141,SAT EXT1 FILTER E108
B 142,SAT EXT1 FILTER E108
B 143,SAT EXT1 FILTER E108
B 144,SAT EXT1 BLOWER ZONE 1
B 145,SAT EXT1 BLOWER ZONE 1
B 146,SAT EXT1 BLOWER ZONE 2
B 147,SAT EXT1 BLOWER ZONE 2
B 148,SAT EXT1 BLOWER ZONE 3
B 149,SAT EXT1 BLOWER ZONE 3
B 150,SAT EXT1 BLOWER ZONE 4
B 151,SAT EXT1 BLOWER ZONE 4
B 152,SAT EXT1 BLOWER ZONE 5
B 153,SAT EXT1 BLOWER ZONE 5
B 154,SAT EXT1 BLOWER ZONE 6
B 155,SAT EXT1 BLOWER ZONE 6
B 156,SAT EXT1 BLOWER ZONE 7
B 157,SAT EXT1 BLOWER ZONE 7
B 158,SAT EXT1 INTERLOCK FOR DC DRIVE STEP 0
B 159,SAT EXT1 INTERLOCK FOR DC DRIVE STEP 1
B 160,
B 161,
B 162,
B 163,
B 164,
B 165,
B 166,
B 167,
B 168,
B 169,
B 170,
B 171,
B 172,
B 173,
B 174,
B 175,
B 176,
B 177,
B 178,
B 179,
B 180,
B 181,
B 182,
B 183,
B 184,
B 185,
B 186,
B 187,
B 188,
B 189,
B 190,
B 191,
B 192,
B 193,
B 194,
B 195,
B 196,
B 197,
B 198,
B 199,
