,F12\BIT.DOC
B 0,FREE
B 1,1 SEC PULSE
B 2,1 SEC PULSE BIT
B 3,100 MS PULSE
B 4,100 MS SYSTEM BIT
B 5,FREE
B 6,FREE
B 7,FREE
B 8,FREE
B 9,FREE
B 10,CONFIGURATION CARD AEM 413 RACK 0-1 TXT0
B 11,CONFIGURATION CARD AEM 413 RACK 0-2 TXT1
B 12,CONFIGURATION CARD AEM 413 RACK 0-3 TXT2
B 13,CONFIGURATION CARD AEM 413 RACK 0-4 TXT3
B 14,CONFIGURATION CARD AEM 413 RACK 0-5 TXT4
B 15,CONFIGURATION CARD AEM 413 RACK 0-6 TXT5
B 16,CONFIGURATION CARD AEM 413 RACK 0-7 TXT6
B 17,FREE
B 18,FREE
B 19,FREE
B 20,CONFIGURATION CARD AEM 413 RACK 4-0 TXT7
B 21,CONFIGURATION CARD AEM 413 RACK 4-1 TXT8
B 22,CONFIGURATION CARD AEM 413 RACK 4-2 TXT9
B 23,CONFIGURATION CARD AEM 413 RACK 4-3 TXT10
B 24,CONFIGURATION CARD AEM 413 RACK 4-4 TXT11
B 25,CONFIGURATION CARD AEM 413 RACK 4-5 TXT12
B 26,CONFIGURATION CARD AEM 413 RACK 4-6 TXT13
B 27,CONFIGURATION CARD AEM 413 RACK 4-7 TXT14
B 28,FREE
B 29,FREE
B 30,FREE
B 31,FREE
B 32,CONFIGURATION CARD AEM 811 RACK 6-2 TXT17
B 33,CONFIGURATION CARD AEM 811 RACK 6-2 TXT17
B 34,CONFIGURATION CARD AEM 811 RACK 6-3 TXT18
B 35,CONFIGURATION CARD AEM 811 RACK 6-3 TXT18
B 36,CONFIGURATION CARD AEM 811 RACK 6-3 TXT19
B 37,CONFIGURATION CARD AEM 811 RACK 6-3 TXT19
B 38,FREE
B 39,FREE
B 40,FREE
B 41,FREE
B 42,MODBUS CONFIGURED CARD SCM 2222 CHANNEL OK
B 43,COLD START AND WARM START
B 44,MODULE CONFIGURED
B 45,MODULE VALUES
B 46,FREE
B 47,EXCHANGE BLOCK TEXT FINISHED WITHOUT DEFECT
B 48,BIT DEFECT
B 49,RECEPTION MESSAGE
B 50,FREE
B 51,FREE
B 52,FREE
B 53,FREE
B 54,FREE
B 55,FREE
B 56,FREE
B 57,FREE
B 58,FREE
B 59,FREE
B 60,FREE
B 61,FREE
B 62,FREE
