,F12 I/O LIST,,,,
,,,,,
,F12\INPUTBIT.DOC,,,LINE 1,LINE 2
I/O,DESCRIPTION,SYMBOL,PAGE #,,
WORD,,,(DRAW'),,
"I81,0",EXT. 1 RUNNING                                      F16,,68,,
"I81,1",EXT. 2 RUNNING                                      F16,,68,,
"I81,2",SAT. 1 RUNNING                                      F16,,68,,
"I81,3",SAT. 2 RUNNING                                      F16,,68,,
"I81,4",PRODUC. STRETCH.                                    F16,,68,,
"I81,5",(FREE),,68,,
"I81,6","PRIMARY EXT. ZONE 1 (XE01)    COOLING FROM F16 - 075,F",,68,"COOLING FROM F16 - 075,F",
"I81,7",MELT LINE OVER TEMPERATURE                     OIL SKID,C1240,68,,
"I81,8",MELT LINE HIGH LEVEL-DEFECT                    OIL SKID,C1240,69,,
"I81,9",MELT LINE LOW LEVEL-DEFECT                     OIL SKID,C1240,69,,
"I81,A",ASK START CONAIR PUMP (FROM F8)                      F8,,69,,
,(*ONLY LINE #1),,,,
"I81,B",#1 HOPPER FULL                                   CONAIR,,69,,
"I81,C",#2 HOPPER FULL                                   CONAIR,,69,,
"I81,D",#3 HOPPER FULL                                   CONAIR,,69,,
"I81,E",#4 HOPPER FULL                                   CONAIR,,69,,
"I81,F",#5 HOPPER FULL                                   CONAIR,,69,,
,,,,,
"I82,0",HEATER ZONE 1 EXT. 1                                F21,H1200-01,72,,
"I82,1",HEATER ZONE 2 EXT. 1                                F21,H1200-02,72,,
"I82,2",HEATER ZONE 3 EXT. 1                                F21,H1200-03,72,,
"I82,3",HEATER ZONE 4 EXT. 1                                F21,H1200-04,72,,
"I82,4",COOLING PUMP EXT. 1                                 F21,M1200-05,72,,
"I82,5",MIXING SCREEN                                       F21,M1114-01,72,,
"I82,6",ROTARY ARM                                          F21,M1114-02,72,,
"I82,7",HEATER ZONE 1 EXT. 2                                F21,H1200-06,72,,
"I82,8",HEATER ZONE 1 EXT. 2                                F21,H1200-07,73,,
"I82,9",HEATER ZONE 2 EXT. 2                                F21,H1200-08,73,,
"I82,A",HEATER ZONE 3 EXT. 2                                F21,H1200-09,73,,
"I82,B",COOLING PUMP EXT. 2                                 F21,H1200-11,73,,
"I82,C","VACUUM PUMP,HOMO/RECLAIM GAYLORD ADDITIVE           F21",M1107-01,73,,
"I82,D",(FREE),,73,,
"I82,E",MELT LINE 1 ZONE 1                                  F21,H1200-12,73,,
"I82,F",MELT LINE 1 ZONE 2                                  F21,H1200-13,73,,
,,,,,
"I83,0",SAT. EXT. 1 HEATER ZONE 1                           F22,H1210-01,76,,
"I83,1",SAT. EXT. 1 HEATER ZONE 2                           F22,H1210-02,76,,
"I83,2",SAT. EXT. 1 HEATER ZONE 3                           F22,H1210-03,76,,
"I83,3",SAT. EXT. 1 HEATER ZONE 4                           F22,H1210-04,76,,
"I83,4",SAT. EXT. 1 HEATER ZONE 5                           F22,H1210-05,76,,
"I83,5",SAT. EXT. 1 HEATER ZONE 6                           F22,H1210-06,76,,
"I83,6",SAT. EXT. 1 HEATER ZONE 7                           F22,H1210-07,76,,
"I83,7",ADAPT. SAT. EXT. 1                                  F22,H1210-29,76,,
"I83,8",COOLING FAN ZONE 1                                  F22,M1210-08,77,,
"I83,9",COOLING FAN ZONE 2                                  F22,M1210-09,77,,
,,,,,
B80 = RELEASE DEFECT (PC1/PC2),,,,,
,,,,,
,,,,,
"I83,A",COOLING FAN ZONE 3                                  F22,M1210-10,77,,
"I83,B",COOLING FAN ZONE 4                                  F22,M1210-11,77,,
"I83,C",COOLING FAN ZONE 5                                  F22,M1210-12,77,,
"I83,D",COOLING FAN ZONE 6                                  F22,M1210-13,77,,
"I83,E",COOLING FAN ZONE 7                                  F22,M1210-14,77,,
"I83,F",(FREE),,77,,
,,,,,
"I84,0",HEATING OF DIVERTER                                 F23,H1250-01,80,,
"I84,1",DIE HEATER ZONE 1                                   F23,H1260-01,80,,
"I84,2",DIE HEATER ZONE 2                                   F23,H1260-02,80,,
"I84,3",DIE HEATER ZONE 3                                   F23,H1260-03,80,,
"I84,4",DIE HEATER ZONE 4                                   F23,H1260-04,80,,
"I84,5",DIE HEATER ZONE 5                                   F23,H1260-05,80,,
"I84,6",DIE HEATER ZONE 6                                   F23,H1260-06,80,,
"I84,7",DIE HEATER ZONE 7                                   F23,H1260-07,80,,
"I84,8",(FREE),,81,,
"I84,9",(FREE),,81,,
"I84,A",(FREE),,81,,
"I84,B",(FREE),,81,,
"I84,C",(FREE),,81,,
"I84,D",STATIC MIXER HEATING                                F23,H1251-01,81,,
"I84,E",STATIC MIXER CONNECTIONS                            F23,H1251-02,81,,
"I84,F",SAT. 1 HEATING FILTER                               F23,H1232-01,81,,
,,,,,
"I85,0",EXT. 1 GEAR BOX FLOW – LOW                       EXT. 1,FSL1200-21,84,,
"I85,1",EXT. 1 GEAR BOX PRESSURE – LOW                   EXT. 1,PSL1200-22,84,,
"I85,2",GEAR BOX EXT. 1 OIL FILTER – HIGH PRESSURE       EXT. 1,DPSH1200-23,84,,
"I85,3",GEAR BOX EXT. 1 OIL FILTER – HIGH PRESSURE       EXT. 1,DPSH1200-24,84,,
"I85,4",COOLING CIRCUIT EXT. 1 FLOW SWITCH – LOW         EXT. 1,FSL1200-25,84,,
