,F12 TIMER.DOC
,F12\TIMER.DOC
T 0,TIMER FOR SAT. EXT. 1 LOW LEVEL ALARM
T 1,TIMER FOR SAT. EXT. 1 DPSH
T 2,TIMER FOR SAT. EXT. 1 DPSH
T 3,TIMER FOR SAT. EXT. 2 DPSH
T 4,TIMER FOR SAT. EXT. 2 DPSH
T 5,TIMER FOR SAT. EXT. 1 LOW PRESSURE ALARM
T 6,TIMER FOR SAT. EXT. 1 FSL
T 7,TIMER FOR SAT. EXT. 2 FSL
T 8,TIMER FOR SAT. EXT. 2 PSL
T 9,TIMER FOR MAIN EXT. 1 DPSH
T 10,TIMER FOR MAIN EXT. 1 DPSH
T 11,TIMER FOR MAIN EXT. 1 FSL
T 12,TIMER FOR MAIN EXT. 1 PSL
T 13,TIMER FOR SAT. EXT. 1 LSL
T 14,TIMER FOR MAIN EXT. 1 FSL
T 15,TIMER FOR MAIN EXT. 2 FSL
T 16,TIMER FOR MAIN EXT. 2 PSL
T 17,TIMER FOR MAIN EXT. 2 DPSH
T 18,TIMER FOR MAIN EXT. 2 DPSH
T 19,TIMER FOR MAIN EXT. 1 FSL
T 20,TIMER FOR MAIN EXT. 1 SV
T 21,TIMER FOR MAIN EXT. 1 LSL
T 22,TIMER FOR FSL
T 23,TIMER FOR DUMP VALVE #1 OPEN (CONAIR BLENDER)
T 24,TIMER FOR DUMP VALVE #2 OPEN (CONAIR BLENDER)
T 25,TIMER FOR DUMP VALVE #3 OPEN (CONAIR BLENDER)
T 26,TIMER FOR DUMP VALVE #4 OPEN (CONAIR BLENDER)
T 27,TIMER FOR DUMP VALVE #5 OPEN (CONAIR BLENDER)
T 28,
T 29,
T 30,TIMER FOR CONFIGURATION AEM811
T 31,TIMER FOR CONFIGURATION AEM811
T 32,TIMER FOR CONFIGURATION AEM811
T 33,TIMER FOR VACUUM VALVE #1 OPEN (CONAIR BLENDER)
T 34,TIMER FOR VACUUM VALVE #2 OPEN (CONAIR BLENDER)
T 35,TIMER FOR VACUUM VALVE #3 OPEN (CONAIR BLENDER)
T 36,TIMER FOR VACUUM VALVE #4 OPEN (CONAIR BLENDER)
T 37,TIMER FOR VACUUM VALVE #5 OPEN (CONAIR BLENDER)
T 38,
T 39,
T 40,PRIMARY EXTRUDER AIR FLOW SWITCH INTERLOCK
T 41,SECONDARY EXTRUDER AIR FLOW SWITCH INTERLOCK
T 42,SAT. EXT. 1 HOPPER LOW LEVEL (LSL1124.03)
T 43,TIMER FOR CLEAN LEFT BAG FILTER FOR HOPPER #1 (CONAIR BLENDER)
T 44,TIMER FOR CLEAN LEFT BAG FILTER FOR HOPPER #2 (CONAIR BLENDER)
T 45,TIMER FOR CLEAN LEFT BAG FILTER FOR HOPPER #3 (CONAIR BLENDER)
T 46,TIMER FOR CLEAN LEFT BAG FILTER FOR HOPPER #4 (CONAIR BLENDER)
T 47,TIMER FOR CLEAN LEFT BAG FILTER FOR HOPPER #5 (CONAIR BLENDER)
T 48,
T 49,
T 50,TIMER START SAT. EXT. 1 EQUIP
T 51,TIMER START SAT. EXT. 1 FILTER
T 52,TIMER START SAT. EXT. 1 MELT LINE
T 53,TIMER START SAT. EXT. 2 EQUIP
T 54,TIMER START SAT. EXT. 2 FILTER
T 55,TIMER START SAT. EXT. 2 MELT LINE
T 56,TIMER MAIN EXT. 1 EQUIP
T 57,TIMER MAIN EXT. 1 FILTER
T 58,TIMER MAIN EXT. 1 MELT LINE
T 59,TIMER MAIN EXT. 2 EQUIP
T 60,TIMER MAIN EXT. 2 FILTER
T 61,TIMER MAIN EXT. 2 MELT LINE
T 62,TIMER START DIE
T 63,TIMER START BOILER FOR MAIN MELT LINE AND SAT. 1 & 2 MELT LINE
T 64,
T 65,
T 66,MAIN EXT. 1 NOT RUNNING CHECKING TIME
T 67,
T 68,
T 69,
T 70,
T 71,
T 72,COPOLYMER DRYER HIGH LEVEL (LSH1123.02) DELAY TIME
T 73,
T 74,
T 75,
T 76,HOMO DRYER HIGH LEVEL (LSH1104.02) DELAY TIME
T 77,RECLAIM DRYER HIGH LEVEL (LSH1104.04) DELAY TIME
T 78,
T 79,
T 80,ALARM H[501] DELAY TIME
T 81,ALARM H[503] DELAY TIME
T 82,ALARM H[505] DELAY TIME
T 83,ALARM H[507] DELAY TIME
T 84,ALARM H[511] DELAY TIME
T 85,ALARM H[512] DELAY TIME
T 86,ALARM H[514] DELAY TIME
T 87,ALARM H[516] DELAY TIME
T 88,DELAY MOTOR O/L ALARM HOPPER #1 (CONAIR BLENDER)
T 89,DELAY MOTOR O/L ALARM HOPPER #2 (CONAIR BLENDER)
T 90,DELAY MOTOR O/L ALARM HOPPER #3 (CONAIR BLENDER)
T 91,DELAY MOTOR O/L ALARM HOPPER #4 (CONAIR BLENDER)
T 92,DELAY MOTOR O/L ALARM HOPPER #5 (CONAIR BLENDER)
T 93,SET TIMER FOR KLAXON ALARM- SR25 L40+6
T 94,RESET TIMER FOR KLAXON ALARM- SR25 L40+7
T 95,
T 96,
T 97,
T 98,
T 99,
T 100,
T 101,
T 102,
T 103,
T 104,
T 105,TIMER FOR HOPPER #1 CALIBRATION (CONAIR BLENDER)
T 106,TIMER FOR HOPPER #2 CALIBRATION (CONAIR BLENDER)
T 107,TIMER FOR HOPPER #3 CALIBRATION (CONAIR BLENDER)
T 108,TIMER FOR HOPPER #4 CALIBRATION (CONAIR BLENDER)
T 109,TIMER FOR HOPPER #5 CALIBRATION (CONAIR BLENDER)
T 110,TIMER FOR UNLOADING RESIN FROM GAYLORD (CONAIR BLENDER)
T 111,TIME FROM LOW TO HIGH LEVEL WHILE RUN MAX. SPEED (CONAIR)
T 112,TIME FROM HIGH TO LOW LEVEL WHILE ALL AUGUR STOP (CONAIR)
T 113,T111/2 (CONAIR)
T 114,TIMER FOR STOPPING AUGUR (CONAIR)
