,FIX-DMACS DIGITAL OUTPUT/INPUT BITS,
,,
,F12\WORDBIT2.DOC,
W 4600 0,DOSTE 100,START/STOP SAT EXTRUDER1
W 4600 1,DOSTE 101,START/STOP SAT EXTRUDER1
W 4600 2,DOSTE 102,START/STOP SAT EXTRUDER1
W 4600 3,DOSTE 103,START/STOP SAT EXTRUDER1
W 4600 4,DOSTE 104,START/STOP SAT EXTRUDER1
W 4600 5,DOSTE 105,START/STOP SAT EXTRUDER1
W 4600 6,DOSTE 106,START/STOP SAT EXTRUDER1
W 4600 7,DOSTE 107,START/STOP SAT EXTRUDER1
W 4600 8,DOSTE 108,START/STOP SAT EXTRUDER1
W 4600 9,,
W 4600 A,DOSTE 110,START/STOP SAT EXTRUDER2
W 4600 B,DOSTE 111,START/STOP SAT EXTRUDER2
W 4600 C,DOSTE 112,START/STOP SAT EXTRUDER2
W 4600 D,DOSTE 113,START/STOP SAT EXTRUDER2
W 4600 E,DOSTE 114,START/STOP SAT EXTRUDER2
W 4600 F,DOSTE 115,START/STOP SAT EXTRUDER2
,,
W 4601 0,DOSTE 116,START/STOP SAT EXTRUDER2
W 4601 1,DOSTE 117,START/STOP SAT EXTRUDER2
W 4601 2,DOSTE 118,START/STOP SAT EXTRUDER2
W 4601 3,,
W 4601 4,DOSTE 120,START/STOP MAIN EXTRUDER1
W 4601 5,DOSTE 121,START/STOP MAIN EXTRUDER1
W 4601 6,DOSTE 122,START/STOP MAIN EXTRUDER1
W 4601 7,DOSTE 123,START/STOP MAIN EXTRUDER1
W 4601 8,DOSTE 124,START/STOP MAIN EXTRUDER1
W 4601 9,DOSTE 125,START/STOP MAIN EXTRUDER1
W 4601 A,DOSTE 126,START/STOP MAIN EXTRUDER1
W 4601 B,DOSTE 127,START/STOP MAIN EXTRUDER1
W 4601 C,DOSTE 128,MAIN EXTRUDER1 PUMP
W 4601 D,,
W 4601 E,DOSTE 130,START/STOP BETWEEN MAIN EX1 & MAIN EX2
W 4601 F,DOSTE 131,START/STOP BETWEEN MAIN EX1 & MAIN EX2
,,
W 4602 0,DOSTE 132,START/STOP BETWEEN MAIN EX1 & MAIN EX2
W 4602 1,DOSTE 133,START/STOP BETWEEN MAIN EX1 & MAIN EX2
