,F12\WORD3.DOC,
W 6000 [50],R307,SAT EXT1 ADAPTER
W 6050 [50],R308,SAT EXT1 FILTER
W 6100 [50],R309,SAT EXT1 MELT LINE
W 6150 [50],R317,SAT EXT2 ADAPTER
W 6200 [50],R318,SAT EXT2 FILTER
W 6250 [50],R319,SAT EXT2 MELT LINE
W 6300 [50],R324,MAIN EXT1 ADAPTER
W 6350 [50],R325,MAIN EXT1 FILTER ZONE #1
W 6400 [50],R326,MAIN EXT1 FILTER ZONE #2
W 6450 [50],R327,MAIN EXT1 FILTER ZONE #3
W 6500 [50],FREE,
W 6550 [50],FREE,
W 6600 [50],R330,MAIN EXT1 MELT LINE #1
W 6650 [50],R331,MAIN EXT1 MELT LINE #2
W 6700 [50],R332,MAIN EXT1 MELT LINE #3
W 6750 [50],R333,MAIN EXT1 MELT LINE #4
W 6800 [50],R344,MAIN EXT2 ADAPTER
W 6850 [50],R345,MAIN EXT2 FILTER ZONE #1
W 6900 [50],R346,MAIN EXT2 FILTER ZONE #2
W 6950 [50],R347,MAIN EXT2 FILTER ZONE #3
W 7000 [50],R348,MAIN EXT2 MELT LINE #1
W 7050 [50],R349,MAIN EXT2 MELT LINE #2
W 7100 [50],R350,MAIN EXT2 STATIC MIXER
W 7150 [50],R351,MAIN EXT2 STATIC MIXER CONNECTION
W 7200 [50],R352,MAIN EXT CONNECTION BOX
W 7250 [50],R355,DIE ZONE #1
W 7300 [50],R356,DIE ZONE #2
W 7350 [50],R357,DIE ZONE #3
W 7400 [50],R358,DIE ZONE #4
W 7450 [50],R359,DIE ZONE #5
W 7500 [50],R360,DIE ZONE #6
W 7550 [50],R361,DIE ZONE #7
W 7600 [50],R200,HOPPER WEIGH REGULATION
W 7650 [50],FREE,
W 7700 [50],FREE,
W 7750 [50],FREE,
W 7800 [50],FREE,
W 7850 [50],FREE,
W 7900 [50],FREE,
W 7950 [50],FREE,
W 8000 [50],R300,SAT EXT1 ZONE #1
W 8050 [50],R301,SAT EXT1 ZONE #2
W 8100 [50],R302,SAT EXT1 ZONE #3
W 8150 [50],R303,SAT EXT1 ZONE #4
W 8200 [50],R304,SAT EXT1 ZONE #5
W 8250 [50],R305,SAT EXT1 ZONE #6
W 8300 [50],R306,SAT EXT1 ZONE #7
W 8350 [50],R310,SAT EXT2 ZONE #1
W 8400 [50],R311,SAT EXT2 ZONE #2
W 8450 [50],R312,SAT EXT2 ZONE #3
W 8500 [50],R313,SAT EXT2 ZONE #4
W 8550 [50],R314,SAT EXT2 ZONE #5
W 8600 [50],R315,SAT EXT2 ZONE #6
W 8650 [50],R316,SAT EXT2 ZONE #7
W 8700 [50],FREE,
W 8750 [50],FREE,
W 8800 [50],FREE,
W 8850 [50],FREE,
W 8900 [50],FREE,
W 8950 [50],FREE,
W 9000 [50],R320,MAIN EXT1 ZONE #1
W 9050 [50],R321,MAIN EXT1 ZONE #2
W 9100 [50],R322,MAIN EXT1 ZONE #3
W 9150 [50],R323,MAIN EXT1 ZONE #4
W 9200 [50],R340,MAIN EXT2 ZONE #1
W 9250 [50],R341,MAIN EXT2 ZONE #2
W 9300 [50],R342,MAIN EXT2 ZONE #3
W 9350 [50],R343,MAIN EXT2 ZONE #4
W 9400 [50],FREE,
W 9450 [50],FREE,
W 9500 [50],FREE,
,,
