,F12\WORDBIT1.DOC,
WORD,CONTENT,
W 420 0,R 300 DEFECT MEASURE,
W 420 1,R 301 DEFECT MEASURE,
W 420 2,R 302 DEFECT MEASURE,
W 420 3,R 303 DEFECT MEASURE,
W 420 4,R 304 DEFECT MEASURE,
W 420 5,R 305 DEFECT MEASURE,
W 420 6,R 306 DEFECT MEASURE,
W 420 7,R 307 DEFECT MEASURE,
W 420 8,R 308 DEFECT MEASURE,
W 420 9,R 309 DEFECT MEASURE,
W 420 A,R 310 DEFECT MEASURE,
W 420 B,R 311 DEFECT MEASURE,
W 420 C,R 312 DEFECT MEASURE,
W 420 D,R 313 DEFECT MEASURE,
W 420 E,R 314 DEFECT MEASURE,
W 420 F,R 315 DEFECT MEASURE,
,,
W 421 0,R 316 DEFECT MEASURE,
W 421 1,R 317 DEFECT MEASURE,
W 421 2,R 318 DEFECT MEASURE,
W 421 3,R 319 DEFECT MEASURE,
W 421 4,R 320 DEFECT MEASURE,
W 421 5,R 321 DEFECT MEASURE,
W 421 6,R 322 DEFECT MEASURE,
W 421 7,R 323 DEFECT MEASURE,
W 421 8,R 324 DEFECT MEASURE,
W 421 9,R 325 DEFECT MEASURE,
W 421 A,R 326 DEFECT MEASURE,
W 421 B,R 327 DEFECT MEASURE,
W 421 C,R 328 DEFECT MEASURE,
W 421 D,R 329 DEFECT MEASURE,
W 421 E,R 330 DEFECT MEASURE,
W 421 F,R 331 DEFECT MEASURE,
,,
W 422 0,R 332 DEFECT MEASURE,
W 422 1,R 333 DEFECT MEASURE,
W 422 2,R 334 DEFECT MEASURE,
W 422 3,R 335 DEFECT MEASURE,
W 422 4,R 336 DEFECT MEASURE,
W 422 5,R 337 DEFECT MEASURE,
W 422 6,R 338 DEFECT MEASURE,
W 422 7,R 339 DEFECT MEASURE,
W 422 8,R 340 DEFECT MEASURE,
W 422 9,R 341 DEFECT MEASURE,
W 422 A,R 342 DEFECT MEASURE,
W 422 B,R 343 DEFECT MEASURE,
W 422 C,R 344 DEFECT MEASURE,
W 422 D,R 345 DEFECT MEASURE,
W 422 E,R 346 DEFECT MEASURE,
W 422 F,R 347 DEFECT MEASURE,
,,
W 423 0,R 348 DEFECT MEASURE,
W 423 1,R 349 DEFECT MEASURE,
W 423 2,R 350 DEFECT MEASURE,
W 423 3,R 351 DEFECT MEASURE,
W 423 4,R 352 DEFECT MEASURE,
W 423 5,R 353 DEFECT MEASURE,
W 423 6,R 354 DEFECT MEASURE,
W 423 7,R 355 DEFECT MEASURE,
W 423 8,R 356 DEFECT MEASURE,
W 423 9,R 357 DEFECT MEASURE,
W 423 A,R 358 DEFECT MEASURE,
W 423 B,R 359 DEFECT MEASURE,
W 423 C,R 360 DEFECT MEASURE,
W 423 D,R 361 DEFECT MEASURE,
W 423 E,FREE,
W 423 F,FREE,
,,
W 500 0,"E 100 SAT. EXT1 HEATING ZONE 1, CONTACTOR ANSWER.",
W 500 1,"E 101 SAT. EXT1 HEATING ZONE 2, CONTACTOR ANSWER.",
W 500 2,"E 102 SAT. EXT1 HEATING ZONE 3, CONTACTOR ANSWER.",
W 500 3,"E 103 SAT. EXT1 HEATING ZONE 4, CONTACTOR ANSWER.",
W 500 4,"E 104 SAT. EXT1 HEATING ZONE 5, CONTACTOR ANSWER.",
W 500 5,"E 105 SAT. EXT1 HEATING ZONE 6, CONTACTOR ANSWER.",
W 500 6,"E 106 SAT. EXT1 HEATING ZONE 7, CONTACTOR ANSWER.",
