,F13\BIT.DOC
B 0,
B 1,1 SEC PULSE
B 2,1 SEC SYSTEM BIT
B 3,100 MS PULSE
B 4,100 MS SYSTEM BIT
B 5,
B 6,
B 7,
B 8,
B 9,
B 10,CONFIGURATION CARD AEM 413 RACK 0-1 TXT0
B 11,CONFIGURATION CARD AEM 413 RACK 0-2 TXT1
B 12,CONFIGURATION CARD AEM 413 RACK 0-3 TXT2
B 13,CONFIGURATION CARD AEM 413 RACK 0-4 TXT3
B 14,CONFIGURATION CARD AEM 413 RACK 0-5 TXT4
B 15,CONFIGURATION CARD AEM 413 RACK 0-6 TXT5
B 16,CONFIGURATION CARD AEM 413 RACK 0-7 TXT6
B 17,
B 18,
B 19,
B 20,CONFIGURATION CARD AEM 413 RACK 4-0 TXT7
B 21,CONFIGURATION CARD AEM 413 RACK 4-1 TXT8
B 22,CONFIGURATION CARD AEM 413 RACK 4-2 TXT9
B 23,
B 24,
B 25,
B 26,
B 27,
B 28,
B 29,
B 30,
B 31,
B 32,CONFIGURATION CARD AEM 811 RACK 4-3 TXT17
B 33,CONFIGURATION CARD AEM 811 RACK 4-2 TXT17
B 34,
B 35,
B 36,
B 37,
B 38,
B 39,
B 40,
B 41,
B 42,MODULE SCM 2222 CONFIGURED; CHANNEL OK
B 43,COLD RESTART OR WARM RESTART
B 44,CHANNEL CONFIGURED
B 45,"MODULE IN ""EXCHANGE VALUES"" MODE"
B 46,
B 47,BLOCK TEXT EXCHANGE OVER WITHOUT DEFECT
B 48,SCM2222 IN FAULT OR NOT PRESENT
B 49,RECEIVING IN PROGRESS
B 50,IN USE
B 51,IN USE
B 52,IN USE
B 53,IN USE
B 54,IN USE
B 55,IN USE
B 56,IN USE
B 57,IN USE
B 58,IN USE
B 59,IN USE
B 60,IN USE
B 61,IN USE
B 62,IN USE
B 63,IN USE
B 64,DRIVING SIDE COUNTER - TDO OUTLET SPROCKET
B 65,OPERATING SIDE COUNTER - TDO OUTLET SPROCKET
B 66,
B 67,
B 68,
B 69,
B 70,
B 71,
B 72,
B 73,
B 74,
B 75,
B 76,
B 77,
B 78,
B 79,
B 80,BIT RELEASE DEFECT
B 81,
B 82,
B 83,
B 84,
B 85,
B 86,
B 87,
B 88,
B 89,
B 90,
B 91,
B 92,
B 93,
B 94,
B 95,
B 96,
B 97,
B 98,
B 99,
B 100,STEP 0 E170 MDO START PUMP
B 101,STEP 1 E170 MDO START PUMP
B 102,STEP 2 E170 MDO START PUMP
B 103,STEP 0 E171 MDO START PUMP
B 104,STEP 1 E171 MDO START PUMP
B 105,STEP 2 E171 MDO START PUMP
B 106,STEP 0 E172 MDO START PUMP
B 107,STEP 1 E172 MDO START PUMP
B 108,STEP 2 E172 MDO START PUMP
B 109,STEP 0 E173 MDO START PUMP
B 110,STEP 1 E173 MDO START PUMP
B 111,STEP 2 E173 MDO START PUMP
B 112,STEP 0 E174 MDO START PUMP
B 113,STEP 1 E174 MDO START PUMP
B 114,STEP 2 E174 MDO START PUMP
B 115,STEP 0 E175 MDO START PUMP
B 116,STEP 1 E175 MDO START PUMP
B 117,STEP 2 E175 MDO START PUMP
B 118,STEP 0 E176 MDO START PUMP
B 119,STEP 1 E176 MDO START PUMP
B 120,STEP 2 E176 MDO START PUMP
B 121,STEP 0 E177 MDO START PUMP
B 122,STEP 1 E177 MDO START PUMP
B 123,STEP 2 E177 MDO START PUMP
B 124,STEP 0 E178 MDO START PUMP
B 125,STEP 1 E178 MDO START PUMP
B 126,STEP 2 E178 MDO START PUMP
B 127,STEP 0 E179 MDO START PUMP
B 128,STEP 1 E179 MDO START PUMP
B 129,STEP 2 E179 MDO START PUMP
B 130,STEP 0 E180 MDO START PUMP
B 131,STEP 1 E180 MDO START PUMP
B 132,STEP 2 E180 MDO START PUMP
B 133,STEP 0 E181 MDO START PUMP
B 134,STEP 1 E181 MDO START PUMP
B 135,STEP 2 E181 MDO START PUMP
B 136,
B 137,
B 138,
B 139,
B 140,
B 141,
B 142,
B 143,
B 144,
B 145,
B 146,
B 147,
B 148,
B 149,
B 150,INTERLOCK OF CHILL ROLL SKID E160
B 151,INTERLOCK OF WATER BATH COOLING SKID E161
B 152,
B 153,
B 154,AUXILIARY WINDER #1 DEFECT
B 155,AUXILIARY WINDER #2 DEFECT
B 156,
B 157,
B 158,
B 159,
B 160,
B 161,
B 162,
B 163,
B 164,
B 165,
B 166,
B 167,
B 168,
B 169,
B 170,
B 171,
B 172,
B 173,
B 174,
B 175,
B 176,
B 177,
B 178,
B 179,
B 180,
B 181,
B 182,
B 183,
B 184,
B 185,
B 186,
B 187,
B 188,
B 189,
B 190,
B 191,
B 192,
B 193,
B 194,
B 195,
B 196,
B 197,
B 198,
B 199,
B 200,CHILL ROLL FORWARD MOVEMENT STEP 0
B 201,CHILL ROLL FORWARD MOVEMENT STEP 1
B 202,CHILL ROLL FORWARD MOVEMENT STEP 2
B 203,CHILL ROLL FORWARD MOVEMENT STEP 3
B 204,CHILL ROLL FORWARD MOVEMENT STEP 4
B 205,CHILL ROLL FORWARD MOVEMENT STEP 5
B 206,CHILL ROLL BACKWARD MOVEMENT STEP 0
B 207,CHILL ROLL BACKWARD MOVEMENT STEP 1
B 208,CHILL ROLL BACKWARD MOVEMENT STEP 2
B 209,CHILL ROLL BACKWARD MOVEMENT STEP 3
B 210,CHILL ROLL BACKWARD MOVEMENT STEP 4
B 211,
B 212,
B 213,"EXHAUST HOOD BLOWER STEP 0, M1263.01"
B 214,"EXHAUST HOOD BLOWER STEP 1, M1263.01"
B 215,"AIR KNIFE BLOWER STEP 0, M1310.01"
B 216,"AIR KNIFE BLOWER STEP 1, M1310.01"
B 217,"FILM WATER REMOVAL BLOWER M1310,02 STEP 0"
B 218,"FILM WATER REMOVAL BLOWER M1310,02 STEP 1"
B 219,"FILM WATER REMOVAL BLOWER M1310,03 STEP 0"
