,F13 I/O LIST,,
,,,
,F13\INPUTBIT.DOC,,
I/O,DESCRIPTION,SYMBOL,PAGE #
WORD,,,(DRAW')
"I80,0",FAN FOR EXHAUST HOOD                     F23,M1263-01,64
"I80,1",AIR KNIFE BLOWER                         F23,M1310-01,64
"I80,2",FILM WATER REMOVAL BLOWER #1             F23,M1310-02,64
"I80,3",FILM WATER REMOVAL BLOWER #2             F23,M1310-03,64
"I80,4",C. R. DRYING BLOWER                      F23,M1330-01,64
"I80,5",C. R. BRAKE ELECTRON MAGNETIC BRAKE      F23,Y1302-01,64
"I80,6",(FREE),,64
"I80,7",AUX. WINDER #1                           F23,M1360-01 & 02,64
"I80,8",(FREE),,65
"I80,9",(FREE),,65
"I80,A",(FREE),,65
"I80,B",(FREE),,65
"I80,C","AUX. WINDER #2          (W506,A)         F23",M1450-01 & 02,65
"I80,D","MDO PUMP, ROLL #1&2 (Z1)                 F23",M1430-01,65
"I80,E","MDO PUMP, ROLL #3&4 (Z2)                 F23",M1430-02,65
"I80,F","MDO PUMP, ROLL #5&6 (Z3)                 F23",M1430-03,65
,,,
"I81,0",TDO CENT. EXHAUST AIR FAN                F24,M1525-01,68
"I81,1",TDO CLIPS COOLING FAN (INLET)            F24,M1528-01,68
"I81,2",TDO CLIPS COOLING FAN (MIDDLE)           F24,M1528-02,68
"I81,3",TDO CLIPS COOLING FAN (INTERVAL)         F24,M1528-03,68
"I81,4",TDO EXHAUST AIR FAN (OUTLET)             F24,M1530-01,68
"I81,5",(FREE),,68
"I81,6",(FREE),,68
"I81,7",TDO FAN ZONE 1 (H.S) - E185              F24,M1520-01,68
"I81,8",TDO FAN ZONE 1 (L.S) - E185              F24,M1520-01,69
"I81,9",TDO FAN ZONE 2 (H.S) - E187              F24,M1520-02,69
"I81,A",TDO FAN ZONE 2 (L.S) - E187              F24,M1520-02,69
"I81,B",TDO FAN ZONE 3 (H.S) - E188              F24,M1520-03,69
"I81,C",TDO FAN ZONE 3 (L.S) - E188              F24,M1520-03,69
"I81,D",TDO FAN ZONE 4 (H.S) - E189              F24,M1520-04,69
"I81,E",TDO FAN ZONE 4 (L.S) - E189              F24,M1520-04,69
"I81,F",TDO FAN ZONE 5 (H.S) - E190              F24,M1520-05,69
,,,
"I82,0",TDO FAN 2 ZONE 11 (L.S) - E198           F24 ,M1520-13,72
