,F13 I/O LIST,,
,,,
,F13\INPUTWD.DOC,,
I/O,DESCRIPTION,SYMBOL,PAGE #
WORD,,,(DRAW')
"IW01,3",C. R. TEMPERATURE MEASUREMENT,TE1340-02,32
"IW01,4",WATER BATH TEMPERATUER MEASUREMENT,TE1350-02,32
"IW01,5",(FREE),,32
"IW01,6",(FREE),,32
,,,
"IW02,3","MDO ZONE 1, TEMP. MEASUREMENT",TE1435-01,33
"IW02,4","MDO ZONE 2, TEMP. MEASUREMENT",TE1435-02,33
"IW02,5","MDO ZONE 3, TEMP. MEASUREMENT",TE1435-03,33
"IW02,6","MDO ZONE 4, TEMP. MEASUREMENT",TE1435-04,33
,,,
"IW03,3","MDO ZONE 5, TEMP. MEASUREMENT",TE1435-05,34
"IW03,4","MDO ZONE 6, TEMP. MEASUREMENT",TE1435-06,34
"IW03,5","MDO ZONE 7, TEMP. MEASUREMENT",TE1435-07,34
"IW03,6","MDO ZONE 8, TEMP. MEASUREMENT",TE1435-08,34
,,,
"IW04,3","MDO ZONE 9, TEMP. MEASUREMENT",TE1435-09,35
"IW04,4","MDO ZONE 10, TEMP. MEASUREMENT",TE1435-10,35
"IW04,5","MDO ZONE 11, TEMP. MEASUREMENT",TE1435-11,35
"IW04,6","MDO ZONE 12, TEMP. MEASUREMENT",TE1435-12,35
,,,
"IW05,3","TDO ZONE 1, TEMP. MEASUREMENT",TE1545-01,36
"IW05,4","TDO ZONE 2, TEMP. MEASUREMENT",TE1545-02,36
"IW05,5","TDO ZONE 3, TEMP. MEASUREMENT",TE1545-03,36
"IW05,6","TDO ZONE 4, TEMP. MEASUREMENT",TE1545-04,36
,,,
"IW06,3","TDO ZONE 5, TEMP. MEASUREMENT",TE1545-05,37
"IW06,4","TDO ZONE 6, TEMP. MEASUREMENT",TE1545-06,37
"IW06,5","TDO ZONE 7, TEMP. MEASUREMENT",TE1545-07,37
"IW06,6","TDO ZONE 8, TEMP. MEASUREMENT",TE1545-08,37
,,,
"IW07,3","TDO ZONE 9, TEMP. MEASUREMENT",TE1545-09,38
"IW07,4","TDO ZONE 10, TEMP. MEASUREMENT",TE1545-10,38
"IW07,5","TDO ZONE 11, TEMP. MEASUREMENT",TE1545-11,38
"IW07,6","TDO ZONE 12, TEMP. MEASUREMENT",TE1545-12,38
,,,
"IW40,3","TDO ZONE 13, TEMP. MEASUREMENT",TE1545-13,40
"IW40,4","TDO ZONE 14, TEMP. MEASUREMENT",TE1545-14,40
"IW40,5","TDO ZONE 15, TEMP. MEASUREMENT",TE1545-15,40
"IW40,6","TDO ZONE 16, TEMP. MEASUREMENT",TE1545-16,40
,,,
"IW41,3","TDO ZONE 17, TEMP. MEASUREMENT",TE1545-17,41
"IW41,4","TDO ZONE 18, TEMP. MEASUREMENT",TE1545-18,41
"IW41,5","TDO ZONE 19, TEMP. MEASUREMENT",TE1545-19,41
"IW41,6","TDO ZONE 20, TEMP. MEASUREMENT",TE1545-20,41
,,,
"IW42,3",(FREE),,42
"IW42,4",(FREE),,42
"IW42,5",(FREE),,42
"IW42,6",(FREE),,42
,,,
"IW43,3",AUX. WINDER 1 CURRENT,,43
"IW43,3",(FREE),,44
"IW43,4",AUX. WINDER 2 CURRENT,,43
"IW43,4",(FREE),,44
"IW43,5",F. P. C. FLOWMETER,FT1310-15,43
"IW43,5",(FREE),,44
"IW43,6",LINE SPEED,,43
"IW43,6",(FREE),,44
,,,
