,F-13 MODULE LIST,,
,,,
MAST,,,
,MAIN - CALL SUBROUTINES,,
,SR0 - CONFIGURATION SCM 2222,,
,SR1 - READ/WRITE DATA TO PC;PLC,,
,SR2 - CONFIGURATION AEM 413,,
,SR3 - CONFIGURATION AEM 811,,
,SR4 - CONFIGURATION ASR 403,,
,SR5 - ALL EQUIPMENTS - CONTACT ANSWER,,
,SR6 - MDO,,
,SR7 - CHILL ROLL,,
,SR8 - START ALL EQUIPMENTS - INTERNAL BIT,,
,SR9 - TDO (EXCEPT BLOWERS & BURNERS),,
,SR10 - TDO BLOWERS,,
,SR11 - TDO BURNERS,,
,SR12 - PRS & AUX WINDER #3,,
,SR13 - COLD & WARM START INITIALIZATION,,
,SR14 - DC MOTOR INTERLOCK,,
,SR15 - MDO WARM DC MOTOR INTERLOCK,,
,SR16 - TEMPERATURE MEASURE,,
,SR17 - TEMPERATUER CONTROL OUTPUT 4-20MA,,
,SR18 - TEMPERATURE CONTROL - TRANSFER SET VALUE FROM PC -> PLC,,
,SR19 - TEMPERATURE CONTROL - TRANSFER ALARM FROM PLC -> PC,,
,SR20 - KLAXON OF F13,,
,SR21 - ROTATING LIGHT OF F13,,
,SR22 - RELEASE ALL DEFECT,,
,SR23 - INCREASE ALL SET POINT TDO,,
,SR24 - SCREEN TOP FAULT VIEWS,,
,,,
AUX0,,,
,MAIN - CALL P.I.D CONTROL LOOPS,,
,SR0 - P.I.D CONTROL OUTPUT CALCULATION,,
,,,
,,,
,,,
