,,TEMPERATURE CONTROL & DATA WORD
W6000  [50],R307,SAT. EXT 1 ADAPTER
W6050  [50],R308,SAT. EXT 1 FILTER
W6100  [50],R309,SAT. EXT 1 MELT LINE
W6150  [50],R317,SAT. EXT 2 ADAPTER
W6200  [50],R318,SAT. EXT 2 FILTER
W6250  [50],R319,SAT. EXT 2 MELT LINE
W6300  [50],R324,MAIN EXT 1 ADAPTER
W6350  [50],R325,MAIN EXT 1 FILTER ZONE #1
W6400  [50],R326,MAIN EXT 1 FILTER ZONE #2
W6450  [50],R327,MAIN EXT 1 FILTER ZONE #3
W6500  [50],,
W6550  [50],,
W6600  [50],R330,MAIN EXT 1 MELT LINE #1
W6650  [50],R331,MAIN EXT 1 MELT LINE #2
W6700  [50],R332,MAIN EXT 1 MELT LINE #3
W6750  [50],R333,MAIN EXT 1 MELT LINE #4
W6800  [50],R344,MAIN EXT 2 ADAPTER
W6850  [50],R345,MAIN EXT 2 FILTER ZONE #1
W6900  [50],R346,MAIN EXT 2 FILTER ZONE #2
W6950  [50],R347,MAIN EXT 2 FILTER ZONE #3
W7000  [50],R348,MAIN EXT 2 MELT LINE #1
W7050  [50],R349,MAIN EXT 2 MELT LINE #2
W7100  [50],R350,MAIN EXT 2 STATIC MIXER
W7150  [50],R351,MAIN EXT 2 STATIC MIXER CONNECTION
W7200  [50],R352,MAIN EXT 2 CONNECTION BOX
W7250  [50],R355,DIE ZONE #1
W7300  [50],R356,DIE ZONE #2
W7350  [50],R357,DIE ZONE #3
W7400  [50],R358,DIE ZONE #4
W7450  [50],R359,DIE ZONE #5
W7500  [50],R360,DIE ZONE #6
W7550  [50],R361,DIE ZONE #7
W7600  [50],R200,HOPPER WEIGH REGULATION
W7650  [50],,
W7700  [50],,
W7750  [50],,
W7800  [50],,
W7850  [50],,
W7900  [50],,
W7950  [50],,
W8000  [50],R300,SAT. EXT 1 ZONE #1
W8050  [50],R301,SAT. EXT 1 ZONE #2
W8100  [50],R302,SAT. EXT 1 ZONE #3
W8150  [50],R303,SAT. EXT 1 ZONE #4
W8200  [50],R304,SAT. EXT 1 ZONE #5
W8250  [50],R305,SAT. EXT 1 ZONE #6
W8300  [50],R306,SAT. EXT 1 ZONE #7
W8350  [50],R310,SAT. EXT 2 ZONE #1
W8400  [50],R311,SAT. EXT 2 ZONE #2
W8450  [50],R312,SAT. EXT 2 ZONE #3
W8500  [50],R313,SAT. EXT 2 ZONE #4
W8550  [50],R314,SAT. EXT 2 ZONE #5
W8600  [50],R315,SAT. EXT 2 ZONE #6
W8650  [50],R316,SAT. EXT 2 ZONE #7
W8700  [50],,
W8750  [50],,
W8800  [50],,
W8850  [50],,
W8900  [50],,
W8950  [50],,
W9000  [50],R320,MAIN EXT. 1 ZONE #1
W9050  [50],R321,MAIN EXT. 1 ZONE #2
W9100  [50],R322,MAIN EXT. 1 ZONE #3
W9150  [50],R323,MAIN EXT. 1 ZONE #4
W9200  [50],R340,MAIN EXT. 2 ZONE #1
W9250  [50],R341,MAIN EXT. 2 ZONE #2
W9300  [50],R342,MAIN EXT. 2 ZONE #3
W9350  [50],R343,MAIN EXT. 2 ZONE #4
W9400  [50],,
W9450  [50],,
W9500  [50],,
