,,TEMPERATURE CONTROL 50 WORDS
W6000  [50],R365,CHILL ROLL COOLING SKID
 6050  [50],R366,WATER BATH SKID
 6100  [50],R370,MDO ZONE 1
W6150  [50],R371,MDO ZONE 2
W6200  [50],R372,MDO ZONE 3
W6250  [50],R373,MDO ZONE 4
W6300  [50],R374,MDO ZONE 5
W6350  [50],R375,MDO ZONE 6
W6400  [50],R376,MDO ZONE 7
W6450  [50],R377,MDO ZONE 8
W6500  [50],R378,MDO ZONE 9
W6550  [50],R379,MDO ZONE 10
W6600  [50],R380,MDO ZONE 11
W6650  [50],R381,MDO ZONE 12
W6700  [50],R385,TDO ZONE 1
W6750  [50],R386,TDO ZONE 2
W6800  [50],R387,TDO ZONE 3
W6850  [50],R388,TDO ZONE 4
 6900  [50],R389,TDO ZONE 5
 6950  [50],R390,TDO ZONE 6
W7000  [50],R391,TDO ZONE 7
W7050  [50],R392,TDO ZONE 8
W7100  [50],R393,TDO ZONE 9
W7150  [50],R394,TDO ZONE 10
W7200  [50],R395,TDO ZONE 11
W7250  [50],R396,TDO ZONE 12
W7300  [50],R397,TDO ZONE 13
W7350  [50],R398,TDO ZONE 14
W7400  [50],R399,TDO ZONE 15
W7450  [50],R400,TDO ZONE 16
W7500  [50],R401,TDO ZONE 17
W7550  [50],R402,TDO ZONE 18
W7600  [50],R403,TDO ZONE 19
W7650  [50],R404,TDO ZONE 20
W7700  [50],,
,,
,,
,,
,,
,,
,,
,,
