,F13\TIMER
NO.,COMMENT
T   0,SCM 2222 CARD
T   1,TIMER FOR CHILL ROLL FORWARD STEP 1
T   2,TIMER FOR CHILL ROLL FORWARD STEP 2
T   3,TIMER FOR CHILL ROLL FORWARD STEP 3
T   4,TIMER FOR CHILL ROLL BACKWARD STEP 0
T   5,TIMER FOR CHILL ROLL BACKWARD STEP 1
T   6,TIMER FOR CHILL ROLL BACKWARD STEP 4
T   7,
T   8,
T   9,
T  10,"TIMER TAM 1360,03 AUXILIARY WINDER 1"
T  11,"TIMER LSL 1360,05 WATER BATH"
T  12,"TIMER TAH 1650,03 AUXILIARY WINDER 2"
T  13,"TIMER LSL 1515,02 CHAIN TENSION SYSTEM"
T  14,"TIMER OSL 1515,03 CHAIN TENSION SYSTEM"
T  15,
T  16,
T  17,
T  18,
T  19,"TIMER LOW FLOW ALARM FSL 1831,08"
T  20,"TIMER LOW FLOW ALARM FSL 1831,06"
T  21,"TIMER LOW FLOW ALARM FSL 1831,07"
T  22,"TIMER LOW PRESSURE ALARM PSL 1820,07"
T  23,"TIMER LOW PRESSURE ALARM PSL 1820,13"
T  24,"TIMER LOW PRESSURE ALARM PSL 1820,16"
T  25,
T  26,
T  27,
T  28,
T  29,
T  30,TIMER FOR AEM 811 CONFIGURATION
T  31,
T  32,
T  33,
T  34,
T  35,TIMER FOR CLOSING AUXILIARY WINDER 3 SECURITY FINGER
T  36,TIMER FOR OPENING AUXILIARY WINDER 3 SECURITY FINGER
T  37,
T  38,
T  39,
T  40,TIMER FOR AIR KNIFE BLOWER TURN OFF DELAY DUE TO MDO BUNK
T  41,
T  42,
T  43,
T  44,
T  45,
T  46,
T  47,
T  48,
T  49,
T  50,TIMER FOR STARTING MDO EQUIPMENT
T  51,TIMER FOR STARTING CHILL ROLL EQUIPMENT
T  52,TIMER FOR STARTING MDO EQUIPMENT
T  53,
T  54,
T  55,
T  56,
T  57,
T  58,
T  59,
T  60,
T  61,
T  62,
T  63,
T  64,FILTER OF WEB BREAK DETECTION
T  65,FILTER OF WEB BREAK DETECTION
T  66,
T  67,
T  68,
T  69,
T  70,
T  71,
T  72,
T  73,
T  74,
T  75,
T  76,
T  77,
T  78,
T  79,
T  80,
T  81,
T  82,
T  83,
T  84,
T  85,
T  86,
T  87,
T  88,
T  89,
T  90,
T  91,
T  92,
T  93,
T  94,
T  95,
T  96,
T  97,
T  98,
T  99,
T 100,
T 101,
T 102,
T 103,
T 104,
T 105,
T 106,
T 107,
T 108,
T 109,
T 110,
T 111,
T 112,
T 113,
T 114,
T 115,
T 116,
T 117,
T 118,
T 119,
T 120,
T 121,
T 122,
T 123,
T 124,
T 125,
T 126,
T 127,
T 128,
