,F13\TXT
TXT NO.,COMMENT
TXT  0,CONFIGURATION AEM CARD RACK 0-1 CW0---->CW9
TXT  1,CONFIGURATION AEM CARD RACK 0-2 CW10--->CW19
TXT  2,CONFIGURATION AEM CARD RACK 0-3 CW20--->CW29
TXT  3,CONFIGURATION AEM CARD RACK 0-4 CW30--->CW39
TXT  4,CONFIGURATION AEM CARD RACK 0-5 CW40--->CW49
TXT  5,CONFIGURATION AEM CARD RACK 0-6 CW50--->CW59
TXT  6,CONFIGURATION AEM CARD RACK 0-7 CW60--->CW69
TXT  7,CONFIGURATION AEM CARD RACK 4-0 CW70--->CW79
TXT  8,CONFIGURATION AEM CARD RACK 4-1 CW100-->CW109
TXT  9,CONFIGURATION AEM CARD RACK 4-2 CW110-->CW119
TXT 10,
TXT 11,
TXT 12,
TXT 13,
TXT 14,
TXT 15,
TXT 16,
TXT 17,CONFIGURATION AEM 811 RACK 4-3 CW300-->CW349
TXT 18,
TXT 19,
TXT 20,
TXT 21,
TXT 22,
TXT 23,
TXT 24,
TXT 25,
TXT 26,
TXT 27,
TXT 28,
TXT 29,
TXT 30,
TXT 31,
TXT 32,
TXT 33,
TXT 34,
TXT 35,
TXT 36,
TXT 37,
TXT 38,
TXT 39,
TXT 40,CONFIGURATION SCM 2222 RACK 6-0
TXT 41,COMMUNICATION WITH SUPERVISION PC
TXT 42,
TXT 43,
TXT 44,
TXT 45,
TXT 46,
TXT 47,
TXT 48,
TXT 49,
TXT 50,
TXT 51,
TXT 52,
TXT 53,
TXT 54,
TXT 55,
TXT 56,
TXT 57,
TXT 58,
TXT 59,
TXT 60,
TXT 61,
TXT 62,
TXT 63,
TXT 64,
