NO. ,TAGNAME ,DESCRIPTION
W4000,,
W4001,,
W4002,AOSPR365,SETPOINT    R365
W4003,AOOUR365,OUTPUT
W4004,AOPR365,PROPORTIONAL VALUE
W4005,AOINR365,INTEGRAL
W4006,AODER365,DERIVATIVE
W4007,AOAH+0,HIGH ALARM
W4008,AOAH+1,H+/L- (CONTROL OUT OF RANGE)
W4009,AOAH+2,LOW ALARM
W4010,,
W4011,AOSPR366,SETPOINT    R365
W4012,AOOUR366,OUTPUT
W4013,AOPR366,PROPORTIONAL VALUE
W4014,AOINR366,INTEGRAL
W4015,AODER366,DERIVATIVE
W4016,AOAH+9,HIGH ALARM
W4017,AOAH+10,H+/L- (CONTROL OUT OF RANGE)
W4018,AOAH+12,LOW ALARM
W4019,,
W4020,,
W4021,,
W4022,,
W4023,,
W4024,,
W4025,,
W4026,,
W4027,,
W4028,,
W4029,,
W4030,,
W4031,,
W4032,,
W4033,,
W4034,,
W4035,,
W4036,,
W4037,,
W4038,,
W4039,,
W4040,,
W4041,,
W4042,,
W4043,,
W4044,,
W4045,,
W4046,,
W4047,AOSPR370,SETPOINT    R370
W4048,AOOUR370,OUTPUT
W4049,AOPR370,PROPORTIONAL VALUE
W4050,AOINR370,INTEGRAL
W4051,AODER370,DERIVATIVE
W4052,AOAH+45,HIGH ALARM
W4053,AOAH+46,H+/L- (CONTROL OUT OF RANGE)
W4054,AOAH+47,LOW ALARM
W4055,,
W4056,AOSPR371,SETPOINT    R371
W4057,AOOUR371,OUTPUT
W4058,AOPR371,PROPORTIONAL VALUE
W4059,AOINR371,INTEGRAL
W4060,AODER371,DERIVATIVE
W4061,AOAH+54,HIGH ALARM
W4062,AOAH+55,H+/L- (CONTROL OUT OF RANGE)
W4063,AOAH+56,LOW ALARM
W4064,,
W4065,AOSPR372,SETPOINT    R372
W4066,AOOUR372,OUTPUT
W4067,AOPR372,PROPORTIONAL VALUE
W4068,AOINR372,INTEGRAL
W4069,AODER372,DERIVATIVE
W4070,AOAH+63,HIGH ALARM
W4071,AOAH+64,H+/L- (CONTROL OUT OF RANGE)
W4072,AOAH+65,LOW ALARM
W4073,,
W4074,AOSPR373,SETPOINT    R373
W4075,AOOUR373,OUTPUT
W4076,AOPR373,PROPORTIONAL VALUE
W4077,AOINR373,INTEGRAL
W4078,AODER373,DERIVATIVE
W4079,AOAH+72,HIGH ALARM
W4080,AOAH+73,H+/L- (CONTROL OUT OF RANGE)
W4081,AOAH+74,LOW ALARM
W4082,,
W4083,AOSPR374,SETPOINT    R374
W4084,AOOUR374,OUTPUT
W4085,AOPR374,PROPORTIONAL VALUE
W4086,AOINR374,INTEGRAL
W4087,AODER374,DERIVATIVE
W4088,AOAH+81,HIGH ALARM
W4089,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4090,AOAH+83,LOW ALARM
W4091,,
W4092,AOSPR375,SETPOINT    R375
W4093,AOOUR375,OUTPUT
W4094,AOPR375,PROPORTIONAL VALUE
W4095,AOINR375,INTEGRAL
W4096,AODER375,DERIVATIVE
W4097,AOAH+81,HIGH ALARM
W4098,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4099,AOAH+83,LOW ALARM
W4100,,
W4101,AOSPR376,SETPOINT    R376
W4102,AOOUR376,OUTPUT
W4103,AOPR376,PROPORTIONAL VALUE
W4104,AOINR376,INTEGRAL
W4105,AODER376,DERIVATIVE
W4106,AOAH+81,HIGH ALARM
W4107,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4108,AOAH+83,LOW ALARM
W4109,,
W4110,AOSPR377,SETPOINT    R377
W4111,AOOUR377,OUTPUT
W4112,AOPR377,PROPORTIONAL VALUE
W4113,AOINR377,INTEGRAL
W4114,AODER377,DERIVATIVE
W4115,AOAH+81,HIGH ALARM
W4116,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4117,AOAH+83,LOW ALARM
W4118,,
W4119,AOSPR378,SETPOINT    R378
W4120,AOOUR378,OUTPUT
W4121,AOPR378,PROPORTIONAL VALUE
W4122,AOINR378,INTEGRAL
W4123,AODER378,DERIVATIVE
W4124,AOAH+81,HIGH ALARM
W4125,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4126,AOAH+83,LOW ALARM
W4127,,
W4128,AOSPR379,SETPOINT    R379
W4129,AOOUR379,OUTPUT
W4130,AOPR379,PROPORTIONAL VALUE
W4131,AOINR379,INTEGRAL
W4132,AODER379,DERIVATIVE
W4133,AOAH+81,HIGH ALARM
W4134,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4135,AOAH+83,LOW ALARM
W4136,,
W4137,AOSPR380,SETPOINT    R380
W4138,AOOUR380,OUTPUT
W4139,AOPR380,PROPORTIONAL VALUE
W4140,AOINR380,INTEGRAL
W4141,AODER380,DERIVATIVE
W4142,AOAH+81,HIGH ALARM
W4143,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4144,AOAH+83,LOW ALARM
W4145,,
W4146,AOSPR381,SETPOINT    R381
W4147,AOOUR381,OUTPUT
W4148,AOPR381,PROPORTIONAL VALUE
W4149,AOINR381,INTEGRAL
W4150,AODER381,DERIVATIVE
W4151,AOAH+18,HIGH ALARM
W4152,AOAH+19,H+/L- (CONTROL OUT OF RANGE)
W4153,AOAH+20,LOW ALARM
W4154,,
W4155,,
W4156,,
W4157,,
W4158,,
W4159,,
W4160,,
W4161,,
W4162,,
W4163,,
W4164,,
W4165,,
W4166,,
W4167,,
W4168,,
W4169,,
W4170,,
W4171,,
W4172,,
W4173,,
W4174,,
W4175,,
W4176,,
W4177,,
W4178,,
W4179,,
W4180,,
W4181,,
W4182,AOSPR385,SETPOINT    R385
W4183,AOOUR385,OUTPUT
W4184,AOPR385,PROPORTIONAL VALUE
W4185,AOINR385,INTEGRAL
W4186,AODER385,DERIVATIVE
W4187,AOAH+54,HIGH ALARM
W4188,AOAH+55,H+/L- (CONTROL OUT OF RANGE)
W4189,AOAH+56,LOW ALARM
W4190,,
W4191,AOSPR386,SETPOINT    R386
W4192,AOOUR386,OUTPUT
W4193,AOPR386,PROPORTIONAL VALUE
W4194,AOINR386,INTEGRAL
W4195,AODER386,DERIVATIVE
W4196,AOAH+63,HIGH ALARM
W4197,AOAH+64,H+/L- (CONTROL OUT OF RANGE)
W4198,AOAH+65,LOW ALARM
W4199,,
W4200,AOSPR387,SETPOINT    R387
W4201,AOOUR387,OUTPUT
W4202,AOPR387,PROPORTIONAL VALUE
W4203,AOINR387,INTEGRAL
W4204,AODER387,DERIVATIVE
W4205,AOAH+72,HIGH ALARM
W4206,AOAH+73,H+/L- (CONTROL OUT OF RANGE)
W4207,AOAH+74,LOW ALARM
W4208,,
W4209,AOSPR388,SETPOINT    R388
W4210,AOOUR388,OUTPUT
W4211,AOPR388,PROPORTIONAL VALUE
W4212,AOINR388,INTEGRAL
W4213,AODER388,DERIVATIVE
W4214,AOAH+81,HIGH ALARM
W4215,AOAH+82,H+/L- (CONTROL OUT OF RANGE)
W4216,AOAH+83,LOW ALARM
W4217,,
