NO,TAG ,DESCRIPTION
W4600,AIMER365,MEASURE   R365
W4601,AIOUR365,OUTPUT
W4602,AISPR365,SETPOINT
W4603,AIMER366,MEASURE
W4604,AIOUR366,OUTPUT
W4605,AISPR366,SETPOINT
W4606,,
W4607,,
W4608,,
W4609,,
W4610,,
W4611,,
W4612,,
W4613,,
W4614,,
W4615,AIMER370,MEASURE   R370
W4616,AIOUR370,OUTPUT
W4617,AISPR370,SETPOINT
W4618,AIMER371,MEASURE   R371
W4619,AIOUR371,OUTPUT
W4620,AISPR371,SETPOINT
W4621,AIMER372,MEASURE   R372
W4622,AIOUR372,OUTPUT
W4623,AISPR372,SETPOINT
W4624,AIMER373,MEASURE   R373
W4625,AIOUR373,OUTPUT
W4626,AISPR373,SETPOINT
W4627,AIMER374,MEASURE   R374
W4628,AIOUR374,OUTPUT
W4629,AISPR374,SETPOINT
W4630,AIMER375,MEASURE   R375
W4631,AIOUR375,OUTPUT
W4632,AISPR375,SETPOINT
W4633,AIMER376,MEASURE   R376
W4634,AIOUR376,OUTPUT
W4635,AISPR376,SETPOINT
W4636,AIMER377,MEASURE   R378
W4637,AIOUR377,OUTPUT
W4638,AISPR377,SETPOINT
W4639,AIMER378,MEASURE   R379
W4640,AIOUR378,OUTPUT
W4641,AISPR378,SETPOINT
W4642,AIMER379,MEASURE   R380
W4643,AIOUR379,OUTPUT
W4644,AISPR379,SETPOINT
W4645,AIMER380,MEASURE   R381
W4646,AIOUR380,OUTPUT
W4647,AISPR380,SETPOINT
W4648,AIMER381,MEASURE   R382
W4649,AIOUR381,OUTPUT
W4650,AISPR381,SETPOINT
W4651,,
W4652,,
W4653,,
W4654,,
W4655,,
W4656,,
W4657,,
W4658,,
W4659,,
W4660,AIMER385,MEASURE   R385
W4661,AIOUR385,OUTPUT
W4662,AISPR385,SETPOINT
W4663,AIMER386,MEASURE   R386
W4664,AIOUR386,OUTPUT
W4665,AISPR386,SETPOINT
W4666,AIMER387,MEASURE   R387
W4667,AIOUR387,OUTPUT
W4668,AISPR387,SETPOINT
W4669,AIMER388,MEASURE   R388
W4670,AIOUR388,OUTPUT
W4671,AISPR388,SETPOINT
W4672,AIMER389,MEASURE   R389
W4673,AIOUR389,OUTPUT
W4674,AISPR389,SETPOINT
W4675,AIMER390,MEASURE   R390
W4676,AIOUR390,OUTPUT
W4677,AISPR390,SETPOINT
W4678,AIMER391,MEASURE   R391
W4679,AIOUR391,OUTPUT
W4680,AISPR391,SETPOINT
W4681,AIMER392,MEASURE   R392
W4682,AIOUR392,OUTPUT
W4683,AISPR392,SETPOINT
W4684,AIMER393,MEASURE   R393
W4685,AIOUR393,OUTPUT
W4686,AISPR393,SETPOINT
W4687,AIMER394,MEASURE   R394
W4688,AIOUR394,OUTPUT
W4689,AISPR394,SETPOINT
W4690,AIMER395,MEASURE   R395
W4691,AIOUR395,OUTPUT
W4692,AISPR395,SETPOINT
W4693,AIMER396,MEASURE   R396
W4694,AIOUR396,OUTPUT
W4695,AISPR396,SETPOINT
W4696,AIMER397,MEASURE   R397
W4697,AIOUR397,OUTPUT
W4698,AISPR397,SETPOINT
W4699,AIMER398,MEASURE   R398
W4700,AIOUR398,OUTPUT
W4701,AISPR398,SETPOINT
W4702,AIMER399,MEASURE   R399
W4703,AIOUR399,OUTPUT
W4704,AISPR399,SETPOINT
W4705,AIMER400,MEASURE   R400
W4706,AIOUR400,OUTPUT
W4707,AISPR400,SETPOINT
W4708,AIMER401,MEASURE   R401
W4709,AIOUR401,OUTPUT
W4710,AISPR401,SETPOINT
W4711,AIMER402,MEASURE   R402
W4712,AIOUR402,OUTPUT
W4713,AISPR402,SETPOINT
W4714,AIMER403,MEASURE   R403
W4715,AIOUR403,OUTPUT
W4716,AISPR403,SETPOINT
W4717,AIMER404,MEASURE   R404
W4718,AIOUR404,OUTPUT
W4719,AISPR404,SETPOINT
W4720,,
W4721,,
W4722,,
W4723,,
W4724,,
W4725,,
W4726,,
W4727,,
W4728,,
W4729,AILUBCLIP1,1COUNTER MEASURE FOR CLIPS W/ LUB
W4730,AILUBCLIP2,2COUNTER MEASURE FOR CLIP W/OUT LUB
W4731,AILUBTRAK1,1COUNTER MEASURE FOR TRACK W/ LUB
W4732,AILUBTRAK2,2COUNTER MEASURE FOR TRACK W/OUT LUB
W4733,,
W4734,,
W4735,,AUXILIARY 1 CURRENT (NOT USED)
W4736,,AUXILIARY 2 CURRENT (NOT USED)
W4737,,FPC FLOWMETER (NOT USED)
W4738,,LINE SPEED
W4739,,
W4740,,
W4741,,
W4742,,
W4743,,
W4744,,
W4745,,
W4746,,
W4747,,
W4748,,
W4749,,
W4750,,"SEE ""WORD BIT"""
W4751,,"SEE ""WORD BIT"""
W4752,,"SEE ""WORD BIT"""
W4753,,"SEE ""WORD BIT"""
W4754,,"SEE ""WORD BIT"""
W4755,,"SEE ""WORD BIT"""
W4756,,"SEE ""WORD BIT"""
W4757,,"SEE ""WORD BIT"""
W4758,,"SEE ""WORD BIT"""
W4759,,"SEE ""WORD BIT"""
W4760,,"SEE ""WORD BIT"""
W4761,,"SEE ""WORD BIT"""
W4762,,"SEE ""WORD BIT"""
W4763,,"SEE ""WORD BIT"""
W4764,,"SEE ""WORD BIT"""
W4765,,"SEE ""WORD BIT"""
W4766,,"SEE ""WORD BIT"""
W4767,,"SEE ""WORD BIT"""
W4768,,"SEE ""WORD BIT"""
W4769,,"SEE ""WORD BIT"""
W4770,,"SEE ""WORD BIT"""
W4771,,"SEE ""WORD BIT"""
W4772,,"SEE ""WORD BIT"""
W4773,,"SEE ""WORD BIT"""
W4774,,"SEE ""WORD BIT"""
W4775,,"SEE ""WORD BIT"""
W4776,,"SEE ""WORD BIT"""
W4777,,"SEE ""WORD BIT"""
W4778,,"SEE ""WORD BIT"""
W4779,,"SEE ""WORD BIT"""
W4780,,"SEE ""WORD BIT"""
W4781,,"SEE ""WORD BIT"""
W4782,,"SEE ""WORD BIT"""
W4783,,"SEE ""WORD BIT"""
W4784,,"SEE ""WORD BIT"""
W4785,,"SEE ""WORD BIT"""
W4786,,"SEE ""WORD BIT"""
W4787,,"SEE ""WORD BIT"""
W4788,,"SEE ""WORD BIT"""
W4789,,"SEE ""WORD BIT"""
W4790,,"SEE ""WORD BIT"""
W4791,,"SEE ""WORD BIT"""
W4792,,"SEE ""WORD BIT"""
W4793,,"SEE ""WORD BIT"""
W4794,,"SEE ""WORD BIT"""
W4795,,"SEE ""WORD BIT"""
W4796,,"SEE ""WORD BIT"""
W4797,,"SEE ""WORD BIT"""
W4798,,"SEE ""WORD BIT"""
W4799,,"SEE ""WORD BIT"""
W4800,,"SEE ""WORD BIT"""
W4801,,"SEE ""WORD BIT"""
W4802,,"SEE ""WORD BIT"""
W4803,,"SEE ""WORD BIT"""
W4804,,"SEE ""WORD BIT"""
W4805,,"SEE ""WORD BIT"""
W4806,,"SEE ""WORD BIT"""
W4807,,FREE
W4808,,FREE
W4809,,FREE
W4810,,FREE
W4811,,FREE
W4812,,FREE
W4813,,FREE
W4814,,FREE
W4815,,FREE
W4816,,FREE
W4817,,FREE
W4818,,FREE
W4819,,FREE
W4820,,FREE
W4821,,FREE
W4822,,FREE
W4823,,FREE
W4824,,FREE
W4825,,FREE
W4826,,FREE
W4827,,FREE
W4828,,FREE
W4829,,FREE
W4830,,FREE
W4831,,FREE
W4832,,FREE
W4833,,FREE
W4834,,FREE
W4835,,FREE
W4836,,FREE
W4837,,FREE
W4838,,FREE
W4839,,FREE
W4840,,FREE
W4841,,FREE
W4842,,FREE
W4843,,FREE
W4844,,FREE
W4845,,FREE
W4846,,FREE
W4847,,FREE
W4848,,FREE
W4849,,FREE
W4850,,FREE
W4851,,FREE
W4852,,FREE
W4853,,FREE
W4854,,FREE
W4855,,FREE
W4856,,FREE
W4857,,FREE
W4858,,FREE
W4859,,FREE
W4860,,FREE
W4861,,FREE
W4862,,FREE
W4863,,FREE
W4864,,FREE
W4865,,FREE
W4866,,FREE
W4867,,FREE
W4868,,FREE
W4869,,FREE
W4870,,FREE
W4871,,FREE
W4872,,FREE
W4873,,FREE
W4874,,FREE
W4875,,FREE
W4876,,FREE
W4877,,FREE
W4878,,FREE
W4879,,FREE
W4880,,FREE
W4881,,FREE
W4882,,FREE
W4883,,FREE
W4884,,FREE
W4885,,FREE
W4886,,FREE
W4887,,FREE
W4888,,FREE
W4889,,FREE
W4890,,FREE
W4891,,FREE
W4892,,FREE
W4893,,FREE
W4894,,FREE
W4895,,FREE
W4896,,FREE
W4897,,FREE
W4898,,FREE
W4899,,FREE
W4900,,FREE
W4901,,FREE
W4902,,FREE
W4903,,FREE
W4904,,FREE
W4905,,FREE
W4906,,FREE
W4907,,FREE
W4908,,FREE
W4909,,FREE
W4910,,FREE
W4911,,FREE
W4912,,FREE
W4913,,FREE
W4914,,FREE
W4915,,FREE
W4916,,FREE
W4917,,FREE
W4918,,FREE
W4919,,FREE
W4920,,FREE
W4921,,FREE
W4922,,FREE
W4923,,FREE
W4924,,FREE
W4925,,FREE
W4926,,FREE
W4927,,FREE
W4928,,FREE
W4929,,FREE
W4930,,FREE
W4931,,FREE
W4932,,FREE
W4933,,FREE
W4934,,FREE
W4935,,FREE
W4936,,FREE
W4937,,FREE
W4938,,FREE
W4939,,FREE
W4940,,FREE
W4941,,FREE
W4942,,FREE
W4943,,FREE
W4944,,FREE
W4945,,FREE
W4946,,FREE
W4947,,FREE
W4948,,FREE
W4949,,FREE
W4950,,FREE
W4951,,FREE
W4952,,FREE
W4953,,FREE
W4954,,FREE
W4955,,FREE
W4956,,FREE
W4957,,FREE
W4958,,FREE
W4959,,FREE
W4960,,FREE
W4961,,FREE
W4962,,FREE
W4963,,FREE
W4964,,FREE
W4965,,FREE
W4966,,FREE
W4967,,FREE
W4968,,FREE
W4969,,FREE
W4970,,FREE
W4971,,FREE
W4972,,FREE
W4973,,FREE
W4974,,FREE
W4975,,FREE
W4976,,FREE
W4977,,FREE
W4978,,FREE
W4979,,FREE
W4980,,FREE
W4981,,FREE
W4982,,FREE
W4983,,FREE
W4984,,FREE
W4985,,FREE
W4986,,FREE
W4987,,FREE
W4988,,FREE
W4989,,FREE
W4990,,FREE
W4991,,FREE
W4992,,FREE
W4993,,FREE
W4994,,FREE
W4995,,FREE
W4996,,FREE
W4997,,FREE
W4998,,FREE
W4999,,FREE
W5000,,FREE
W5001,,FREE
W5002,,FREE
W5003,,FREE
W5004,,FREE
W5005,,FREE
W5006,,FREE
W5007,,FREE
W5008,,FREE
W5009,,FREE
W5010,,FREE
W5011,,FREE
W5012,,FREE
W5013,,FREE
W5014,,FREE
W5015,,FREE
W5016,,FREE
W5017,,FREE
W5018,,FREE
W5019,,FREE
W5020,,FREE
W5021,,FREE
W5022,,FREE
W5023,,FREE
W5024,,FREE
W5025,,FREE
W5026,,FREE
W5027,,FREE
W5028,,FREE
W5029,,FREE
W5030,,FREE
W5031,,FREE
W5032,,FREE
W5033,,FREE
W5034,,FREE
W5035,,FREE
W5036,,FREE
W5037,,FREE
W5038,,FREE
W5039,,FREE
W5040,,FREE
W5041,,FREE
W5042,,FREE
W5043,,FREE
W5044,,FREE
W5045,,FREE
