,TEMPERATURE REGULATOR 50 WORD
,
,F13\WORD6
,W100XX
00 [50],ACTUAL VALUE (MEASURE)
01 [51],SETPOINT
02 [52],FREE
03 [53],ALARM H
04 [54],ALARM VALUE ABOVE SETPOINT (H+)
05 [55],ALARM VALUE ABOVE SETPOINT (L-)
06 [56],ALARM L
07 [57],10
08 [58],REAL OUTPUT
09 [59],"7, GENERAL GAIN"
10 [60],I
11 [61],"800, THRESHOLD INHIBIT INTEGRAL"
12 [62],D
13 [63],P
14 [64],"1, OUTPUT GAIN"
15 [65],0
16 [66],"300, RAMP INCREMENT"
17 [67],MEASURE VALUE FOR LAST TIME (T-1)
18 [68],"I VALUE, AFTER CALCULATION"
19 [69],"I VALUE, AFTER CALCULATION"
20 [70],ANALOG OUTPUT
21 [71],STATUS LOOP
22 [72],OUTPUT (MANUAL)
23 [73],OUTPUT COUNTER
24 [74],"OUTPUT -+ 10,000 PTS"
25 [75],"OUTPUT -+ 10,000 PTS"
26 [76],RESERVE CONTROL LOOP
27 [77],TIME SAMPLE FOR DERIVATIVE
28 [78],"ERROR, THE DIFFERENCE BTWN SETPOINT AND ACTUAL VALUE"
29 [79],"ERROR, THE DIFFERENCE BTWN SETPOITN AND ACTUAL VALUE"
30 [80],OUTPUT IN PERCENT (%)
31 [81],FREE
32 [82],"D VALUE, AFTER CALCULATION"
33 [83],"D VALUE, AFTER CALCULATION"
34 [84],"P GAIN, AFTER CALCULATION"
35 [85],"P GAIN, AFTER CALCULATION"
36 [86],PID ACTION
37 [87],PID ACTION
38 [88],FREE
39 [89],FREE
40 [90],FREE
41 [91],FREE
42 [92],FREE
43 [93],COOLING OUTPUT
44 [94],HEATER OUTPUT
45 [95],COUNTER COOLING
46 [96],COUNTER HEATING
47 [97],"30, GAIN COOLING"
48 [98],"30, GAIN HEATING"
49 [99],
