W454  0,"DEFECT MEASURE, R365",
W454  1,"DEFECT MEASURE, R366",
W454  2,,
W454  3,,
W454  4,,
W454  5,"DEFECT MEASURE, R370",
W454  6,"DEFECT MEASURE, R371",
W454  7,"DEFECT MEASURE, R372",
W454  8,"DEFECT MEASURE, R373",
W454  9,"DEFECT MEASURE, R374",
W454  A,"DEFECT MEASURE, R375",
W454  B,"DEFECT MEASURE, R376",
W454  C,"DEFECT MEASURE, R377",
W454  D,"DEFECT MEASURE, R378",
W454  E,"DEFECT MEASURE, R379",
W454  F,"DEFECT MEASURE, R380",
,,
W455  0,"DEFECT MEASURE, R381",
W455  1,,
W455  2,,
W455  3,,
W455  4,"DEFECT MEASURE, R385",
W455  5,"DEFECT MEASURE, R386",
W455  6,"DEFECT MEASURE, R387",
W455  7,"DEFECT MEASURE, R388",
W455  8,"DEFECT MEASURE, R389",
W455  9,"DEFECT MEASURE, R390",
W455  A,"DEFECT MEASURE, R391",
W455  B,"DEFECT MEASURE, R392",
W455  C,"DEFECT MEASURE, R393",
W455  D,"DEFECT MEASURE, R394",
W455  E,"DEFECT MEASURE, R395",
W455  F,"DEFECT MEASURE, R396",
,,
W456  0,"DEFECT MEASURE, R397",
W456  1,"DEFECT MEASURE, R398",
W456  2,"DEFECT MEASURE, R399",
W456  3,"DEFECT MEASURE, R400",
W456  4,"DEFECT MEASURE, R401",
W456  5,"DEFECT MEASURE, R402",
W456  6,"DEFECT MEASURE, R403",
W456  7,"DEFECT MEASURE, R404",
W456  8,,
W456  9,,
W456  A,,
W456  B,,
W456  C,,
W456  D,,
W456  E,,
W456  F,,
,,
W464  5,"COPY FROM W454, 7",
W465  D,"COPY FROM W454, 8",
,,
W500  0,"CONTACTOR ANSWER OF CHILL ROLL COOLING SKID, E160","IB7, 0"
W500  1,"CONTACTOR ANSWER OF WATER BATH COOLING SKID, E161","IB7, 2"
W500  2,"CONTACTOR ANSWER OF ELECTROMAGNETIC BRAKE,   E162","I80, 5"
W500  3,,
W500  4,,
W500  5,,
W500  6,,
W500  7,,
W500  8,,
W500  9,"CONTACTOR ANSWER OF MDO OIL SKID ON,   E169","IB7, 4"
W500  A,"CONTACTOR ANSWER OF MDO PUMP M1430.01, E170","I80, D"
W500  B,"CONTACTOR ANSWER OF MDO PUMP M1430.02, E171","I80, E"
W500  C,"CONTACTOR ANSWER OF MDO PUMP M1430.03, E172","I80, F"
W500  D,"CONTACTOR ANSWER OF MDO PUMP M1430.04, E173","I90, 0"
W500  E,"CONTACTOR ANSWER OF MDO PUMP M1430.05, E174","I90, 1"
W500  F,"CONTACTOR ANSWER OF MDO PUMP M1430.06, E175","I90, 2"
,,
W501  0,"CONTACTOR ANSWER OF MDO PUMP M1430.07, E170","I90, 3"
W501  1,"CONTACTOR ANSWER OF MDO PUMP M1430.08, E171","I90, 4"
W501  2,"CONTACTOR ANSWER OF MDO PUMP M1430.09, E172","I90, 5"
W501  3,"CONTACTOR ANSWER OF MDO PUMP M1430.10, E173","I90, 6"
W501  4,"CONTACTOR ANSWER OF MDO PUMP M1430.11, E174","I90, 7"
W501  5,"CONTACTOR ANSWER OF MDO PUMP M1430.12, E175","I90, 8"
W501  6,,
W501  7,,
W501  8,,
