BIT NO.,TAG NAME,DESCRIPTION
W4750  0,RE+0,CHILL ROLL GAZ HEATER C 1340  E160
W4750  1,RE+1,CHILL ROLL GAZ HEATER C 1340  E161
W4750  2,RE+2,CONTACTOR ANSWER OF CHILL ROLL BRAKE  E162
W4750  3,RE+3,
W4750  4,RE+4,
W4750  5,RE+5,
W4750  6,RE+6,
W4750  7,RE+7,
W4750  8,RE+8,
W4750  9,RE+9,MDO GAZ HEATER C 1430.13  E169
W4750  A,RE+10,MDO PUMP ZONE 1 M 1430.01 E170
W4750  B,RE+11,MDO PUMP ZONE 2 M 1430.02 E171
W4750  C,RE+12,MDO PUMP ZONE 3 M 1430.03 E172
W4750  D,RE+13,MDO PUMP ZONE 4 M 1430.04 E173
W4750  E,RE+14,MDO PUMP ZONE 5 M 1430.05 E174
W4750  F,RE+15,MDO PUMP ZONE 6 M 1430.06 E175
,,
W4751  0,RE+16,MDO PUMP ZONE 7 M 1430.07 E176
W4751  1,RE+17,MDO PUMP ZONE 8 M 1430.08 E177
W4751  2,RE+18,MDO PUMP STRETCHING ZONE 1 M 1430.09  E178
W4751  3,RE+19,MDO PUMP STRETCHING ZONE 2 M 1430.10  E179
W4751  4,RE+20,MDO PUMP STRETCHING ZONE 3 M 1430.11  E180
W4751  5,RE+21,MDO PUMP LAST ZONE 1430.12 E181
W4751  6,RE+22,
W4751  7,RE+23,
W4751  8,RE+24,
W4751  9,RE+25,TDO BLOWER M 1520.01 ZONE 1  E185  BLOWER STATUS
W4751  A,RE+26,TDO INLET BLOWER M 1528.01   E186
W4751  B,RE+27,TDO BLOWER M 1520.02 ZONE 2  E187
W4751  C,RE+28,TDO BLOWER M 1520.03 ZONE 3  E188
W4751  D,RE+29,TDO BLOWER M 1520.04 ZONE 4  E189
W4751  E,RE+30,TDO BLOWER M 1520.05 ZONE 5  E190
W4751  F,RE+31,TDO BLOWER M 1520.06 ZONE 6  E191
,,
W4752  0,RE+32,TDO BLOWER M 1520.07 ZONE 7   E192
W4752  1,RE+33,TDO BLOWER M 1520.08 ZONE 8   E193
W4752  2,RE+34,TDO BLOWER M 1520.09 ZONE 9   E194
W4752  3,RE+35,TDO BLOWER M 1520.10 ZONE 10  E195
W4752  4,RE+36,TDO BLOWER M 1520.11 ZONE 10  E196
W4752  5,RE+37,TDO BLOWER M 1520.12 ZONE 11  E197
W4752  6,RE+38,TDO BLOWER M 1520.13 ZONE 11  E198
W4752  7,RE+39,TDO BLOWER M 1520.14 ZONE 12  E199
W4752  8,RE+40,TDO BLOWER M 1520.15 ZONE 12  E200
W4752  9,RE+41,TDO BLOWER M 1520.16 ZONE 13  E201
W4752  A,RE+42,TDO BLOWER M 1520.17 ZONE 13  E202
W4752  B,RE+43,TDO BLOWER M 1520.18 ZONE 14  E203
W4752  C,RE+44,TDO BLOWER M 1520.19 ZONE 14  E204
W4752  D,RE+45,TDO BLOWER M 1520.20 ZONE 15  E205
W4752  E,RE+46,TDO BLOWER M 1520.21 ZONE 15  E206
W4752  F,RE+47,TDO BLOWER M 1520.22 ZONE 16  E207
,,
W4753  0,RE+48,TDO BLOWER M 1520.23 ZONE 16  E208
W4753  1,RE+49,TDO BLOWER M 1520.24 ZONE 17  E209
W4753  2,RE+50,TDO BLOWER M 1520.25 ZONE 17  E210
W4753  3,RE+51,TDO BLOWER M 1520.26 ZONE 18  E211
W4753  4,RE+52,TDO BLOWER M 1520.27 ZONE 18  E212
W4753  5,RE+53,TDO BLOWER M 1520.28 ZONE 19  E213
W4753  6,RE+54,TDO BLOWER M 1520.29 ZONE 19  E214
W4753  7,RE+55,TDO BLOWER M 1520.30 ZONE 20  E215
W4753  8,RE+56,TDO BLOWER M 1520.31 ZONE 20  E216
W4753  9,RE+57,TDO BLOWER M 1520.32 ZONE 21  E217
W4753  A,RE+58,TDO BLOWER M 1520.33 ZONE 21  E218
W4753  B,RE+59,TDO BLOWER M 1520.34 ZONE 22  E219
W4753  C,RE+60,TDO BLOWER M 1520.35 ZONE 22  E220
W4753  D,RE+61,TDO INLET BLOWER M 1528.02 ZONE E221
W4753  E,RE+62,TDO OUTLET BLOWER M 1528.03   E222
W4753  F,RE+63,TDO OUTLET BLOWER M 1525.01   E223
,,
W4754  0,RE+64,TDO OUTLET BLOWER M 1530.01   E224
W4754  1,RE+65,TDO BURNER ZONE 1  M 1540.01   E225
W4754  2,RE+66,TDO BURNER ZONE 2  M 1540.02   E226
W4754  3,RE+67,TDO BURNER ZONE 3  M 1540.03   E227
W4754  4,RE+68,TDO BURNER ZONE 4  M 1540.04   E228
W4754  5,RE+69,TDO BURNER ZONE 5  M 1540.05   E229
W4754  6,RE+70,TDO BURNER ZONE 6  M 1540.06   E230
W4754  7,RE+71,TDO BURNER ZONE 7  M 1540.07   E231
W4754  8,RE+72,TDO BURNER ZONE 8  M 1540.08   E232
W4754  9,RE+73,TDO BURNER ZONE 9  M 1540.09   E233
W4754  A,RE+74,TDO BURNER ZONE 10 M 1540.10   E234
W4754  B,RE+75,TDO BURNER ZONE 11 M 1540.11   E235
W4754  C,RE+76,TDO BURNER ZONE 12 M 1540.12   E236
W4754  D,RE+77,TDO BURNER ZONE 13 M 1540.13   E237
W4754  E,RE+78,TDO BURNER ZONE 14 M 1540.14   E238
W4754  F,RE+79,TDO BURNER ZONE 15 M 1540.15   E239
,,
W4755  0,RE+80,TDO BURNER ZONE 16 M 1540.16   E240
W4755  1,RE+81,TDO BURNER ZONE 17 M 1540.17   E241
W4755  2,RE+82,TDO BURNER ZONE 18 M 1540.18   E242
W4755  3,RE+83,TDO BURNER ZONE 19 M 1540.19   E243
W4755  4,RE+84,TDO BURNER ZONE 20 M 1540.20   E244
W4755  5,RE+85,
W4755  6,RE+86,
W4755  7,RE+87,
W4755  8,RE+88,
W4755  9,RE+89,
W4755  A,RE+90,
W4755  B,RE+91,
W4755  C,RE+92,
W4755  D,RE+93,
W4755  E,RE+94,
W4755  F,RE+95,
,,
W4756  0,RE+96,CHILL ROLL EXHAUST HOOD  M1263-01
W4756  1,RE+97,CHILL ROLL WATER REMOVAL M1330-01
W4756  2,RE+98,CHILL ROLL WATER REMOVAL M1310-01
W4756  3,RE+99,CHILL ROLL WATER REMOVAL M1310-02
W4756  4,RE+100,CHILL ROLL WATER REMOVAL M1310-03
W4756  5,RE+101,CHILL ROLL HORIZONTAL MOVEMENT M1301-01
W4756  6,RE+102,CHILL ROLL BRAKE Y1301-02
W4756  7,RE+103,CHILL ROLL AUXILIARY WINDER 1 M1360-01
W4756  8,RE+104,
W4756  9,RE+105,
W4756  A,RE+106,CHILL ROLL AUXILIARY WINDER M1450-01
W4756  B,RE+107,
W4756  C,RE+108,
W4756  D,RE+109,
W4756  E,RE+110,CONTACTOR ANSWER OF TDO CHAIN TENSION
W4756  F,RE+111,
,,
W4757  0,RE+112,PRS FAN ROLL 2 M1812.01
W4757  1,RE+113,PRS FAN ROLL 11 M1812.01
W4757  2,RE+114,PRS FAN ROLL OZONE EXTRA M1831-01  COR. 1
W4757  3,RE+115,PRS FAN ROLL OZONE EXTRA M1831-02  COR. 2
W4757  4,RE+116,AUXILIARY WINDER 2 M1450.01
W4757  5,RE+117,PRS FAN ROLL OZONE EXTRA M1831-03  COR. 3
W4757  6,RE+118,
W4757  7,RE+119,RECLAIM MATERIAL GRINDER M2607-01
W4757  8,RE+120,RECLAIM MATERIAL GRINDER TRANSPORTER M2508-01
W4757  9,,
W4757  A,,
W4757  B,,
W4757  C,,
W4757  D,,
W4757  E,,
W4757  F,,
,,
W4758  0,,
W4758  1,,
W4758  2,,
W4758  3,,
W4758  4,,
W4758  5,,
W4758  6,,
W4758  7,,
W4758  8,,
W4758  9,,
W4758  A,,
W4758  B,,
W4758  C,,
W4758  D,,
W4758  E,,
W4758  F,,
,,
W4760  0,DIFAE 160,FAULT CHILL ROLL GAZ HEATER C 1340  E160
W4760  1,DIFAE 161,FAULT CHILL ROLL GAZ HEATER C 1350  E161
W4760  2,DIFAE 162,FAULT CHILL ROLL BRAKE Y 1301.02    E162
W4760  3,,
W4760  4,,
W4760  5,,
W4760  6,,
W4760  7,,
W4760  8,,
W4760  9,DIFAE 169,FAULT MDO PUMP GAZ HEATER C 1430.13 E169
W4760  A,DIFAE 170,FAULT MDO PUMP ZONE 1 M 1430.01  E170
W4760  B,DIFAE 171,FAULT MDO PUMP ZONE 2 M 1430.02  E171
W4760  C,DIFAE 172,FAULT MDO PUMP ZONE 3 M 1430.03  E172
W4760  D,DIFAE 173,FAULT MDO PUMP ZONE 4 M 1430.04  E173
W4760  E,DIFAE 174,FAULT MDO PUMP ZONE 5 M 1430.05  E174
W4760  F,DIFAE 175,FAULT MDO PUMP ZONE 6 M 1430.06  E175
,,
W4761  0,DIFAE 176,FAULT MDO PUMP ZONE 7 M 1430.07  E176
W4761  1,DIFAE 177,FAULT MDO PUMP ZONE 8 M 1430.08  E177
W4761  2,DIFAE 178,FAULT MDO PUMP STRET. 1 M1430.09 E178
W4761  3,DIFAE 179,FAULT MDO PUMP STRET. 2 M1430.10 E179
