,F16\BIT.DOC,,
PLC ADR,COMMENT,,
B 0,,,
B 1,CONF SCM XBT 1,,
B 2,CONF SCM XBT 1,,
B 3,CONF SCM XBT 1,,
B 4,CONF SCM XBT 2,,
B 5,CONF SCM XBT 2,,
B 6,CONF SCM XBT 2,,
B 7,CONF SCM MODBUS,,
B 8,CONF SCM MODBUS,,
B 9,CONF SCM MODBUS,,
B 10,CONF SCM MODBUS,,
B 11,CONF SCM UT 1,,
B 12,CONF SCM UT 1,,
B 13,CONF SCM UT 1,,
B 14,CONF SCM UT 2,,
B 15,CONF SCM UT 2,,
B 16,CONF SCM UT 2,,
B 17,CONF SCM UT 3,,
B 18,CONF SCM UT 3,,
B 19,CONF SCM UT 3,,
B 20,RUN AEM 04,,
B 21,RUN AEM 05,,
B 22,FAULT AEM 04,,
B 23,FAULT AEM 05,,
B 24,"""OU"" FAULT AEM",,
B 25,,,
B 26,,,
B 27,,,
B 28,,,
B 29,,,
B 30,TEMPO T6 SR9 XBT,,
B 31,,,
B 32,,,
B 33,,,
B 34,,,
B 35,,,
B 36,,,
B 37,,,
B 38,,,
B 39,,,
B 40,SYNCRO SCM 2116 1,,
B 41,SYNCRO SCM 2116 2,,
B 42,SYNCRO SCM 2116 3,,
B 43,,,
B 44,,,
B 45,,,
B 46,,,
B 47,,,
B 48,,,
B 49,,,
B 50,,,
B 51,,,
B 52,,,
B 53,,,
B 54,,,
B 55,,,
B 56,,,
B 57,,,
B 58,,,
B 59,MDO SPEED REFERENCE (TW 2625) = 0,,MDO SPEED REFERENCE (TW 2625) = 0
B 60,XBT 1 DIALOG FAULT,,
B 61,XBT 1 KEY POSITION,,
B 62,,,
B 63,"XBT 1 ""SET"" KEY ON",,
B 64,4 PARTITION SEND,,
B 65,"XBT 1 ""S/P"" KEY ON",,
B 66,,,
B 67,,,
B 68,,,
B 69,,,
B 70,XBT 2 DIALOG FAULT,,
B 71,XBT 2 KEY POSITION,,
B 72,,,
B 73,"XBT 2 ""SET"" KEY ON",,
B 74,4 PARTITION SEND,,
B 75,,,
B 76,,,
B 77,,,
B 78,,,
B 79,,,
B 80,,,
B 81,,,
B 82,,,
B 83,,,
B 84,,,
B 85,,,
B 86,,,
B 87,,,
B 88,,,
B 89,,,
B 90,PRODUCTION MODE,,
B 91,LOW MODE,,
B 92,INTRODUCTION MODE,,
B 93,,,
B 94,EMERGENCY STOP MEMORY,,
B 95,POWER SUPPLY APPEARANCE,,
B 96,,,
B 97,,,
B 98,,,
B 99,,,
B 100,,,
B 101,POWER ON SPEED CONTROLLER EXT 1,,
B 102,POWER ON SPEED CONTROLLER EXT 2,,
B 103,POWER ON SPEED CONTROLLER SAT 1,,
B 104,POWER ON SPEED CONTROLLER SAT 2,,
B 105,POWER ON SPEED CONTROLLER CR,,
B 106,POWER ON SPEED CONTROLLER MDO 1,,
B 107,POWER ON SPEED CONTROLLER MDO 2,,
B 108,POWER ON SPEED CONTROLLER MDO 3,,
B 109,POWER ON SPEED CONTROLLER TDO,,
B 110,POWER ON SPEED CONTROLLER PRS 1,,
B 111,POWER ON SPEED CONTROLLER PRS 2,,
B 112,POWER ON SPEED CONTROLLER AUX 1,,
B 113,POWER ON SPEED CONTROLLER AUX 2,,
B 114,POWER ON SPEED CONTROLLER WINDER,,
B 115,,,
B 116,,,
B 117,,,
B 118,,,
B 119,,,
B 120,,,
B 121,UNLOCK SPEED CONTROLLER EXT 1,,
B 122,UNLOCK SPEED CONTROLLER EXT 2,,
B 123,UNLOCK SPEED CONTROLLER SAT 1,,
B 124,UNLOCK SPEED CONTROLLER SAT 2,,
B 125,UNLOCK SPEED CONTROLLER CR,,
B 126,UNLOCK SPEED CONTROLLER MDO 1,,
B 127,UNLOCK SPEED CONTROLLER MDO 2,,
B 128,UNLOCK SPEED CONTROLLER MDO 3,,
B 129,UNLOCK SPEED CONTROLLER TDO,,
B 130,UNLOCK SPEED CONTROLLER PRS 1,,
B 131,UNLOCK SPEED CONTROLLER PRS 2,,
B 132,UNLOCK SPEED CONTROLLER AUX 1,,
B 133,UNLOCK SPEED CONTROLLER AUX 2,,
B 134,UNLOCK SPEED CONTROLLER WINDER,,
B 135,,,
B 136,,,
B 137,,,
B 138,,,
B 139,,,
B 140,,,
B 141,STOP SEQUENCE MEMORY EXT 1,,
B 142,STOP SEQUENCE MEMORY EXT 2,,
B 143,STOP SEQUENCE MEMORY SAT 1,,
B 144,STOP SEQUENCE MEMORY SAT 2,,
B 145,STOP SEQUENCE MEMORY CR,,
B 146,STOP SEQUENCE MEMORY MDO 1,,
B 147,STOP SEQUENCE MEMORY MDO 2,,
B 148,STOP SEQUENCE MEMORY MDO 3,,
