PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,
IW4_3_0,Local:4:I.Ch0Data,"SPEED OF TENSION SEPARATION ROLL  (L2,3)",,,,
IW4_3_1,Local:4:I.Ch4Data,MX MD SPEED CONTROL,,,,
IW4_4_0,Local:4:I.Ch1Data,FREE,,,,
IW4_4_1,Local:4:I.Ch5Data,DANCER ROLL MDO1,,,,
IW4_5_0,Local:4:I.Ch2Data,FREE,,,,
IW4_5_1,Local:4:I.Ch6Data,FREE,,,,
IW4_6_0,Local:4:I.Ch3Data,FREE,,,,
IW4_6_1,Local:4:I.Ch7Data,TDO GAUGE,,,,
IW5_3_0,Local:5:I.Ch0Data,EXTRUDER1 PRESSURE REFERENCE,,,,
IW5_3_1,Local:5:I.Ch4Data,SAT1 PRESSURE REFERENCE,,,,
IW5_4_0,Local:5:I.Ch1Data,EXTRUDER1 PRESSURE CONTROL,,,,
IW5_4_1,Local:5:I.Ch5Data,SAT1 PRESSURE CONTROL,,,,
IW5_5_0,Local:5:I.Ch2Data,EXTRUDER2 PRESSURE REFERENCE,,,,
IW5_5_1,Local:5:I.Ch6Data,SAT2 PRESSURE REFERENCE,,,,
IW5_6_0,Local:5:I.Ch3Data,EXTRUDER2 PRESSURE CONTROL,,,,
IW5_6_1,Local:5:I.Ch7Data,SAT2 PRESSURE CONTROL,,,,
IWCR_C,Local:3:I.Ch1Data,CHILL ROLL CURRENT,,,,
IWCR_S,Local:3:I.Ch0Data,CHILL ROLL SPEED,,,,
IWETBM1_C,Remote_ENBT:9:I.Ch0Data,EDGE TRIM BLOWER M1 FLUFF,,,,
IWETBM3_C,Remote_ENBT:9:I.Ch2Data,EDGE TRIM BLOWER M3 EAST,,,,
IWETBM4_C,Remote_ENBT:9:I.Ch3Data,EDGE TRIM BLOWER M4 WEST,,,,
IWETFBN_C,Remote_ENBT:8:I.Ch7Data,FLUFF BLOWER,,,,
IWETGM2_C,Remote_ENBT:9:I.Ch1Data,EDGE TRIM GRINDER M2,,,,
IWETGN_C,Remote_ENBT:9:I.Ch7Data,NORTH GRINDER,,,,
IWFSB_C,Remote_ENBT:9:I.Ch6Data,FLAKE STAND BLOWER (UP STAIR ),,,,
IWMDO1_C,Local:3:I.Ch3Data,MDO1 CURRENT,,,,
IWMDO1_S,Local:3:I.Ch2Data,MDO1 SPEED,,,,
IWMDO2_C,Local:3:I.Ch5Data,MDO2 CURRENT,,,,
IWMDO2_S,Local:3:I.Ch4Data,MDO2 SPEED,,,,
IWMDO3_C,Local:3:I.Ch7Data,MDO3 CURRENT,,,,
IWMDO3_S,Local:3:I.Ch6Data,MDO3 SPEED,,,,
IWOLB_C,Remote_ENBT:9:I.Ch5Data,OFF LINE BLOWER (BASEMENT),,,,
IWOLG_C,Remote_ENBT:9:I.Ch4Data,OFF  LINE GRINDER (BASEMENT),,,,
IWPRI_C,Local:2:I.Ch1Data,PRIMARY EXTRUDER CURRENT,,,,
IWPRI_S,Local:2:I.Ch0Data,PRIMARY EXTRUDER SPEED,,,,
IWPRS1CR1_S,Remote_ENBT:8:I.Ch0Data,SPEED OF PRS1 #1 CHROME ROLL,,,,
IWPRS1CR2_S,Remote_ENBT:8:I.Ch1Data,SPEED OF PRS1 #2 CHROME ROLL,,,,
IWPRS1_C,Local:6:I.Ch3Data,PRS1 CURRENT,,,,
IWPRS1_S,Local:6:I.Ch2Data,PRS1 SPEED,,,,
IWPRS2CR_S,Remote_ENBT:8:I.Ch5Data,SPEED OF PRS2  CHROME ROLL,,,,
IWPRS2CT1_S,Remote_ENBT:8:I.Ch2Data,SPEED OF PRS2  #1 CORONA TREATER ROLL,,,,
IWPRS2CT2_S,Remote_ENBT:8:I.Ch4Data,SPEED OF PRS2  #2 CORONA TREATER ROLL,,,,
IWPRS2FTR_S,Remote_ENBT:8:I.Ch3Data,SPEED OF PRS2  FLAME TREATER ROLL,,,,
IWPRS2_C,Local:6:I.Ch5Data,PRS2 CURRENT,,,,
IWPRS2_S,Local:6:I.Ch4Data,PRS2 SPEED,,,,
IWSAT1_C,Local:2:I.Ch5Data,SAT1 EXTRUDER CURRENT,,,,
IWSAT1_S,Local:2:I.Ch4Data,SAT1 EXTRUDER SPEED,,,,
IWSAT2_C,Local:2:I.Ch7Data,SAT2 EXTRUDER CURRENT,,,,
IWSAT2_S,Local:2:I.Ch6Data,SAT2 EXTRUDER SPEED,,,,
IWSEC_C,Local:2:I.Ch3Data,SECONDARY EXTRUDER CURRENT,,,,
IWSEC_S,Local:2:I.Ch2Data,SECONDARY EXTRUDER SPEED,,,,
IWTDO_C,Local:6:I.Ch1Data,TDO CURRENT,,,,
IWTDO_S,Local:6:I.Ch0Data,TDO SPEED,,,,
IWTSR_C,Remote_ENBT:8:I.Ch6Data,"TSR ACTUAL CURRENT  (L2,3)",,,,
,,,,,,
,,,,,,
,,,,,,
