PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,,
OW40_3,Local:8:O.Ch0Data,EXT1 SPEED REFERENCE (4-20 mA),,,,,
OW40_4,Local:8:O.Ch1Data,EXT2 SPEED REFERENCE (4-20 mA),,,,,
OW40_5,Local:8:O.Ch2Data,SAT1 SPEED REFERENCE (4-20 mA),,,,,
OW40_6,Local:8:O.Ch3Data,SAT2 SPEED REFERENCE (4-20 mA),,,,,
OW41_3,Local:9:O.Ch0Data,CR SPEED REFERENCE (4-20 mA),,,,,
OW41_4,Local:9:O.Ch1Data,MDO1 SPEED REFERENCE (4-20 mA),,,,,
OW41_5,Local:9:O.Ch2Data,MDO2 SPEED REFERENCE (4-20 mA),,,,,
OW41_6,Local:9:O.Ch3Data,MDO3 SPEED REFERENCE (4-20 mA),,,,,
OW42_3,Local:10:O.Ch0Data,TDO SPEED REFERENCE (4-20 mA),,,,,
OW42_4,Local:10:O.Ch1Data,PRS1 SPEED REFERENCE (4-20 mA),,,,,
OW42_5,Local:10:O.Ch2Data,PRS2 SPEED REFERENCE (4-20 mA),,,,,
OW42_6,Local:10:O.Ch3Data,AUX1 SPEED REFERENCE (4-20 mA),,,,,
OW43_3,Local:11:O.Ch0Data,AUX2 SPEED REFERENCE (4-20 mA),,,,,
OW43_4,Local:11:O.Ch1Data,AUX WINDER SPEED REFERENCE (4-20 mA),,,,,
OW43_5,Local:11:O.Ch2Data,LINE SPEED,,,,,
OW43_6,Local:11:O.Ch3Data,TSR SPEED REFERNCE (4-20mA)  (L3),,,,,
OW44_3,Remote_ENBT:1:O.Ch0Data,TDO --> WINDER SPEED (0-10 V)  (L3: PRS2--> WINDER SPEED (0-10 V)),,,,,
OW44_4,Remote_ENBT:1:O.Ch1Data,SETPOINT CR --> MEASUREX,,,,,
OW44_5,Remote_ENBT:1:O.Ch2Data,C. R. SPEED FOR MEASRUEX,,,,,
OW44_6,Remote_ENBT:1:O.Ch3Data,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
