ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[1],,CONF SCM XBT1,,,,
b[2],,CONF SCM XBT1,,,,
b[3],,CONF SCM XBT1,,,,
b[4],,CONF SCM XBT2,,,,
b[5],,CONF SCM XBT2,,,,
b[6],,CONF SCM XBT2,,,,
b[7],,CONF SCM MODBUS  (L2: MISS I/O COMMUNICATION),,,,
b[8],,CONF SCM MODBUS  (L2: MISS I/O COMMUNICATION),,,,
b[9],,CONF SCM MODBUS  (L2: MISS I/O COMMUNICATION),,,,
b[10],,CONF SCM MODBUS  (L2: MISS I/O COMMUNICATION),,,,
b[11],,CONF SCM UT1  (L2: MISS I/O COMMUNICATION),,,,
b[12],,CONF SCM UT1,,,,
b[13],,CONF SCM UT1,,,,
b[14],,CONF SCM UT2,,,,
b[15],,CONF SCM UT2,,,,
b[16],,CONF SCM UT2,,,,
b[17],,CONF SCM UT3,,,,
b[18],,CONF SCM UT3,,,,
b[19],,CONF SCM UT3,,,,
b[20],,RUN AEM 04,,,,
b[21],,RUN AEM 05,,,,
b[22],,FAULT AEM 04,,,,
b[23],,FAULT AEM 04,,,,
b[24],,$QOU$QFAULT AEM,,,,
b[25],,FREE,,,,
b[26],,FREE,,,,
b[27],,FREE,,,,
b[28],,FREE,,,,
b[29],,FREE,,,,
b[30],,TEMPO T6 SR XBT,,,,
b[31],,FREE,,,,
b[32],,FREE,,,,
b[33],,FREE,,,,
b[34],,FREE,,,,
b[35],,FREE,,,,
b[36],,FREE,,,,
b[37],,FREE,,,,
b[38],,FREE,,,,
b[39],,FREE,,,,
b[40],,SYNCRO SCM 2116 1,,,,
b[41],,SYNCRO SCM 2116 2,,,,
b[42],,SYNCRO SCM 2116 3,,,,
b[43],,FREE,,,,
b[44],,FREE,,,,
b[45],,FREE,,,,
b[46],,FREE,,,,
b[47],,FREE,,,,
b[48],,FREE,,,,
b[49],,FREE,,,,
b[50],,FREE,,,,
b[51],,FREE,,,,
b[52],,FREE,,,,
b[53],,FREE,,,,
b[54],,FREE,,,,
b[55],,FREE,,,,
b[56],,FREE,,,,
b[57],,MDO SPEED REFERENCE (W2520) =0  (L2),,,,
b[58],,TDO SPEED REFERENCE (W2825) =0  (L2),,,,
b[59],,PRS SPEED REFERENCE (W2925) =0  (L2),,,,
b[60],,XBT1 DIALOG FAULT,,,,
b[61],,XBT1 KEY POSITION,,,,
b[62],,FREE,,,,
b[63],,XBT1 $QSET$Q KEY ON,,,,
b[64],,4 PARTITION SEND,,,,
b[65],,XBT1 $QS/P$Q KEY ON,,,,
b[66],,FREE,,,,
b[67],,FREE,,,,
b[68],,FREE,,,,
b[69],,FREE,,,,
b[70],,XBT2 DIALOG FAULT,,,,
b[71],,XBT2 KEY POSITION,,,,
b[72],,FREE,,,,
b[73],,XBT2 $QSET$Q KEY ON,,,,
b[74],,4 PARTITION SEND,,,,
b[75],,FREE,,,,
b[76],,FREE,,,,
b[77],,FREE,,,,
b[78],,FREE,,,,
b[79],,FREE,,,,
b[80],,RESET ALL ALARM  (L4),,,,
b[81],,FREE,,,,
b[82],,FREE,,,,
b[83],,FREE,,,,
b[84],,FREE,,,,
b[85],,FREE,,,,
b[86],,FREE,,,,
b[87],,FREE,,,,
b[88],,FREE,,,,
b[89],,FREE,,,,
b[90],,PRODUCTION MODE,,,,
b[91],,LOW MODE,,,,
b[92],,INTRODUCTION MODE,,,,
b[93],,FREE,,,,
b[94],,EMERGENCY STOP MEMORY,,,,
b[95],,POWER SUPPLY APPEARANCE,,,,
b[96],,FREE,,,,
b[97],,FREE,,,,
b[98],,FREE,,,,
b[99],,FREE,,,,
b[100],,FREE,,,,
b[101],,POWER ON SPEED CONTROLLER EXT1,,,,
