PLC ADR,COMMENT,POSITION
T0,CONFIGURATION XBT1,SR0
T1,CONFIGURATION XBT2,SR1
T2,MODIFICATION SET POINT XBT 1/2,SR13
T3,,
T4,CONFIGURATION AEM811,SR4
T5,,
T6,KEY XBT 1/2,SR9
T7,START SEQUENCE EXT1,SR9
T8,START SEQUENCE SAT1,SR9
T9,START SEQUENCE EXT2,SR9
T10,STARTSEQUENCE SAT2,SR9
T11,START SEQUENCE CR,SR9
T12,START SEQUENCE MDO1,SR9
T13,START AND STOP SEQUENCE MDO2,SR9
T14,START AND STOP SEQUENCE MDO3,SR9
T15,START AND STOP SEQUENCE TDO,SR9
T16,START AND STOP SEQUENCE PRS1,SR9
T17,START SEQUENCE PRS2,SR9
T18,START AND STOP SEQUENCE AUX1,SR9
T19,START AND STOP SEQUENCE AUX2,SR9
T20,START SEQUENCE AUX WINDER,SR9
T21,,
T22,,
T23,,
T24,,
T25,AIR KNIFE RETRACT,
T26,,
T27,,
T28,,
T29,,
T30,OFF LINE GRINDER CURRENT ALARM (L3: TIMER),
T31,FLUFF BEL BREAK ALARM  (L3: SPEED SENSOR TIMER),
T32,,
T33,STOP PRS1,
T34,STOP PRS2,
T35,STOP WINDER AUX,
T36,,
T37,,
T38,,
T39,,
T40,CONFIGURATION SCM2126-1,SR7
T41,CONFIGURATION SCM2126-2,SR7
T42,CONFIGURATION SCM2126-3,SR7
T43,DIALOGUE SCM2126-1,SR8
T44,DIALOGUE SCM2126-2,SR8
T45,DIALOGUE SCM2126-3,SR8
,,
T107,STOP SEQUENCE EXT1,
T108,STOP SEQUENCE SAT1,
T109,STOP SEQUENCE EXT2,
T110,STOP SEQUENCE SAT2,
T111,,
T112,,
T113,STOP SEQUENCE MDO2,
T114,STOP SEQUENCE MDO3,
T115,STOP SEQUENCE TDO,
T116,STOP SEQUENCE PRS1,
T117,STOP SEQUENCE PRS2,
T118,,
T119,,
T120,STOP SEQUENCE AUX WINDER,
T121,,
T122,,
T123,,
T124,,
T125,,
T216,START AND STOP SEQUENCE PRS1,
T217,START AND STOP SEQUENCE PRS2,
