PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,,,
W[0],,FREE,,,,,,
W[1],,FREE,,,,,,
W[2],,FREE,,,,,,
W[3],,FREE,,,,,,
W[4],,FREE,,,,,,
W[5],,INC FOR READ & WRITE MODBUS,,,,,,
W[6],,INCREMENT FOR SR4,,,,,,
W[7],,FREE,,,,,,
W[8],,FREE,,,,,,
W[9],,FREE,,,,,,
W[10],,FREE,,,,,,
W[11],,FREE,,,,,,
W[12],,FREE,,,,,,
W[13],,FREE,,,,,,
W[14],,FREE,,,,,,
W[15],,FREE,,,,,,
W[16],,FREE,,,,,,
W[17],,FREE,,,,,,
W[18],,FREE,,,,,,
W[19],,"CONF AEM NUM OF TXT4,M",,,,,,
W[20],,INC FOR CONF AEM,,,,,,
W[21],,BUFFER TO SEND CW OR W,,,,,,
W[22],,BUFFER ADDRESS TO SEND,,,,,,
W[23],,BUFFER LENGTH TO SEND,,,,,,
W[24],,RECEIVE,,,,,,
W[25],,FREE,,,,,,
W[26],,FREE,,,,,,
W[27],,FREE,,,,,,
W[28],,COPY SW20,,,,,,
W[29],,FREE,,,,,,
W[30],,SPEED EXT1 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[31],,SPEED EXT2 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[32],,SPEED SAT1 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[33],,SPEED SAT2 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[34],,SPEED CR VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[35],,SPEED MDO1 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[36],,SPEED MDO2 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[37],,SPEED MDO3 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[38],,SPEED TDO VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[39],,SPEED PRS1 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[40],,SPEED PRS2 VALUE BEFORE TRAITEMENT,tr/min,,,,,
W[41],,CURRENT EXT1 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[42],,CURRENT EXT2 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[43],,CURRENT SAT1 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[44],,CURRENT SAT2 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[45],,CURRENT CR VALUE BEFORE TRAITEMENT,"0,1 Amp",,,,,
W[46],,CURRENT MDO1 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[47],,CURRENT MDO2 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[48],,CURRENT MDO3 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[49],,CURRENT TDO VALUE BEFORE TRAITEMENT,Amp,,,,,
W[50],,CURRENT PRS1 VALUE BEFORE TRAITEMENT,"0,1 Amp",,,,,
W[51],,CURRENT PRS2 VALUE BEFORE TRAITEMENT,Amp,,,,,
W[52],,FREE,,,,,,
W[53],,FREE,,,,,,
W[54],,VALUE BEFORE TRAITEMENT FREE,,,,,,
W[55],,VALUE BEFORE TRAITEMENT FREE,,,,,,
W[56],,VALUE BEFORE TRAITEMENT FREE,,,,,,
W[57],"IW4,3",VALUE BEFORE TRAITEMENT FREE,,,,,,
W[58],"IW4,4",MX MD SPEED CONTROL  GAUGE --> CR,0-10000pts,,,,,
W[59],"IW4,5",MDO1 DANCER ROLL,0-10000pts,,,,,
W[60],,FREE,,,,,,
W[61],"IW4,6",TDO GAUGE,0-10000pts,,,,,
W[62],"IW5,3",VALUE BEFORE TRAITEMENT PRES EXT1 B/F  P511,4-20mA,,,,,
W[63],"IW5,4",VALUE BEFORE TRAITEMENT PRES EXT1 A/F  P512,4-20mA,,,,,
W[64],"IW5,5",VALUE BEFORE TRAITEMENT PRES EXT2 B/F,4-20mA,,,,,
W[65],"IW5,6",VALUE BEFORE TRAITEMENT PRES EXT2 A/F,4-20mA,,,,,
W[66],,VALUE BEFORE TRAITEMENT PRES SAT1 B/F,4-20mA,,,,,
W[67],,VALUE BEFORE TRAITEMENT PRES SAT1 A/F,4-20mA,,,,,
W[68],,VALUE BEFORE TRAITEMENT PRES SAT2 B/F,4-20mA,,,,,
W[69],,VALUE BEFORE TRAITEMENT PRES SAT2 A/F,4-20mA,,,,,
W[70],,FREE,,,,,,
W[71],,FREE,,,,,,
W[72],,FREE,,,,,,
W[73],,FREE,,,,,,
W[74],,FREE,,,,,,
W[75],,FREE,,,,,,
W[76],,FREE,,,,,,
W[77],,FREE,,,,,,
W[78],,FREE,,,,,,
W[79],,FREE,,,,,,
W[80],,FREE,,,,,,
W[81],,FREE,,,,,,
W[82],,FREE,,,,,,
W[83],,FREE,,,,,,
W[84],,FREE,,,,,,
W[85],,FREE,,,,,,
W[86],,FREE,,,,,,
W[87],,FREE,,,,,,
W[88],,FREE,,,,,,
W[89],,FREE,,,,,,
W[90],,DEFECT MAST,,,,,,
W[91],,DEFECT MAST,,,,,,
W[92],,INTERNAL WORD FOR PID,,,,,,
W[93],,INTERNAL WORD FOR PID,,,,,,
W[94],,FREE,,,,,,
W[95],,FREE,,,,,,
W[96],,FREE,,,,,,
W[97],,FREE,,,,,,
W[98],,FREE,,,,,,
W[99],,FREE,,,,,,
W[100],,START ORDER,,,,,,
W[101],,STOP ORDER,,,,,,
W[102],,MODE ORDER,,,,,,
W[102].1,,set point automatic,,,,,,
W[102].2,,speed/pressure ext1,,,,,,
W[102].3,,speed/pressure ext2,,,,,,
W[102].4,,speed/pressure sat1,,,,,,
W[102].5,,speed/pressure sat2,,,,,,
W[102].7,,purge mode ext1; ext2,,,,,,
W[102].8,,purge mode sat1,,,,,,
W[102].9,,purge mode sat2,,,,,,
W[103],,FREE,,,,,,
W[104],,FREE,,,,,,
W[105],,PRESSURE SET POINT EXT1,xxxxPsi,,,,,
W[106],,PRESSURE SET POINT EXT2,xxxxPsi,,,,,
