PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,
CW[0],,CONFIGURATION SCM XBT1,H'0801',,
CW[1],,CONFIGURATION SCM XBT1,H'9600',,
CW[2],,CONFIGURATION SCM XBT1,0,,
CW[3],,CONFIGURATION SCM XBT1,0,,
CW[4],,CONFIGURATION SCM XBT1,1011,,
CW[5],,CONFIGURATION SCM XBT1,H'0D0A',,
CW[6],,CONFIGURATION SCM XBT1,0,,
CW[7],,CONFIGURATION SCM XBT1,0,,
CW[8],,FREE,,,
CW[9],,FREE,,,
CW[10],,CONFIGURATION SCM XBT2,H'0801',,
CW[11],,CONFIGURATION SCM XBT2,H'9600',,
CW[12],,CONFIGURATION SCM XBT2,0,,
CW[13],,CONFIGURATION SCM XBT2,0,,
CW[14],,CONFIGURATION SCM XBT2,1011,,
CW[15],,CONFIGURATION SCM XBT2,H'0D0A',,
CW[16],,CONFIGURATION SCM XBT2,0,,
CW[17],,CONFIGURATION SCM XBT2,0,,
CW[18],,FREE,,,
CW[19],,FREE,,,
CW[20],,CONFIGURATION SCM MODBUS,H'2821',,
CW[21],,CONFIGURATION SCM MODBUS,H'1920',,
CW[22],,CONFIGURATION SCM MODBUS,1,,
CW[23],,CONFIGURATION SCM MODBUS,0,,
CW[24],,CONFIGURATION SCM MODBUS,0,,
CW[25],,CONFIGURATION SCM MODBUS,0,,
CW[26],,CONFIGURATION SCM MODBUS,0,,
CW[27],,CONFIGURATION SCM MODBUS,0,,
CW[28],,CONFIGURATION SCM MODBUS,0,,
CW[29],,CONFIGURATION SCM MODBUS,1000,,
CW[30],,CONFIGURATION SCM MODBUS,200,,
CW[31],,CONFIGURATION SCM MODBUS,1,,
CW[32],,CONFIGURATION SCM MODBUS,0,,
CW[33],,CONFIGURATION SCM MODBUS,0,,
CW[34],,CONFIGURATION SCM MODBUS,0,,
CW[35],,FREE,,,
CW[36],,FREE,,,
CW[37],,FREE,,,
CW[38],,FREE,,,
CW[39],,FREE,,,
CW[40],,PRESET TIME FOR STOP SEQUENCE EXT1,100 ms,,
CW[41],,PRESET TIME FOR STOP SEQUENCE EXT2,100 ms,,
CW[42],,PRESET TIME FOR STOP SEQUENCE SAT1,100 ms,,
CW[43],,PRESET TIME FOR STOP SEQUENCE SAT2,100 ms,,
CW[44],,PRESET TIME FOR STOP SEQUENCE CR,100 ms,,
CW[45],,PRESET TIME FOR STOP SEQUENCE MDO1,100 ms,,
CW[46],,PRESET TIME FOR STOP SEQUENCE MDO2,100 ms,,
CW[47],,PRESET TIME FOR STOP SEQUENCE MDO3,100 ms,,
CW[48],,PRESET TIME FOR STOP SEQUENCE TDO,100 ms,,
CW[49],,PRESET TIME FOR STOP SEQUENCE PRS1,100 ms,,
CW[50],,PRESET TIME FOR STOP SEQUENCE PRS2,100 ms,,
CW[51],,PRESET TIME FOR STOP SEQUENCE AUX1,100 ms,,
CW[52],,PRESET TIME FOR STOP SEQUENCE AUX2,100 ms,,
CW[53],,PRESET TIME FOR STOP SEQUENCE WINDER AUX,100 ms,,
CW[54],,FREE,,,
CW[55],,FREE,,,
CW[56],,FREE,,,
CW[57],,FREE,,,
CW[58],,FREE,,,
CW[59],,FREE,,,
CW[60],,CONFIGURATION AEM 811/04,pg 66,,
CW[61],,,,,
CW[62],,,,,
CW[63],,,,,
CW[64],,,,,
