PLC ADR,ALIAS TO ,DESCRIPTION,UNIT
I5_0,Remote_ENBT:5:I.Data.0,UPS BATTERY NORMAL,
I5_1,Remote_ENBT:5:I.Data.1,PRI. IN-LINE BLOWER DEFECT,
I5_2,Remote_ENBT:5:I.Data.2,SEC. IN-LINE BLOWER DEFECT,
I5_3,Remote_ENBT:5:I.Data.3,PRI. GEAR BOX OIL PUMP DEFECT,
I5_4,Remote_ENBT:5:I.Data.4,UPS LINE OK,
I5_5,Remote_ENBT:5:I.Data.5,SPARE,
I5_6,Remote_ENBT:5:I.Data.6,SPARE,
I5_7,Remote_ENBT:5:I.Data.7,SPARE,
I5_8,Remote_ENBT:5:I.Data.8,SPARE,
I5_9,Remote_ENBT:5:I.Data.9,"PROCESS STOP, TDO INLET",
I5_10,Remote_ENBT:5:I.Data.10,"PROCESS STOP, TDO OUTLET, D.S.",
I5_11,Remote_ENBT:5:I.Data.11,"PROCESS STOP, TDO OUTLET O.S.",
I5_12,Remote_ENBT:5:I.Data.12,TDO SAFETY BAR,
I5_13,Remote_ENBT:5:I.Data.13,"E-STOP, F1",
I5_14,Remote_ENBT:5:I.Data.14,"E-STOP, F42",
I5_15,Remote_ENBT:5:I.Data.15,"E-STOP, F55",
I5_16,Remote_ENBT:5:I.Data.16,"E-STOP, F100",
I5_17,Remote_ENBT:5:I.Data.17,"E-STOP, F101",
I5_18,Remote_ENBT:5:I.Data.18,"E-STOP, F102",
I5_19,Remote_ENBT:5:I.Data.19,"E-STOP, F103",
I5_20,Remote_ENBT:5:I.Data.20,"E-STOP, F104",
I5_21,Remote_ENBT:5:I.Data.21,"E-STOP, F105",
I5_22,Remote_ENBT:5:I.Data.22,"E-STOP, F106",
I5_23,Remote_ENBT:5:I.Data.23,"E-STOP, F107",
I5_24,Remote_ENBT:5:I.Data.24,"E-STOP, F108",
I5_25,Remote_ENBT:5:I.Data.25,"E-STOP, F109",
I5_26,Remote_ENBT:5:I.Data.26,"E-STOP, F110",
I5_27,Remote_ENBT:5:I.Data.27,"E-STOP, F201",
I5_28,Remote_ENBT:5:I.Data.28,"MDO TOP PULL CABLE PROCESS STOP (L3,4)",
I5_29,Remote_ENBT:5:I.Data.29,MD CONTROL FROM I-BRIDGE 1,
I5_30,Remote_ENBT:5:I.Data.30,SPARE,
I5_31,Remote_ENBT:5:I.Data.31,SPARE,
I60_0,Remote_ENBT:2:I.Data.0,DEFECT EXT1,
I60_1,Remote_ENBT:2:I.Data.1,DEFECT EXT2,
I60_2,Remote_ENBT:2:I.Data.2,DEFECT SAT1,
I60_3,Remote_ENBT:2:I.Data.3,DEFECT SAT2,
I60_4,Remote_ENBT:2:I.Data.4,DEFECT CR,
I60_5,Remote_ENBT:2:I.Data.5,DEFECT MDO1,
I60_6,Remote_ENBT:2:I.Data.6,DEFECT MDO2,
I60_7,Remote_ENBT:2:I.Data.7,DEFECT MDO3,
I60_8,Remote_ENBT:2:I.Data.8,DEFECT TDO,
I60_9,Remote_ENBT:2:I.Data.9,DEFECT PRS1,
I60_A,Remote_ENBT:2:I.Data.10,DEFECT PRS2,
I60_B,Remote_ENBT:2:I.Data.11,DEFECT AUX1 (TSR),
I60_C,Remote_ENBT:2:I.Data.12,DEFECT AUX2,
I60_D,Remote_ENBT:2:I.Data.13,DEFECT AUX WINDER,
I60_E,Remote_ENBT:2:I.Data.14,RUN EXT1,
I60_F,Remote_ENBT:2:I.Data.15,RUN EXT2,
I61_0,Remote_ENBT:3:I.Data.0,DRIVE INTERLOCK EXT1,
I61_1,Remote_ENBT:3:I.Data.1,DRIVE INTERLOCK EXT2,
I61_2,Remote_ENBT:3:I.Data.2,DRIVE INTERLOCK SAT1,
I61_3,Remote_ENBT:3:I.Data.3,DRIVE INTERLOCK SAT2,
I61_4,Remote_ENBT:3:I.Data.4,DRIVE INTERLOCK CR,
I61_5,Remote_ENBT:3:I.Data.5,DRIVE INTERLOCK MDO1,
I61_6,Remote_ENBT:3:I.Data.6,DRIVE INTERLOCK MDO2,
I61_7,Remote_ENBT:3:I.Data.7,DRIVE INTERLOCK MDO3,
I61_8,Remote_ENBT:3:I.Data.8,DRIVE INTERLOCK TDO,
I61_9,Remote_ENBT:3:I.Data.9,DRIVE INTERLOCK PRS1,
I61_A,Remote_ENBT:3:I.Data.10,DRIVE INTERLOCK PRS2,
I61_B,Remote_ENBT:3:I.Data.11,DRIVE INTERLOCK AUX1,
I61_C,Remote_ENBT:3:I.Data.12,DRIVE INTERLOCK AUX2,
I61_D,Remote_ENBT:3:I.Data.13,DRIVE INTERLOCK AUX WINDER,
I61_E,Remote_ENBT:3:I.Data.14,WEB BREAK MDO1,
I61_F,Remote_ENBT:3:I.Data.15,WEB BREAK TDO,
I62_0,Remote_ENBT:4:I.Data.0,FORWARD MDO3,
I62_1,Remote_ENBT:4:I.Data.1,BACKWARD MDO3,
I62_2,Remote_ENBT:4:I.Data.2,( - )      (MODIFY FOR PRS STOP BUTTON),
I62_3,Remote_ENBT:4:I.Data.3,( + ),
I62_4,Remote_ENBT:4:I.Data.4,( - - ) / ( + + ),
I62_5,Remote_ENBT:4:I.Data.5,SAG TDO (JOG FORWARD INLET TDO DRIVE),
I62_6,Remote_ENBT:4:I.Data.6,DANCER ROLL TDO (JOG FORWARD OUTLET TDO O.S.),
I62_7,Remote_ENBT:4:I.Data.7,MAINTENANCE TDO (JOG FORWARD OUTLET TDO D.S.,
I62_8,Remote_ENBT:4:I.Data.8,FORWARD PRS1,
I62_9,Remote_ENBT:4:I.Data.9,BACKWARD PRS1,
I62_A,Remote_ENBT:4:I.Data.10,SAG PRS1,
I62_B,Remote_ENBT:4:I.Data.11,WAS:INTRODUCTION F55   NOW: (MODIFY FOR PRS START BUTTON)  ,
I62_C,Remote_ENBT:4:I.Data.12,LOW F55,
I62_D,Remote_ENBT:4:I.Data.13,PRODUCTION F55,
I62_E,Remote_ENBT:4:I.Data.14,WAS:HOLD F55  NOW:(PRS STOP (MODIFIED FROM HOLD F55),
I62_F,Remote_ENBT:4:I.Data.15,FORWARD PRS2,
I70_0,Remote_ENBT:2:I.Data.16,RUN SAT1,
I70_1,Remote_ENBT:2:I.Data.17,RUN SAT2,
I70_2,Remote_ENBT:2:I.Data.18,RUN CR,
I70_3,Remote_ENBT:2:I.Data.19,RUN MDO1,
I70_4,Remote_ENBT:2:I.Data.20,RUN MDO2,
I70_5,Remote_ENBT:2:I.Data.21,RUN MDO3,
I70_6,Remote_ENBT:2:I.Data.22,RUN TDO,
I70_7,Remote_ENBT:2:I.Data.23,RUN PRS1,
I70_8,Remote_ENBT:2:I.Data.24,RUN PRS2,
I70_9,Remote_ENBT:2:I.Data.25,RUN AUX1,
I70_A,Remote_ENBT:2:I.Data.26,RUN AUX2,
I70_B,Remote_ENBT:2:I.Data.27,RUN AUX WINDER,
I70_C,Remote_ENBT:2:I.Data.28,EMERGENCY STOP,
I70_D,Remote_ENBT:2:I.Data.29,TEMPERATURE > 70 DEG.,
I70_E,Remote_ENBT:2:I.Data.30,RELEASE DEFECT,
I70_F,Remote_ENBT:2:I.Data.31,INDEPENDENT SPEED - TDO,
I71_0,Remote_ENBT:3:I.Data.16,WEB BREAK PRS1,
I71_1,Remote_ENBT:3:I.Data.17,WARM ROLL MDO1,
I71_2,Remote_ENBT:3:I.Data.18,WARM ROLL TDO,
I71_3,Remote_ENBT:3:I.Data.19,START/STOP AUX WINDER,
I71_4,Remote_ENBT:3:I.Data.20,FORWARD CR,
I71_5,Remote_ENBT:3:I.Data.21,BACKWARD CR,
I71_6,Remote_ENBT:3:I.Data.22,SAG MDO1,
I71_7,Remote_ENBT:3:I.Data.23,DANCER ROLL MDO1,
I71_8,Remote_ENBT:3:I.Data.24,INTRO F42,
I71_9,Remote_ENBT:3:I.Data.25,LOW F42,
I71_A,Remote_ENBT:3:I.Data.26,PRODUCTION F42,
I71_B,Remote_ENBT:3:I.Data.27,HOLD F42,
I71_C,Remote_ENBT:3:I.Data.28,FORWARD MDO1,
I71_D,Remote_ENBT:3:I.Data.29,BACKWARD MDO1,
I71_E,Remote_ENBT:3:I.Data.30,FORWARD MDO2,
I71_F,Remote_ENBT:3:I.Data.31,BACKWARD MDO2,
I72_0,Remote_ENBT:4:I.Data.16,BACKWARD PRS2,
I72_1,Remote_ENBT:4:I.Data.17,SAG PRS2,
I72_2,Remote_ENBT:4:I.Data.18,START AUX1,
I72_3,Remote_ENBT:4:I.Data.19,STOP AUX1,
I72_4,Remote_ENBT:4:I.Data.20,START AUX2,
I72_5,Remote_ENBT:4:I.Data.21,STOP AUX2,
I72_6,Remote_ENBT:4:I.Data.22,GAUGE IN ACTION,
I72_7,Remote_ENBT:4:I.Data.23,WINDER DEFECT,
I72_8,Remote_ENBT:4:I.Data.24,TDO INLET KEYSWITCH,
I72_9,Remote_ENBT:4:I.Data.25,PRS INDEPENDENT,
I72_A,Remote_ENBT:4:I.Data.26,PRS1 PANEL,
I72_B,Remote_ENBT:4:I.Data.27,PRS1 LOCAL,
I72_C,Remote_ENBT:4:I.Data.28,JOG START PRS1,
I72_D,Remote_ENBT:4:I.Data.29,PRS2 PANEL,
I72_E,Remote_ENBT:4:I.Data.30,PRS2 LOCAL,
I72_F,Remote_ENBT:4:I.Data.31,JOG START PRS2,
