,FPC DC DRIVE PLC - F16 - INPUTS OUTPUTS,,
,,,
,F16\INPUTOUTPUT.DOC,,
PLC ADR,COMMENT,,
"I60,0",DEFECT EXT 1,,
"I60,1",DEFECT EXT 2,,
"I60,2",DEFECT SAT 1,,
"I60,3",DEFECT SAT 2,,
"I60,4",DEFECT CR,,
"I60,5",DEFECT MDO 1,,
"I60,6",DEFECT MDO 2,,
"I60,7",DEFECT MDO 3,,
"I60,8",DEFECT TDO,,
"I60,9",DEFECT PRS 1,,
"I60,A",DEFECT PRS 2,,
"I60,B",DEFECT AUX 1      TSR DEFECT,,
"I60,C",DEFECT AUX 2,,
"I60,D",DEFECT WINDER,,
"I60,E",RUN EXT 1,,
"I60,F",RUN EXT 2,,
,,,
"I70,0",RUN SAT 1,,
"I70,1",RUN SAT 2,,
"I70,2",RUN CR,,
"I70,3",RUN MDO 1,,
"I70,4",RUN MDO 2,,
"I70,5",RUN MDO 3,,
"I70,6",RUN TDO,,
"I70,7",RUN PRS 1,,
"I70,8",RUN PRS 2,,
"I70,9",RUN AUX 1,,
"I70,A",RUN AUX 2,,
"I70,B",RUN WINDER,,
"I70,C",EMERGENCY STOP PRS,,
"I70,D",TEMPERATURE > 70 DEGREES,,
"I70,E",REALIZE DEFECT,,
"I70,F",IND. SPEED TDO,,
,,,
"I61,0",DRIVE INTERLOCK EXT 1,,
"I61,1",DRIVE INTERLOCK EXT 2,,
"I61,2",DRIVE INTERLOCK SAT 1,,
"I61,3",DRIVE INTERLOCK SAT 2,,
"I61,4",DRIVE INTERLOCK CR,,
"I61,5",DRIVE INTERLOCK MDO 1,,
"I61,6",DRIVE INTERLOCK MDO 2,,
"I61,7",DRIVE INTERLOCK MDO 3,,
"I61,8",DRIVE INTERLOCK TDO,,
"I61,9",DRIVE INTERLOCK PRS 1,,
"I61,A",DRIVE INTERLOCK PRS 2,,
"I61,B",DRIVE INTERLOCK AUX 1,,
"I61,C",DRIVE INTERLOCK AUX 2,,
"I61,D",DRIVE INTERLOCK WINDER,,
"I61,E",WEB BREAK MDO 1,,
"I61,F",WEB BREAK TDO,,
,,,
"I71,0",WEB BREAK PRS 1,,
"I71,1",WARM ROLL MDO 1,,
"I71,2",WARM ROLL TDO,,
"I71,3",START STOP WINDER,,
"I71,4",FORWARD CR,,
"I71,5",BACKWARD CR,,
"I71,6",SAG MDO 1,,
"I71,7",DANCER ROLL MDO 1,,
"I71,8",INTRO F42,,
"I71,9",LOW F42,,
"I71,A",PRODUCTION F42,,
"I71,B",HOLD F42,,
"I71,C",FORWARD MDO 1,,
"I71,D",BACKWARD MDO 1,,
"I71,E",FORWARD MDO 2,,
"I71,F",BACKWARD MDO 2,,
,,,
"I62,0",FORWARD MDO 3,,
"I62,1",BACKWARD MDO 3,,
"I62,2",(-),,
"I62,3",(+),,
"I62,4",(- -)/(+ +),,
"I62,5",SAG TDO,,
"I62,6",DANCER ROLL TDO,,
"I62,7",MAINTENANCE TDO,,
"I62,8",FORWARD PRS 1,,
"I62,9",BACKWARD PRS 1,,
"I62,A",SAG PRS 1,,
"I62,B",INTRO F55,,
"I62,C",LOW F55,,
"I62,D",PRODUCTION F55,,
"I62,E",HOLD F55,,
"I62,F",FORWARD PRS 2,,
,,,
"I72,0",BACKWARD PRS 2,,
"I72,1",SAG PRS 2,,
"I72,2",START AUX 1,,
"I72,3",STOP AUX 1,,
"I72,4",START AUX 2,,
"I72,5",STOP AUX 2,,
"I72,6",GAUGE IN ACTION,,
"I72,7",WINDER DEFECT,,
"I72,8",TDO INLET KEY SWITCH,,
"I72,9",(FREE)    PRS INDEPENDENT,PRS INDEPENDENT,
"I72,A",(FREE)    PRS 1 PANEL - JOG,PRS 1 PANEL - JOG,
"I72,B",(FREE)    PRS 1 LOCAL - JOG,PRS 1 LOCAL - JOG,
"I72,C",(FREE)    PRS 1 START - JOG,PRS 1 START - JOG,
"I72,D",(FREE)    PRS 2 PANEL - JOG,PRS 2 PANEL - JOG,
"I72,E",(FREE)    PRS 2 LOCAL - JOG,PRS 2 LOCAL - JOG,
"I72,F",(FREE)    PRS 2 START - JOG,PRS 2 START - JOG,
,,,
"O64,0",ON/OFF EXT 1,,
"O64,1",ON/OFF EXT 2,,
"O64,2",ON/OFF SAT 1,,
"O64,3",ON/OFF SAT 2,,
"O64,4",ON/OFF CR,,
"O64,5",ON/OFF MDO 1,,
"O64,6",ON/OFF MDO 2,,
"O64,7",ON/OFF MDO 3,,
"O64,8",ON/OFF TDO,,
"O64,9",ON/OFF PRS 1,,
"O64,A",ON/OFF PRS 2,,
"O64,B",ON/OFF AUX 1,,
"O64,C",ON/OFF AUX 2,,
"O64,D",ON/OFF AUX WINDER,,
"O64,E",UNLOCK EXT 1,,
"O64,F",UNLOCK EXT 2,,
,,,
"O74,0",UNLOCK SAT 1,,
"O74,1",UNLOCK SAT 2,,
"O74,2",UNLOCK CR,,
"O74,3",UNLOCK MDO 1,,
"O74,4",UNLOCK MDO 2,,
"O74,5",UNLOCK MDO 3,,
"O74,6",UNLOCK TDO,,
"O74,7",UNLOCK PRS 1,,
"O74,8",UNLOCK PRS 2,,
"O74,9",UNLOCK AUX 1,,
"O74,A",UNLOCK AUX 2,,
"O74,B",UNLOCK WINDER,,
"O74,C",FORWARD CR,,
"O74,D",BACKWARD CR,,
"O74,E",FORWARD MDO 1,,
"O74,F",BACKWARD MDO 1,,
,,,
"O65,0",FORWARD MDO 2,,
"O65,1",BACKWARD MDO 2,,
"O65,2",FORWARD MDO 3,,
"O65,3",BACKWARD MDO 3,,
"O65,4",FORWARD PRS 1,,
"O65,5",BACKWARD PRS 1,,
"O65,6",FORWARD PRS 2,,
"O65,7",BACKWARD PRS 2,,
"O65,8",INTRO F42,,
"O65,9",LOW F42,,
"O65,A",PRODUCTION F42,,
"O65,B",HOLD F42,,
"O65,C",INTRO F55,,
"O65,D",LOW F55,,
"O65,E",PRODUCTION F55,,
"O65,F",HOLD F55,,
,,,
"O75,0",DANCER ROLL MDO,,
"O75,1",TDO LOW SPEED     XE01 - INTRODUCTION MODE LIGHT BARRIER PRS      ,,XE01 - INTRODUCTION MODE LIGHT BARRIER PRS
"O75,2",DANCER ROLL TDO,,
"O75,3",PRODUCTION F12,,
"O75,4",PRODUCTION F13,,
"O75,5",ROTATION CR,,
"O75,6",ROTATION MDO 1,,
"O75,7",ROTATION MDO 2,,
"O75,8",ROTATION MDO 3,,
"O75,9",FAULT TDO,,
"O75,A",PRS UP TO SPEED - XE02,,
"O75,B",JOB MODE TO F13 - XE02,,
"O75,C",WEB BREAK FOR FIFE GUIDE TREND - XE01      XE02 - INTRODUCTION MODE?,,
"O75,D",XE02 - LOW MODE?            XE01 - LOW MODE LIGHT BARRIER PRS,,XE01 - LOW MODE LIGHT BARRIER PRS
"O75,E",TENSION ROLL RUN - XE02,,
