PLC ADR,ALIAS TO ,DESCRIPTION,UNIT
O64_0,Remote_ENBT:6:O.Data.0,ON/OFF EXT1,
O64_1,Remote_ENBT:6:O.Data.1,ON/OFF EXT2,
O64_2,Remote_ENBT:6:O.Data.2,ON/OFF SAT1,
O64_3,Remote_ENBT:6:O.Data.3,ON/OFF SAT2,
O64_4,Remote_ENBT:6:O.Data.4,ON/OFF CR,
O64_5,Remote_ENBT:6:O.Data.5,ON/OFF MDO1,
O64_6,Remote_ENBT:6:O.Data.6,ON/OFF MDO2,
O64_7,Remote_ENBT:6:O.Data.7,ON/OFF MDO3,
O64_8,Remote_ENBT:6:O.Data.8,ON/OFF TDO,
O64_9,Remote_ENBT:6:O.Data.9,ON/OFF PRS1,
O64_A,Remote_ENBT:6:O.Data.10,ON/OFF PRS2,
O64_B,Remote_ENBT:6:O.Data.11,ON/OFF AUX1,
O64_C,Remote_ENBT:6:O.Data.12,ON/OFF AUX2,
O64_D,Remote_ENBT:6:O.Data.13,ON/OFF AUX WINDER,
O64_E,Remote_ENBT:6:O.Data.14,UNLOCK EXT1,
O64_F,Remote_ENBT:6:O.Data.15,UNLOCK EXT2,
O65_0,Remote_ENBT:7:O.Data.0,FORWARD MDO2,
O65_1,Remote_ENBT:7:O.Data.1,BACKWARD MDO2,
O65_2,Remote_ENBT:7:O.Data.2,FORWARD MDO3,
O65_3,Remote_ENBT:7:O.Data.3,BACKWARD MDO3,
O65_4,Remote_ENBT:7:O.Data.4,FORWARD PRS1,
O65_5,Remote_ENBT:7:O.Data.5,BACKWARD PRS1,
O65_6,Remote_ENBT:7:O.Data.6,FORWARD PRS2,
O65_7,Remote_ENBT:7:O.Data.7,BACKWARD PRS2,
O65_8,Remote_ENBT:7:O.Data.8,INTRO F42,
O65_9,Remote_ENBT:7:O.Data.9,LOW F42,
O65_A,Remote_ENBT:7:O.Data.10,PRODUCTION F42,
O65_B,Remote_ENBT:7:O.Data.11,HOLD F42,
O65_C,Remote_ENBT:7:O.Data.12,INTRO F55,
O65_D,Remote_ENBT:7:O.Data.13,LOW F55,
O65_E,Remote_ENBT:7:O.Data.14,PRODUCTION F55,
O65_F,Remote_ENBT:7:O.Data.15,HOLD F55,
O74_0,Remote_ENBT:6:O.Data.16,UNLOCK SAT1,
O74_1,Remote_ENBT:6:O.Data.17,UNLOCK SAT2,
O74_2,Remote_ENBT:6:O.Data.18,UNLOCK CR,
O74_3,Remote_ENBT:6:O.Data.19,UNLOCK MDO1,
O74_4,Remote_ENBT:6:O.Data.20,UNLOCK MDO2,
O74_5,Remote_ENBT:6:O.Data.21,UNLOCK MDO3,
O74_6,Remote_ENBT:6:O.Data.22,UNLOCK TDO,
O74_7,Remote_ENBT:6:O.Data.23,UNLOCK PRS1,
O74_8,Remote_ENBT:6:O.Data.24,UNLOCK PRS2,
O74_9,Remote_ENBT:6:O.Data.25,UNLOCK AUX1,
O74_A,Remote_ENBT:6:O.Data.26,UNLOCK AUX2,
O74_B,Remote_ENBT:6:O.Data.27,UNLOCK WINDER,
O74_C,Remote_ENBT:6:O.Data.28,FORWARD CR,
O74_D,Remote_ENBT:6:O.Data.29,BACKWARD CR,
O74_E,Remote_ENBT:6:O.Data.30,FORWARD MDO1,
O74_F,Remote_ENBT:6:O.Data.31,BACKWARD MDO1,
O75_0,Remote_ENBT:7:O.Data.16,DANCER ROLL MDO,
O75_1,Remote_ENBT:7:O.Data.17,TDO LOW SPEED,
O75_2,Remote_ENBT:7:O.Data.18,DANCER ROLL TDO,
O75_3,Remote_ENBT:7:O.Data.19,PRODUCTION F12,
O75_4,Remote_ENBT:7:O.Data.20,PRODUCTION F13,
O75_5,Remote_ENBT:7:O.Data.21,ROTATION CR,
O75_6,Remote_ENBT:7:O.Data.22,ROTATION MDO1,
O75_7,Remote_ENBT:7:O.Data.23,ROTATION MDO2,
O75_8,Remote_ENBT:7:O.Data.24,ROTATION MDO3,
O75_9,Remote_ENBT:7:O.Data.25,FAULT TDO,
O75_A,Remote_ENBT:7:O.Data.26,PRS UP TO SPEED ,
O75_B,Remote_ENBT:7:O.Data.27,JOG MODE TO F13 ,
O75_C,Remote_ENBT:7:O.Data.28,INTRODUCTION MODE FOR LIGHT BARRIER),
O75_D,Remote_ENBT:7:O.Data.29,LOW MODE FOR LIGHT BARRIER,
O75_E,Remote_ENBT:7:O.Data.30,(L3: DANCER  ROLL RUN),
O75_F,Remote_ENBT:7:O.Data.31,(L3: DANCER  ROLL UNLOCK),
O76_0,Remote_ENBT:10:O.Data.0,OFF LINE GRINDER CURRENT ALARM,
O76_1,Remote_ENBT:10:O.Data.1,FLUFF BELT BREAK ALARM,
O76_2,Remote_ENBT:10:O.Data.2,TDO DEFECT TO F13 SHUT OFF BLOWER,
O76_3,Remote_ENBT:10:O.Data.3,FREE,
O76_4,Remote_ENBT:10:O.Data.4,FREE,
O76_5,Remote_ENBT:10:O.Data.5,FREE,
O76_6,Remote_ENBT:10:O.Data.6,FREE,
O76_7,Remote_ENBT:10:O.Data.7,FREE,
O76_8,Remote_ENBT:10:O.Data.8,FREE,
O76_9,Remote_ENBT:10:O.Data.9,FREE,
O76_A,Remote_ENBT:10:O.Data.10,FREE,
O76_B,Remote_ENBT:10:O.Data.11,FREE,
O76_C,Remote_ENBT:10:O.Data.12,FREE,
O76_D,Remote_ENBT:10:O.Data.13,FREE,
O76_E,Remote_ENBT:10:O.Data.14,FREE,
O76_F,Remote_ENBT:10:O.Data.15,FREE,
O77_0,Remote_ENBT:10:O.Data.16,FREE,
O77_1,Remote_ENBT:10:O.Data.17,FREE,
O77_2,Remote_ENBT:10:O.Data.18,FREE,
O77_3,Remote_ENBT:10:O.Data.19,FREE,
O77_4,Remote_ENBT:10:O.Data.20,FREE,
O77_5,Remote_ENBT:10:O.Data.21,FREE,
O77_6,Remote_ENBT:10:O.Data.22,FREE,
O77_7,Remote_ENBT:10:O.Data.23,FREE,
O77_8,Remote_ENBT:10:O.Data.24,FREE,
O77_9,Remote_ENBT:10:O.Data.25,FREE,
O77_A,Remote_ENBT:10:O.Data.26,FREE,
O77_B,Remote_ENBT:10:O.Data.27,FREE,
O77_C,Remote_ENBT:10:O.Data.28,FREE,
O77_D,Remote_ENBT:10:O.Data.29,FREE,
O77_E,Remote_ENBT:10:O.Data.30,FREE,
O77_F,Remote_ENBT:10:O.Data.31,FREE,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
