,WINDER FPC KF021 07/07/92 BITS,,,
,,,,
,F201\BIT.DOC,,,
PLC ADR,COMMENT,UNIT,Mark,
B 0,MAIN SUPPLY APPEARANCE FOR DISPLAY,,,
B 1,MAIN SUPPLY APPEARANCE,,,
B 2,CUTTING/WINDING INTRODUCTION (CUTTING IF = 1),,,
B 3,,,,
B 4,INITIALIZATION,,,
B 5,"""OR"" ALARM B9 -----> B24",,,
B 6,,,,
B 7,,,,
B 8,END OF ROLL: LENGTH SETPOINT = MEASURE,,,
B 9,CARRIAGE PUMP HIGH PRESSURE ALARM,,,
B 10,CARRIAGE PUMP LOW PRESSURE ALARM,,,
B 11,CARRIAGE PUMP LOW LEVEL ALARM,,,
B 12,CARRIAGE PUMP MOTOR ALARM,,,
B 13,,,,
B 14,,,,
B 15,,,,
B 16,,,,
B 17,(WINDER PROCESS STOP) ALARM,,,
B 18,ROLL DIAMETER MAXIMUM ALARM,,,
B 19,PNEUMATIC LOW PRESSURE ALARM,,,
B 20,,,,
B 21,CONTACT ROLL ALARM,,,
B 22,TURRET ALARM,,,
B 23,CORE A ALARM,,,
B 24,CORE B ALARM,,,
B 25,"WEB BREAK WEB ON,NO ALARM,NO FILM, NO Roll CHANGE",,,"WB ON NO ALARM, NO FIRM, NO RON CHANGE"
B 26,ROLL EXCHANGE ON,,,
B 27,"COPY OUT M1,R",,,
B 28,"COPY OUT M3,R",,,
B 29,"COPY OUT M5,R",,,
B 30,,,,
B 31,CONTACT ROLL RUN ORDER,,,
B 32,TURRET RUN ORDER,,,
B 33,CORE A RUN ORDER,,,
B 34,CORE B RUN ORDER,,,
B 35,,,,
B 36,,,,
B 37,,,,
B 38,"COPY OUT M10,R",,,
B 39,,,,
B 40,CHUCK OPEN,,,
B 41,CHUCK CLOSE,,,
B 42,,,,
B 43,,,,
B 44,CARRIAGE HYDRAULIC PUMP RUN ORDER,,,
B 45,,,,
B 46,RAISING EDGE HYDRAULIC PUMP RUN ORDER,,,
B 47,,,,
B 48,,,,
B 49,,,,
B 50,ALARM -----> TURN LIGHT ORDER,,,
B 51,COPY OUT X0 FOR RAISING EDGE,,,
B 52,"COPY OUT M14,R FOR RAISING EDGE",,,
B 53,WEB BREAK THRESHOLD FOR TIMER START,,,
B 54,COPY OUT X20 FOR RAISING EDGE,,,
B 55,END OF MANUAL CONTROL CUT,,,
B 56,COPY OUT B306 FOR RAISING EDGE,,,
B 57,COPY OUT B216 FOR RAISING EDGE,,,
B 58,CORE A DIAMETER CALCULATION BYPASS,,,
B 59,CORE B DIAMETER CALCULATION BYPASS,,,
B 60,MANUAL CUTTING IN WORK,,,
B 61,AUTO CUTTING IN WORK,,,
B 62,WEB BREAK SEQUENCE IN WORK,,,
B 63,,,,
B 64,,,,
B 65,ROLL CONTINUE,,,
B 66,CARRIAGE IN WINDING ZONE,,,
B 67,CUTTING TENSION ORDER,,,
B 68,LENGTH COUNTER BYPASS,,,
B 69,,,,
B 70,,,,
B 71,,,,
B 72,,,,
B 73,,,,
B 74,,,,
B 75,,,,
B 76,,,,
B 77,,,,
B 78,,,,
B 79,,,,
B 80,CORE A JOG FORWARD ORDER,,,
B 81,CORE A JOG REVERSE ORDER,,,
B 82,CORE B JOG FORWARD ORDER,,,
B 83,CORE B JOG REVERSE ORDER,,,
B 84,,,,
B 85,,,,
B 86,LENGTH < LENGTH MINI,,,
B 87,LENGTH MINI < LENGTH < LENGTH MAXI,,,
B 88,LENGTH > LENGTH MAXI,,,
B 89,,,,
B 90,,,,
B 91,,,,
B 92,,,,
B 93,"COPY OUT M7,R      DELAY MODULE",,,
B 94,COPY OUT B302 (PB KNIFE),,,
B 95,Web break byPASS ON (PB) ,,,
B 96,,,,
B 97,COPY OUT B215 (PB CHUCKS),,,
B 98,START CUT FIRST ORDER,,,
B 99,START CUT ORDER,,,
B 100,COPY OUT B301 (PB CUTTING ARM),,,
B 101,CUTTING ARM MANUAL CONTROL FIRST ORDER,,,
B 102,CUTTING ARM MANUAL CONTROL ORDER,,,
B 103,,,,
B 104,INITIALIZATION FIRST ORDER,,,
B 105,INITIALIZATION ORDER,,,
B 106,,,,
B 107,CORE A RUN IN MANUAL MODE,,,
B 108,CORE B RUN IN MANUAL MODE,,,
B 109,,,,
B 110,TURRET CUTTING INTRODUCTION ROTATION,,,
B 111,TURRET WINDING INTRODUCTION ROTATION,,,
B 112,TURRET AUTO CUTTING ROTATION,,,
B 113,TURRET MANUAL CUTTING ROTATION,,,
B 114,TURRET FUNCTION TEST ROTATION,,,
B 115,TURRET ORDER,,,
B 116,TURRET INIT.,,,
B 117,,,,
B 118,CORE A ORDER MEMORY,,,
B 119,CORE B ORDER MEMORY,,,
B 120,KNIFE ORDER INTERMEDIATE,,,
B 121,,,,
B 122,CUTTING ARM ORDER INTERMEDIATE,,,
B 123,,,,
B 124,CORE A ORDER INTERMEDIATE,,,
B 125,CORE B ORDER INTERMEDIATE,,,
B 126,CTM100 (PRESET VALUE WHEN CURRENT VALUE < 0),,,
B 127,CTM100 (PRESET VALUE WHEN POWER UP),,,
B 128,,,,
B 129,,,,
B 130,TURRET POSITION B CORE A IN WINDING,,,
B 131,,,,
B 132,TURRET POSITION E CORE A IN MANUAL CUT,,,
B 133,,,,
B 134,,,,
B 135,TURRET POSITION G CORE B IN WINDING,,,
B 136,,,,
B 137,TURRET POSITION J CORE B IN MANUAL CUT,,,
B 138,,,,
B 139,,,,
B 140,"COPY OUT TXT1,D FOR RAISING EDGE",,,
B 141,,,,
B 142,,,,
B 143,,,,
B 144,,,,
B 145,,,,
B 146,,,,
B 147,,,,
B 148,,,,
B 149,,,,
B 150,RAISING EDGE APPEARANCE MODULE IN RACK,AEM Nb 1,,
B 151,CONFIGURATION IN WORK,AEM Nb 1,,
B 152,,AEM Nb 1,,
B 153,CONFIGURATION START UP,AEM Nb 1,,
B 154,AEM NOT FREE,AEM Nb 1,,
B 155,,AEM Nb 1,,
B 156,RAISING EDGE APPEARANCE MODULE IN RACK,AEM Nb 2,,
B 157,CONFIGURATION IN WORK,AEM Nb 2,,
B 158,,AEM Nb 2,,
B 159,CONFIGURATION START UP,AEM Nb 2,,
B 160,AEM NOT FREE,AEM Nb 2,,
B 161,,AEM Nb 2,,
B 162,RAISING EDGE APPEARANCE MODULE IN RACK,AEM Nb 3,,
B 163,CONFIGURATION IN WORK,AEM Nb 3,,
B 164,,AEM Nb 3,,
B 165,CONFIGURATION START UP,AEM Nb 3,,
B 166,AEM NOT FREE,AEM Nb 3,,
B 167,,AEM Nb 3,,
B 168,RAISING EDGE APPEARANCE MODULE IN RACK,CTM100,,
B 169,CONFIGURATION IN WORK,CTM100,,
B 170,,CTM100,,
B 171,CONFIGURATION START UP,CTM100,,
B 172,CTM100 NOT FREE,CTM100,,
B 173,,,,
B 174,CONFIGURATION EXCHANGE OK,SCM2244,,
B 175,CONFIGURATION IN WORK,SCM2244,,
B 176,RAZ MODULE,SCM2244,,
B 177,,,,
B 178,,,,
B 179,,,,
B 180,,,,
B 181,,,,
B 182,MODBUS COMMUNICATION,,,
B 183,MODBUS COMMUNICATION,,,
B 184,MODBUS COMMUNICATION,,,
B 185,MODBUS COMMUNICATION,,,
B 186,MODBUS COMMUNICATION,,,
B 187,MODBUS COMMUNICATION,,,
B 188,MODBUS COMMUNICATION,,,
B 189,MODBUS COMMUNICATION,,,
B 190,,,,
B 191,,,,
B 192,,,,
B 193,,,,
B 194,,,,
B 195,,,,
B 196,,,,
B 197,,,,
B 198,,,,
B 199,,,,
B 200,CORE A RUN                      ,XBT-V PAGE 2,"W287,0",
B 201,CORE A ALARM,XBT-V PAGE 2,"W287,1",
B 202,CORE B RUN,XBT-V PAGE 2,"W287,2",
B 203,CORE B ALARM,XBT-V PAGE 2,"W287,3",
B 204,CONTACT ROLL RUN,XBT-V PAGE 2,"W287,4",
B 205,CONTACT ROLL ALARM,XBT-V PAGE 2,"W287,5",
B 206,PB CORE A RUN,XBT-V PAGE 2,"W287,6",
B 207,PB CORE A STOP,XBT-V PAGE 2,"W287,7",
B 208,PB CORE B RUN,XBT-V PAGE 2,"W287,8",
B 209,PB CORE B STOP,XBT-V PAGE 2,"W287,9",
B 210,PB CONTACT ROLL RUN,XBT-V PAGE 2,"W287,A",
B 211,PB CONTACT ROLL STOP,XBT-V PAGE 2,"W287,B",
B 212,PB ALARM RESET,XBT-V PAGE 2,"W287,C",
B 213,PB HYDRAULIC PUMP RUN,XBT-V PAGE 2,"W287,D",
B 214,PB HYDRAULIC PUMP STOP,XBT-V PAGE 2,"W287,E",
B 215,PB I/O CHUCKS,XBT-V PAGE 2,"W287,F",
B 216,"PB START CUT         W288,0",XBT-V PAGE 2,"W288,0",
B 217,PB STOP CUT,XBT-V PAGE 2,"W288,1",
B 218,PUMP RUN,,"W288,2",
B 219,PUMP ALARM,,"W288,3",
B 220,PNEUMATIC LOW PRESSURE ALARM,XBT-V PAGE 1,"W288,4",
B 221,WEB BREAK,XBT-V PAGE 1,"W288,5",
B 222,ALARM PRESENT,XBT-V PAGE 1,"W288,6",
B 223,WEB BREAK BYPASS ON,XBT-V PAGE 1,"W288,7",
B 224,ROLL CHANGE ON,XBT-V PAGE 1,"W288,8",
B 225,HYDRAULIC HIGH PRESSURE,XBT-V PAGE 1,"W288,9",
B 226,HYDRAULIC LOW PRESSURE,XBT-V PAGE 1,"W288,A",
B 227,HYDRAULIC HIGH TEMPERATURE,XBT-V PAGE 1,"W288,B",
B 228,TURRET MOTOR FAULT,XBT-V PAGE 1,"W288,C",
B 229,CHUCKS INTERLOCK,XBT-V PAGE 1,"W288,D",
B 230,"GAP                  W188,0",XBT-V PAGE 2,,
B 231,"KNIFE                W188,1 = 0",XBT-V PAGE 2,,
B 232,"WEB BREAK            W188,2",XBT-V PAGE 2,,
B 233,ALARM PRESENT,XBT-V PAGE 2,,
B 234,WEB BREAK BYPASS ON,XBT-V PAGE 2,,
B 235,ROLL CHANGE ON,XBT-V PAGE 2,,
B 236,PB WEB BREAK BYPASS ON,XBT-V PAGE 2,,
B 237,PB RESET LENGTH,XBT-V PAGE 2,,
B 238,,,,
B 239,,,,
B 240,,,,
B 241,,,,
B 242,1 ------>,XBT-V PAGE 6,"W298,0",
B 243,2 ------>,XBT-V PAGE 6,"W298,1",
B 244,3 ------>,XBT-V PAGE 6,"W298,2",
B 245,4 ------>,XBT-V PAGE 6,"W298,3",
B 246,5 ------>,XBT-V PAGE 6,"W298,4",
B 247,6 ------>,XBT-V PAGE 6,"W298,5",
B 248,7 ------>,XBT-V PAGE 6,"W298,6",
B 249,WAITING FOR MANUAL CUTTING/TO WINDING PO,XBT-V PAGE 6,"W298,7",
B 250,ALARM,XBT-V PAGE 6,"W298,8",
B 251,PB SLACK TAKE UP,XBT-V PAGE 6,"W298,9",
B 252,PB NEXT STEP,XBT-V PAGE 6,"W298,A",
B 253,,,,
B 254,,,,
B 255,,,,
B 256,,,,
B 257,,,,
B 258,CUTTING BY KNIFE/HAND (KNIFE = 1),XBT-V PAGE 6,,
B 259,ROLL CHANGE/CONTINUE (CONTINUE = 1),XBT-V PAGE 6,,
B 260,KEEP AWAY FROM TURRET,XBT-V PAGE 6,,
B 261,REMOVE SCRAP ON ROLL,XBT-V PAGE 6,,
B 262,CLEAN AND BRAND THE ROLL,XBT-V PAGE 6,,
B 263,CONNECT THE FILM,XBT-V PAGE 6,,
B 264,TRANSFER THE FILM,XBT-V PAGE 6,,
B 265,,,,
B 266,,,,
B 267,,,,
B 268,,,,
B 269,,,,
B 270,ALARM,XBT-V PAGE 3,,
B 271,ALARM,XBT-V PAGE 4,,
B 272,,,,
B 273,,,,
