CW ASSIGNMNET ,LOCATION  IN  PROGRAM , MARK 
CW 1036 -> W90,PRL L390 ROLL DIA. MINI,
CW 1038 -> W91,PRL L390 ROLL DIA. MAXI,
CW 1040 -> W101,PRL L350 CONTACT FORCE SETPOINT SETP INCREASE,
CW 1042 -> W206,PRL L280 + 11 TENSION MAX AND TENSION MAX/1,
CW 1044 -> W246,PRL L330 +7 CONT. FORCE MAX AND MAX/2,
CW 1012 -> W608,SRO L20 CORE SPD MINI THRESHOLD,
CW 1014 -> W609,SRO L120 TORQUE MOTOR COEFICIENT,
CW 1016 -> W611,SRO L20 + 1 RADIUS DIFF. FOR INCREASE,
CW 1018 -> W613,SRO L70 + 1 MIN TORQUE DIFF FOR CORRECT,
CW 1020 -> W614,SRO L80 INC CORRECTION TORQUE STEP,
CW 1022 -> W620,SRO L170 + 3 SPEED CONTROL SENSIBILITY ,
CW 1024 -> W629,SRO L20 + 1 INCREASE RADIUS  STEP,
CW 1026 -> W634,SRO L70  PROP . CORR. TORQUE COEF. ,
CW 1028 -> W639,SRO L10+ 2  TORQUE  --> CURRENT COEF,
CW 1030 -> W643,SRO L10+ 1  NO LOAD CURRENT MINI SETPOINT ,
CW 1032 -> W644,SRO L70 TENSION  THRESHOLD MINI FOR CORR. ,
CW 1034 -> W645,POST  L30 + 2 ADJ TO CHANGE  CORE SPEED  CORE OVERSPEED COMP TO LINE ,
CW 1112 -> W708,SRO L210 CORE SPEED MINI THRESHOLD ,
CW 1114 -> W709,SRO L320 TORQUE MOTOR  COEFFICIENT ,
CW 1116 -> W711,SRO L210 + 1 RADIUS DIFF. FOR  INCREASE,
CW 1118 -> W713,SRO L260 + 1 MINI. TORQUE DIFF . FOR CORRE,
CW 1120 -> W714,SRO L270  INC CRRECTION  TORQUE STEP,
CW 1122 -> W720,SRO L360 +1 SPEED CONTROL SENIBILITY ,
CW 1124 -> W729,SRO L120 +1 INC RADIUS STEP,
CW 1126 -> W734,SRO L260 PROP CORR  TORQUES COEF . ,
CW 1128 -> W739,SRO L320 TORQUE --> CURRENT ,
CW 1130 -> W743,SRO L330 +1 NO LOAD CURRENT MINI SETPOINT ,
CW 1132 -> W744,SRO L260 TENSION THRESHOLD MINI FOR CURRE ,
CW 1134 -> W745,POST  L240 CORE OVERSPEED COMPARED TO LINESPEED ADJ. TO CHANGE CORE SPEED. ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
