PLC ADD ,Comment ,Unit,Mark 
CW0,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW1,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW2,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW3,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW4,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW5,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW6,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW7,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW8,AEM 411 SLOT Nb 1 CONFIGURATION,,
CW9,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW10,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW11,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW12,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW13,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW14,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW15,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW16,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW17,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW18,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW19,AEM 411 SLOT Nb 2 CONFIGURATION,,
CW20,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW21,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW22,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW23,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW24,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW25,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW26,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW27,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW28,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW29,AEM 411 SLOT Nb 3 CONFIGURATION,,
CW30,,,
CW31,,,
CW32,,,
CW33,,,
CW34,,,
CW35,,,
CW36,,,
CW37,,,
CW38,,,
CW39,,,
CW40,CTM100  CONFIGURATION,,
CW41,CTM100  CONFIGURATION,,
CW42,CTM100  CONFIGURATION,,
CW43,CTM100  CONFIGURATION,,
CW44,CTM100  CONFIGURATION,,
CW45,CTM100  CONFIGURATION,,
CW46,CTM100  CONFIGURATION,,
CW47,CTM100  CONFIGURATION,,
CW48,CTM100  CONFIGURATION,,
