,WINDER FPC KF027 07/07/92 INPUTS / OUTPUTS,,,
,,,,
,F201\INPUTOUTPUT.DOC,,,
PLC ADR,COMMENT,,UNIT,
"I40,0",LEFT OPEN CHUCK JACK ENGAGE,,,
"I40,1",LEFT OPEN CHUCK JACK RETRACT,,,
"I40,2",CARRIAGE ENGAGED,,,
"I40,3",CARRIAGE MIDDLE,,,
"I40,4",CARRIAGE RETRACTED,,,
"I40,5",CARRIAGE HYDRAULIC PUMP HIGH PRESSURE,,,
"I40,6",CARRIAGE HYDRAULIC PUMP LOW PRESSURE,,,
"I40,7",CARRIAGE HYDRAULIC PUMP LOW LEVEL,,,
"I40,8",CUTTING ARM ENGAGE,,,
"I40,9",CUTTING ARM RETRACT,,,
"I40,A",KNIFE ENGAGE,,,
"I40,B",KNIFE RETRACT,,,
"I40,C",PNEUMATIC LOW PRESSURE,,,
"I40,D",LEFT CHUCK RETRACT,,,
"I40,E",LEFT CHUCK ENGAGE,,,
"I40,F",TURRET LOCKING LEFT JACK ENGAGE,,,
,,,,
"I50,0",LEFT SPREADER CLOSE PB (PUSH BUTTON),,,
"I50,1",LEFT SPREADER OPEN PB,,,
"I50,2",RIGHT SPREADER CLOSE PB,,,
"I50,3",RIGHT SPREADER OPEN PB,,,
"I50,4",TURRET LOCKING LEFT JACK RETRACT,,,
"I50,5",RIGHT OPEN CHUCK JACK ENGAGED,,,
"I50,6",RIGHT OPEN CHUCK JACK RETRACT,,,
"I50,7",(FREE),,,
"I50,8",RIGHT CHUCK RETRACT,,,
"I50,9",RIGHT CHUCK ENGAGED,,,
"I50,A",RIGHT SPREADER CLOSE PB,,,
"I50,B",RIGHT SPREADER OPEN PB,,,
"I50,C",TURRET LOCKING RIGHT JACK ENGAGED,,,
"I50,D",TURRET LOCKING RIGHT JACK RETRACTED,,,
"I50,E",(FREE),,,
"I50,F",(FREE),,,
,,,,
"I41,0",EMERGENCY STOP,,,
"I41,1",CARRIAGE HYDRAULIC PUMP RUN MC,,,
"I41,2",CORE A RUN,,,
"I41,3",CORE B RUN,,,
"I41,4",TURRET RUN,,,
"I41,5",CONTACT ROLL RUN,,,
"I41,6",CORE A DEFECT,,,
"I41,7",CORE B DEFECT,,,
"I41,8",TURRET DEFECT,,,
"I41,9",CONTACT ROLL DEFECT,,,
"I41,A",ON LINE SPEED => BUTTON IF CABINET,,,
"I41,B",WEB BREAK => SET THE          BY THE LINE,,,
"I41,C",RELEASE DEFECT,,,
"I41,D",(FREE),,,
"I41,E",(FREE),,,
"I41,F",(FREE),,,
,,,,
"I51,0",CHUCKS OPEN (exchange with CMA unloading system),,,
"I51,1",CORE LOADED (exchange with CMA unloading system),,,
"I51,2",(FREE),,,
"I51,3",(FREE),,,
"I51,4",(FREE),,,
"I51,5",(FREE),,,
"I51,6",(FREE),,,
"I51,7",(FREE),,,
"I51,8",(FREE),,,
"I51,9",(FREE),,,
"I51,A",(FREE),,,
"I51,B",(FREE),,,
"I51,C",(FREE),,,
"I51,D",(FREE),,,
"I51,E",(FREE),,,
"I51,F",(FREE),,,
,,,,
ANALOG SIGNAL,,,,CHANGE TO
"IW0,3","TENSION MEASURE        CHANGE TO   IW46,3     ON XE01",,,"IW46,3     ON XE01"
"IW0,4","LINE SPEED             CHANGE TO   IW46,4     ON XE01     ",,,"IW46,4"
"IW0,5","CORE A SPEED           CHANGE TO   IW46,5     ON XE01 ",,,"IW46,5"
"IW0,6","CORE B SPEED           CHANGE TO   IW46,6     ON XE01",,,"IW46,6     ON XE01"
,,,,
"IW1,3",CONTACT ROLL SPEED,,,
"IW1,4",CORE A CURRENT,,,
"IW1,5",CORE B CURRENT,,,
"IW1,6",CONTACT ROLL CURRENT,,,
,,,,
"IW2,3",(FREE),,,
"IW2,4",PRESSURE MEASURE,,,
"IW2,5",GAP PHOTOCELL,,,
"IW2,6",PRESSURE PHOTOCELL,,,
,,,,
,0-10V TO PRESSURE CONTROLLER,,,
,0-8 BAR IN LEFT HOUSE,,,
,,,,
"O43,0",TURRET LOCKING OPEN/CLOSE,,,
"O43,1",(FREE),,,
"O43,2",(FREE),,,
"O43,3",(FREE),,,
"O43,4",RIGHT SPREADER,,,
"O43,5",LEFT SPREADER,,,
"O43,6",OPEN CHUCK,,,
"O43,7",CLOSE CHUCK,,,
"O43,8",(FREE),,,
"O43,9",(FREE),,,
"O43,A",CONTACT ROLL ENGAGE CARRIAGE,,,
"O43,B",CONTACT ROLL RETRACT CARRIAGE,,,
"O43,C",(FREE),,,
"O43,D",KNIFE ENGAGE/RETRACT,,,
"O43,E",CUTTING ARM ENGAGE,,,
"O43,F",CUTTING ARM RETRACT,,,
,,,,
"O53,0",MAIN PNEUMATIC CIRCUIT,,,
"O53,1",(FREE),,,
"O53,2",(FREE),,,
"O53,3",(FREE),,,
"O53,4",CARRIAGE HYDRAULIC PUMP,,,
"O53,5",(FREE),,,
"O53,6",PINNING BAR,,,
"O53,7",(FREE),,,
"O53,8",CARRIAGE BACKWARD,,,
"O53,9",CARRIAGE LOW SPEED,,,
"O53,A",CARRIAGE FAST SPEED,,,
"O53,B",CARRIAGE RAMP VALIDATION,,,
"O53,C",CORE A UNLOCK,,,
"O53,D",CORE B UNLOCK,,,
"O53,E",TURRET UNLOCK,,,
"O53,F",CONTACT ROLL UNLOCK,,,
,,,,
"O44,0",CORE A RUN,,,
"O44,1",CORE B RUN,,,
"O44,2",TURRET RUN,,,
"O44,3",CONTACT ROLL RUN,,,
"O44,4",(FREE),,,
"O44,5",(FREE),,,
"O44,6",(FREE),,,
"O44,7",(FREE),,,
"O44,8",END OF ROLL,,,
"O44,9",TURN LIGHT,,,
"O44,A",HORN,,,
"O44,B",CORE A/CORE B RECORDER CURRENT,,,
"O44,C",WINDER DEFECT,,,
"O44,D",LENGTH > SET LENGTH MUSIC ON,,,
"O44,E",(FREE),,,
"O44,F",(FREE),,,
,,,,
"O54,0",UNLOADING IN PROGRESS (to CMA unloading system),,,
"O54,1",CHUCKS OPEN (to CMA unloading system),,,
"O54,2",CHUCKS CLOSE (to CMA unloading system),,,
"O54,3",(FREE),,,
"O54,4",(FREE),,,
"O54,5",(FREE),,,
"O54,6",(FREE),,,
"O54,7",(FREE),,,
"O54,8",(FREE),,,
"O54,9",(FREE),,,
