,WINDER FPC KF027 07/07/92 INPUTS / OUTPUTS,,
,,,
,F201\INPUTOUTPUT.DOC,,
PLC ADR,COMMENT,,UNIT
"I40,0",LEFT OPEN CHUCK JACK ENGAGE,,
"I40,1",LEFT OPEN CHUCK JACK RETRACT,,
"I40,2",CARRIAGE ENGAGED,,
"I40,3",CARRIAGE MIDDLE,,
"I40,4",CARRIAGE RETRACTED,,
"I40,5",CARRIAGE HYDRAULIC PUMP HIGH PRESSURE,,
"I40,6",CARRIAGE HYDRAULIC PUMP LOW PRESSURE,,
"I40,7",CARRIAGE HYDRAULIC PUMP LOW LEVEL,,
"I40,8",CUTTING ARM ENGAGE,,
"I40,9",CUTTING ARM RETRACT,,
"I40,A",KNIFE ENGAGE,,
"I40,B",KNIFE RETRACT,,
"I40,C",PNEUMATIC LOW PRESSURE,,
"I40,D",LEFT CHUCK RETRACT,,
"I40,E",LEFT CHUCK ENGAGE,,
"I40,F",TURRET LOCKING LEFT JACK ENGAGE,,
,,,
"I41,0",EMERGENCY STOP,,
"I41,1",CARRIAGE HYDRAULIC PUMP RUN MC,,
"I41,2",CORE A RUN,,
"I41,3",CORE B RUN,,
"I41,4",TURRET RUN,,
"I41,5",CONTACT ROLL RUN,,
"I41,6",CORE A DEFECT,,
"I41,7",CORE B DEFECT,,
"I41,8",TURRET DEFECT,,
"I41,9",CONTACT ROLL DEFECT,,
"I41,A",Free,,
"I41,B",WEB BREAK => SET THE          BY THE LINE,,
"I41,C",RELEASE DEFECT,,
"I41,D",(FREE),,
"I41,E",(FREE),,
"I41,F",(FREE),,
,,,
"I50,0",LEFT SPREADER CLOSE PB (PUSH BUTTON),,
"I50,1",LEFT SPREADER OPEN PB,,
"I50,2",RIGHT SPREADER CLOSE PB,,
"I50,3",RIGHT SPREADER OPEN PB,,
"I50,4",TURRET LOCKING LEFT JACK RETRACT,,
"I50,5",RIGHT OPEN CHUCK JACK ENGAGED,,
"I50,6",RIGHT OPEN CHUCK JACK RETRACT,,
"I50,7",(FREE),,
"I50,8",RIGHT CHUCK RETRACT,,
"I50,9",RIGHT CHUCK ENGAGED,,
"I50,A",RIGHT SPREADER CLOSE PB,,
"I50,B",RIGHT SPREADER OPEN PB,,
"I50,C",TURRET LOCKING RIGHT JACK ENGAGED,,
"I50,D",TURRET LOCKING RIGHT JACK RETRACTED,,
"I50,E","FLAME TREATER TEMP. ALARM- I50,E->W870,D",,
"I50,F",(FREE),,
,,,
"I51,0",CHUCKS OPEN (exchange with CMA unloading system),,
"I51,1",CORE LOADED (exchange with CMA unloading system),,
"I51,2","""CRANE CALL"" PB",,
"I51,3",SR6 L250+1,,
"I51,4","""NEXT STEP"" PB",,
"I51,5","""START AUTO CUTTING"" PB",,
"I51,6",(FREE),,
"I51,7",(FREE),,
"I51,8",(FREE),,
"I51,9",(FREE),,
"I51,A",(FREE),,
"I51,B",(FREE),,
"I51,C",(FREE),,
"I51,D",(FREE),,
"I51,E",(FREE),,
"I51,F",(FREE),,
,,,
ANALOG SIGNAL,,,
"IW0,3","BAD SLOT, SEE IW46,3",,
"IW0,4","BAD SLOT, SEE IW46,4",,
"IW0,5","BAD SLOT, SEE IW46,5",,
"IW0,6","BAD SLOT, SEE IW46,6",,
,,,
"IW1,3",CONTACT ROLL SPEED,,
"IW1,4",CORE A CURRENT,,
"IW1,5",CORE B CURRENT,,
"IW1,6",CONTACT ROLL CURRENT,,
,,,
"IW2,3","BAD SLOT, SEE IW42,3",,
"IW2,4","BAD SLOT, SEE IW42,4",,
"IW2,5","BAD SLOT, SEE IW42,5",,
"IW2,6","BAD SLOT, SEE IW42,6",,
,,,
"IW3,3",FLAME TEMP                  TREATER A,,
"IW3,4",FLAME TREATER MIXTURE       TREATER B,,
"IW3,5",FLAME TREATER ROLL TEMP     TREATER C,,
"IW3,6",FLAME GAP                   TREATER D,,
,,,
"IW42,3",PRL L80+1,,
"IW42,4",CONTACT FORCE,,
"IW42,5",GAP PHOTO CELL,,
"IW42,6",PRESSURE PHOTO CELL,,
,,,
"IW46,3",TENSION MEASURE,,
"IW46,4",LINE SPEED,,
"IW46,5",CORE A SPEED,,
"IW46,6",CORE B SPEED,,
,,,
"O43,0",TURRET LOCKING OPEN/CLOSE,,
"O43,1",CONTACT ROLL CONTROL,,
"O43,2",(FREE),,
"O43,3",EDGE PINNING VOLTAGE GENERATOR,,
"O43,4",RIGHT SPREADER,,
"O43,5",LEFT SPREADER,,
"O43,6",OPEN CHUCK,,
"O43,7",CLOSE CHUCK,,
"O43,8",(FREE),,
"O43,9",(FREE),,
"O43,A",CONTACT ROLL ENGAGE CARRIAGE,,
"O43,B",FREE,,
"O43,C",(FREE),,
"O43,D",KNIFE ENGAGE/RETRACT,,
"O43,E",CUTTING ARM ENGAGE,,
"O43,F",CUTTING ARM RETRACT,,
,,,
"O44,0",CORE A RUN,,
"O44,1",CORE B RUN,,
"O44,2",TURRET RUN,,
"O44,3",CONTACT ROLL RUN,,
"O44,4",(FREE),,
"O44,5",(FREE),,
"O44,6",(FREE),,
"O44,7",(FREE),,
"O44,8",END OF ROLL,,
"O44,9",TURN LIGHT,,
"O44,A",HORN,,
"O44,B",CORE A/CORE B RECORDER CURRENT,,
"O44,C",WINDER DEFECT,,
"O44,D",LENGTH > SET LENGTH MUSIC ON,,
"O44,E",(FREE),,
"O44,F",(FREE),,
,,,
"O45,0",WINDER DISPLAY,,
"O45,1",CARRIAGE REVERSE ORDER,,
"O45,2",CORE A TO WINDING POSITION FORWARD TURRET,,
"O45,3",CORE B TO WINDING POSITION FORWARD TURRET,,
"O45,4",FREE,,
"O45,5",FREE,,
"O45,6",FREE,,
"O45,7",FREE,,
"O45,8",FREE,,
"O45,9",FREE,,
"O45,A",FREE,,
"O45,B",FREE,,
"O45,C",FREE,,
"O45,D",FREE,,
"O45,E",FREE,,
"O45,F",FREE,,
,,,
"O47,0",CORE A TO WINDING POSITION,,
"O47,1",PRL L120+1,,
"O47,2",FREE,,
"O47,3",TURRET ROTATION,,
"O47,4",CORE A TO WINDING POSITION,,
"O47,5",,,
"O47,6",,,
"O47,7",,,
"O47,8",,,
"O47,9",,,
"O47,A",,,
"O47,B",,,
"O47,C",,,
"O47,D",,,
"O47,E",,,
"O47,F",,,
,,,
