,,LINE 3 NEW WINDER I/O,,
,,,,
,,F201\NEWWINDER.DOC,,
DIGITAL OUTPUT,,,,
1,"O53,B",Contact roll regulation enable,,
2,"O53,8",Contact roll to parking position (Retract),,
3,"O53,A",Contact roll to working position (Engage),,
4,"O53,0","Index bolt command (Locking pin : 1: Close, 0: Open)",,
5,"O53,3",Fault reset to Bruckner (From F55 or Magelis),,
6,"O53,4",Auto / Manual to Bruckner,,
ANALOG OUTPUT,,,,
1,"OW6,4",Tension Setpoint (0-10V = 0-400lb),,
2,"OW6,3",Diameter (0-10V = 0-500mm),,
DIGITAL INPUT,,,,
1,"I51,7",Contact roll position Fault (1 = Oversized) Touch roll,,
2,"I51,8","Index bolt position (0 = Engage, 1 = Retract)",,
3,"I51,9",Index bolt Fault (Not in Engage / Retract),,
4,"I51,A","Auto / Manual, Feedback From Bruckner",,
5,"I51,2",Contact roll at retract position,,
6,"I51,3",Contact roll at transition position (Middle),,
7,"I51,4",Contact roll at engaged position (Working),,
,,,,
,,,,
,,,,
