FAST ,,LENGTH COUNTER TREATMENT ,MARK
PREL,L10,EMERGENCY STOP,
,L20,POWER SUPPLY APPEARANCE                              WINDING POSITION  INTRODUCTION                         INIT. SEQUENCE                                                       CALL INTI PAGE,
,L40,DEFECTS RESET,
,L50,INITIALISATION,
,L60,STOP AUTO CUT,
,L70,CALL SR3  ( CALL CONFIGURATION),
,L80 & 90,SCALE TREATMENT                                                 XBT-V DISPLAY,
,L100,WINDING REGURATION  (MEASURED VALUES),
,L110 ,ANALOG MEASURE TREATMENT                            0---> DISPLAY IF VAR'S STOPPING,
,L120,TURRET POSITION ,
,L130,CTM DEFECT RESET,
,L150,CORE B IN WINDING (ZSB)                                       CORE B N MANUAL CUTTING  ,
,L200,CORE A IN WINDING (ZSB),
,L230,CORE A IN MANUAL CUTTING (ZSI),
,L240,WEB BREAK,
,L250,SPOOL DIAMETER TREATMENT(%),
,L260,LINE RECORDER OUTPUT TREATMENT,
,L270,LENGTH TREATMENT ,
,L280,SEGMENTS TREATMENT,
,L290,TENSION FOR WINDING ,
,L300,TENSION FOR CUTTING ,
,L310,TENSION RAMP,
,L320,TENSION RESULT TRANSFER ,
,L330,PRESSURE TREATMENT,
,L340,WINDING PRESSURE,
,L350,PRESSURE RAMP,
,L360,PRESSURE RESULT TRANSFER ,
,L370,RADIUS TREATMENT ,
,L380,RADIUS RESET                                                         REDIUS MEM,
,L390,SR0'S  VARIABLES LOADING ,
,L400,CALL SR0,
,L410,CONTACT ROLL SPEED REFERENCE,
,L420,LENGTH COUNTER,
,L430,LENGTH COUNTER RESET,
,L440,CARRIAGE ON FORWARD POSITION                         HYDRAULIC REGULATING,
,L450,ALARMS TREATMENT                                               FAULT MESSAGES TREATMENT,
,L460,CORE A MOTOR ,
,L470,CORE B MOTOR ,
,L480,TURRET MOTOR ,
,L490,CONTACT ROLL MOTOR,
,L500,EMERGENCY STOP,
,L510,CARRIAGE HYDRAULIC  PUMP FAULT,
,L520,,
,L530,,
,L540,PNEUMAYIC PRESSURE FAULT,
,L550,ROLL DIAMETER MAXIMUM,
,L560,FAULT RESET,
,L570,TASK TIME TREATMENT,
CHART,PAGE1,X0   : WINDING                                                          X1   : CARRIAGE BACKWARD                                    XM0:  INITIALISATION                                                 XM1:  INIT WEB BREAK                                              XM2:  TO CUTTING POS                                             XM3:  TO WINDING POS                                        XM4:  TURRET ROTATION                                          XM5:  AUTO CUTTING                                                XM6:  MANUAL CUTTING                                                ,
,PAGE2 ,FUNCTION TEST                                                        11: CARRIAGE  FORWARD                                        12: CARRIAGE  BACKWARD                                      13: CARRIAGE  FORWARD                                        FOR MANUAL CUTTING                                              21 TO 27 : FORWARD TURRET                                   21 TO 28 : REVERSE  TURRET,
XM0,PAGE1, IN: KNIFE RETURN                                                    1)  CUT ARM RETURN                                                2)  CARRIAGE REVERSE                                           3 TO 5 ) TURRET ROTATION ,
XM1,PAGE1,IN:  SPREADER OPEN                                               KNIFE RET                                                                1  CUTTING ARM RET                                                2  WAIT ORDER                                                         3  CARRIAGE BACKWARD              ,
XM2,PAGE1 ,IN: WAIT  ORDER                                                       1: CCW ROT                                                              2: CCW ROT                                                              3: STOP                                                                     4: CCW ROT                                                               5: CCW ROT                                                              6: STOP                       ,
XM3,PAGE1 ,1: CCW ROT                                                          2: CCW ROT                                                          3: STOP,
XM4,PAGE1 ,IN: WAIT  ORDER                                                       1: TURRET CCW                                                              2: ROTATION                                                       3: STOP  TURRET                                                 4: CARRIAGE FORWARD HIGH SPEED                 5: CARRIAGE FORWARD LOW SPEED                                 ,
XM5,PAGE1 ,IN : CUT ARM ENGAGE                                         1: PINNING BAR  ON                                             2; KNIFE ENGAGE  PINNING  BAR ON                   3: KNIFE RETURN                                                  OUT  : CUT ARM RETURN                                     ,
XM6,PAGE1 ,1 TO 3 : CCW ROT                                                 4:  STOP                                                               WAIT MANUAL CUTTING                                       5 TO 7: CW ROT                                                    8 : STOP                                                               OUT : CARRIAGE FORWARD LOW SPEED ,
POST,L10 ,SR0'S  RESULT OUTPUT  WORDS,
,L20,JOG TREATMENT,
,L30,SLACK TAKE UP CORE A,
,L40,SLACK TAKE UP CORE B,
,L50,START AUTO-CUTTING                                          START MANUAL CUTTING                                     START WEB BREAK SEQUENCE                          ,
,L60,END  OF CUTTING ,
,L70,RESET CORES CONTROL LOOPS,
,L80,SEMI AUTO CUT                                                   CUTTING ARM MANUAL ORDER                            END OF MANUAL CONTROL CUT ,
,L90,WINDING DENSITY TREATMENT,
,L100,OUTPUTS TREATMENT (CALL SR6),
,L110,MOTORS SEQUENCES  (CALL SR2),
,L120,ASR TREATMENT  (CALL SR1),
,L125,ASCII TREATMENT (CALL SR4) ,
,L130,RANGES TREATMENT XBT-V (CALL SR5) ,
,L140,ROLL CHANGE ON ,
,L150,WEB BREAK BY PASS ON                                   ROLL TRANSFER ,
,L160,"ON /OFF  CORE                                                    CALL "" PRESS NEXT STEP"" ",
,L170,END OF SOFTWARE ,
SR0,L10 ,TEST  MOTOR OFF +JOG,
,L20,RADIUS TREATMENT                ,CORE A
,L30,STOP OF MINI RADIUS,CORE A
,L40,STOP OF MAXI RADIUS,CORE A
,L50,START CURRENT ,CORE A
,L60,TORQUE TREATMENT.,CORE A
,L70,TREATMENT OF CORRECTION TORQUE,CORE A
,L100,VISUAL,CORE A
,L110,TREATMENT OF WHOLE TORQUE,CORE A
,L120,TREATMENT OF INSTANTANEOUS CURRENT ORDER,CORE A
,L130,NO  LOAD  CURENT ,CORE A
,L170,TREATMENT OF SPEED ORDER ,CORE A
,L210,RADIUS TREATMENT                ,CORE B
,L220,STOP OF MINI RADIUS,CORE B
,L230,STOP OF MAXI RADIUS,CORE B
,L240,START CURRENT ,CORE B
,L250,TORQUE TREATMENT.,CORE B
,L260,TREATMENT OF CORRECTION TORQUE,CORE B
,L310,TREATMENT OF WHOLE TORQUE,CORE B
,L320,TREATMENT OF INSTANTANEOUS CURRENT ORDER,CORE B
,L330,NO  LOAD  CURENT ,CORE B
,L360,TREATMENT OF SPEED ORDER ,CORE B
SR1,L10 ,CONFIGURATION,
,L20,INIT,
,L30,LIMITS CONTROL,
,L40,SHIFT-ADDITION,
,L50,UP TO DATE OUTPUTS BRINGING (WZ-> OWXY),
SR2,L20,MOTOR RUN (CORE A),
