PLC ADD ,   Comment,,Unit
T0,EMERGENCY STOP,,
T1,AEM 411 SLOT 1 CONFIGURATION,,
T2,,,
T3,CORE A START MAXI CURRENT,,
T4,CORE B START MAXI CURRENT,,
T5,LOADING PUMP CONTACTOR  ANSWER,,
T6,PB INITIALISATION TIME BETWEEN 2 IMPULS,,
T7,AEM 411 SLOT 2 CONFIGURATION,,
T8,AEM 411 SLOT 3 CONFIGURATION,,
T9,,,
T10,CARRIAGE MOTORS CONTACTOR ANSWER,,
T11,WINDER POSITION  CONTACTOR ANSWER,,
T12,,,
T13,,,
T14,,,
T15,,,
,,,
,,,
M0,,,
M1,CORE A START ,,
M2,CORE A STOP,,
M3,CORE B START ,,
M4,CORE B STOP,,
M5,TURRET  START ,,
M6,TURRET  STOP ,,
M7,ROLL  DIAMETER MAXI,,
M8,WEB BREAK,,
M9,HORN,,
M10,CONTACT ROLL START,,
M11,CONTACT ROLL STOP,,
M12,LOADING PUMP,,
M13,,,
M14,KNIFE,,
M15,,,
,,,
,,,
,,,
,,,
TXT0,AEM 411 SLOT 1 CONFIGURATION ,,
TXT1,,,
TXT2,,,
TXT3,AEM 411 SLOT 2 CONFIGURATION ,,
TXT4,AEM 411 SLOT 3 CONFIGURATION,,
TXT5,CTM100 CONFIGURATION,,
TXT6,,,
TXT7,,,
TXT8,,,
TXT9,,,
