PLC ADD,COMMENT ,,Unit ,Mark 
W0,SR 5 L55+7,,,
W1,FREE,,,
W2,FREE,,,
W3,FREE,,,
W4,FREE,,,
W5,SR 5 L55,,,
W6,FREE,,,
W7,SR 5 L55+2,,,
W8,FREE,,,
W9,FREE,,,
W10,LENGTH AT  T - 1 (%) ,,,
W11,LENGTH AT  T +1 (%) ,,,
W12,GRAPH BASE AT t  - 1,,,
W13,GRAPH BASE AT t + 1,,,
W14,COPY OUT W13 FOR INDEX,,,
W15,COPY OUT W12 FOR INDEX,,,
W16,GRAPH BASE NB  MINI BETWEEN 2 PTS  ,,,
W17,% GRAPH BASE MINI COMPARED TO LENGTH MAXI,,,
W18,GRAPH  BASE NB MAXI BETWEEN 2 PTS ,,,
W19,% GRAPH BASE MAXI COMPARED TO LENGTH MAXI,,,
W20,%AT t  --------%  MINI ,,DW,
W21,%AT t  --------%  MINI ,,DW,
W22,% MAX -- MIN,,,
W23,%AT t BETWEEN 2 Pts,,,
W24,FREE,,,
W25,FREE,,,
W26,FREE,,,
W27,FREE,,,
W28,COPY OUT SW20,,,
W29,COPY OUT SW41,,,
W30,FREE,,,
W31,FREE,,,
W32,FREE,,,
W33,FREE,,,
W34,FREE,,,
W35,FREE,,,
W36,FREE,,,
W37,FREE,,,
W38,FREE,,,
W39,FREE,,,
W40,TURRET COUNTER CURRENT VALUE ,,DW,
W41,TURRET COUNTER CURRENT VALUE ,,DW,
W42,TURRET LOW SPEED  THRESHOLD SETPOINT ,,DW,
W43,TURRET LOW SPEED  THRESHOLD SETPOINT ,,DW,
W44,TURRET STOP THRESHOLD SETPOINT ,,DW,
W45,TURRET STOP THRESHOLD SETPOINT ,,DW,
W46,TURRET POSITION  (MAST PRL L120),,,
W47,FREE,,,
W48,FREE,,,
W49,TREATMENT  STORAGE (MAST SR 8 L10),,,
W50,FREE,,,
W51,FREE,,,
W52,CONTACT FORCE                      SETPOINT ,0,Pts FOR ASR,OW5.5
W53,CONTACT ROLL SPEED             SETPOINT ,0,Pts FOR ASR,"OW5,3"
W54,CORE A SPEED                         SETPOINT ,1,Pts FOR ASR,"OW4,3"
W55,CORE A CURRENT                     SETPOINT ,0,Pts FOR ASR,"OW4,4"
W56,CORE B SPEED                         SETPOINT ,1,Pts FOR ASR,"OW4,5"
W57,CORE B CURRENT                     SETPOINT ,0,Pts FOR ASR,"OW4,6"
W58,CARRIAGE POSITION                 SETPOINT,1,Pts FOR ASR,"OW5,6"
W59,LINE RECORDER  DIAMETER     SETPOINT ,0,Pts FOR ASR,"OW6,3"
W60,FREE,,,
W61,FREE,,,
W62,FREE,,,
W63,FREE,,,
W64,FREE,,,
W65,FREE,,,
W66,FREE,,,
W67,FREE,,,
W68,GAP ANALOGS PHOTO CELLS VALUE ,,0.1mm,10V->10mm
W69,PRESSUE ANALOGS  PHOTO CELLS VALUE ,,0.1mm,10V->25mm
W70,GAP ANALOGS PHOTO CELLS VALUE AVERAGE ,,0.1mm,
W71,CONTACT  ANALOGS PHOTO CELLS VALUE AVERAGE,,0.1mm,
W72,FREE,,,
W73,FREE,,,
W74,FREE,,,
W75,FREE,,,
W76,FREE,,,
W77,TENSION MEASURED ,,,
W78,INSTANDANEOUS TENSION VALUE ,,0.1 N ,1000=100N
W79,GAP SETPOINT ,,,
W80,CORE A CURRENT MEASURE ,,Pts,Points 
W81,CORE A SPEED  MEASURE ,,10 - 3  tr/s ,RPS
W82,"CORE B CURRENT MEASURE                        IW1,5 ",,Pts,
W83,CORE B SPEED  MEASURE ,,10 - 3  tr/s ,
W84,LINE SPEED ,,10 - 3  m/s ,
W85,TENSION VALUE AFTER AVERAGE TREATMENT ,,0.1N,
W86,FREE,,,
W87,FREE,,,
W88,FREE,,,
W89,FREE,,,
W90,ROLL DIAMETER MINI,,10 -4 M ,CW1036=4500
W91,ROLL DIAMETER MAXI,,10 -4 M ,CW1038=12000
W92,DIAMETER ,,0/00,
W93,FREE,,,
W94,FREE,,,
W95,TENSION SETPOINT INCREASE STEP MAXI,,0.1 N,
W96,TENSION SETPOINT ,,0.1 N,
W97,TENSION SETPOINT AT t - 1,,0.1 N,
W98,FREE,,,
W99,(GAP) ? MAST PRL L440+10,,,
W100,MAST SR8 TOP+1,,,
W101,CONTACT FORCE SETPOINT  INCREASE STEP MA,,  0.1kg,CW1040
W102,CONTACT FORCE SETPOINT ,,  0.1kg,
W103,CONTACT FORCE SETPOINT  AT t - 1 ,,  0.1kg,
W104,FREE,,,
W105,FREE,,,
W106,FREE,,,
W107,FREE,,cm ,
W108,FREE,,cm ,
W109,LENGTH INTERMEDIATE SETPOINT ,DW,cm ,
W110,LENGTH INTERMEDIATE SETPOINT ,DW,cm ,
W111,FREE,,,
W112,LENGTH MAX COMPARED TO THICKNESS ,,,
W113,FREE,,,
W114,FREE,,,
W115,LENGTH MEASURE,,0/00,
W116,LENGTH  CALCULATION INTERMEDIADE ,DW,,
W117,LENGTH  CALCULATION INTERMEDIADE ,DW,,
W118,LENGTH  CALCULATION ,DW,,
W119,LENGTH  CALCULATION ,DW,,
W120,COPY OUT W13 FOR INDEX,,,
W121,COPY OUT W13 FOR INDEX,,,
W122,GRAPH BASE Nb MINI BETWEEN 2 Pts  ,,,
W123,% GRAPH BASE MINI COMPARED TO LENGTH MAXI,,,
W124,GRAPH BASE Nb MAXI BETWEEN 2 Pts  ,,,
W125,% GRAPH BASE MAXI COMPARED TO LENGTH MAXI,,,
W126,% AT t  - % MINI,DW,,
W127,% AT t  - % MINI,DW,,
W128,% MAX -- MIN,,,
W129,% AT t BETWEEN 2 Pts ,,,
W130,FREE,,,
W131,FREE,,,
W132,"CORE A  ""SLACK TAKE UP""  INCREASEING STE",DW,,
W133,"CORE A  ""SLACK TAKE UP""  INCREASEING STE",DW,,
W134,"CORE B  ""SLACK TAKE UP""  INCREASEING STE",DW,,
W135,"CORE B  ""SLACK TAKE UP""  INCREASEING STE",DW,,
W136,FREE,,,
W137,FREE,,,
W138,FREE,,,
W139,FREE,,,
W140,CARRIAGE POSITION  PID SETPOINT ,,SR7,
W141,CARRIAGE POSITION  PID MEASURE (AVERAGE) ,DW,SR7,
W142,CARRIAGE POSITION  PID MEASURE (AVERAGE) ,DW,SR7,
W143,100/PROPORTIONAL  COEFFICIENT (>0),,SR7,
W144,100/INTEGRAL COEFFICIENT,DW,SR7,
