asset_id,hostname,computer,department,location,status,spec,os,owner,note,last_update,DETAIL
PC-001,,GX270,BOPP1,Line 1 control room,using,,Windows XP,BOPP1,,,
PC-002,,GX270,BOPP1,Line 1 control room,using,,Windows XP,BOPP1,,,
PC-003,,GX270,BOPP1,Line 1 control room,using,,Windows XP,BOPP1,,,
PC-004,,,BOPP1,Line 1 control room,using,,Windows 11 PRO,BOPP1,,,
PC-005,,GX270,BOPP1,Line 1 control room,using,,Windows 11 PRO,BOPP1,,,
PC-006,,,BOPP1,Line 1 control room,using,,Windows 11 PRO,BOPP1,F42,,
PC-007,,,BOPP1,Line 1 control room,using,,Windows 11 PRO,BOPP1,F55,,
PC-008,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
PC-009,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
PC-010,,GX270,BOPP1,LAB,TEST,,Windows XP,BOPP1,,,SPARE
PC-011,,GX270,BOPP1,LAB,TEST,,Windows XP,BOPP1,,,SPARE
PC-012,,,BOPP1,Line 2 control room,using,,Windows 11  PRO,BOPP1,,,
PC-013,,GX270,BOPP1,Line 2 control room,using,,Windows XP,BOPP1,,,
PC-014,,,BOPP1,Line 2 control room,using,,Windows 11 PRO,BOPP1,F42,,
PC-015,,,BOPP1,Line 2 control room,using,,Windows 11 PRO,BOPP1,F55,,
PC-016,,GX270,BOPP1,Office,TEST,,Windows XP,BOPP1,,,NEW
PC-017,,GX270,BOPP1,Office,TEST,,Windows XP,BOPP1,,,NEW
PC-018,,GX270,BOPP1,Line 3 control room,using,,Windows XP,BOPP1,,,
PC-019,,GX270,BOPP1,Line 3 control room,using,,Windows XP,BOPP1,,,
PC-020,,,BOPP1,Line 3 control room,using,,Windows 11 PRO,BOPP1,F42,,
PC-021,,,BOPP1,Line 3 control room,using,,Windows 11 PRO,BOPP1,F55,,
PC-022,,GX270,BOPP1,Line 4 control room,using,,Windows XP,BOPP1,,,
PC-023,,GX270,BOPP1,Line 4 control room,using,,Windows XP,BOPP1,,,
PC-024,,,BOPP1,Line 4 control room,using,,Windows 11 PRO,BOPP1,F42,,
PC-025,,,BOPP1,Line 4 control room,using,,Windows 11 PRO,BOPP1,F55,,
PC-026,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
PC-027,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
PC-028,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
PC-029,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/10/2025,
PC-030,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/17/2025,
PC-031,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/17/2025,
PC-032,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/17/2025,
PC-033,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/17/2025,
PC-034,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/17/2025,
PC-035,,GX270,BOPP1,MCC room (shelf),spare,,Windows XP,BOPP1,,11/17/2025,
